#species,og,gene_id,coverage,std
ANODA,OG861720,ANODA08506,88.25671641791045,28.432600902885337
ANODA,OG676343,ANODA08502,106.12748538011697,81.92285705291151
ANODA,OG951333,ANODA08505,49.34975369458128,18.68828661460381
ANODA,OG960910,ANODA08504,166.80213089802132,42.446551170454015
ANODA,OG848281,ANODA03007,79.24850657108722,22.87552182933568
ANODA,OG1221639,ANODA05486,52.739495798319325,18.96574924867741
ANODA,OG964633,ANODA05487,100.76378409750436,65.6368721848291
ANODA,OG718578,ANODA00549,99.87690504103165,36.75215738863505
ANODA,OG961398,ANODA01312,93.74178403755869,26.45465587518551
ANODA,OG411836,ANODA03579,92.20637583892618,37.538629226183694
ANODA,OG1241986,ANODA03573,74.69598765432099,32.75865990415201
ANODA,OG698904,ANODA03572,93.89657360406092,23.658810261309068
ANODA,OG1157040,ANODA03571,56.169741697416974,16.78855463105584
ANODA,OG958126,ANODA01492,60.80204778156997,21.58288403292304
ANODA,OG842298,ANODA01152,72.00591934887163,28.121873561028444
ANODA,OG1174245,ANODA09078,60.962651236191476,24.423950915997693
ANODA,OG456351,ANODA09077,91.26404384419652,88.98569912974418
ANODA,OG1251511,ANODA09076,95.83854166666667,22.597204548988344
ANODA,OG961602,ANODA09075,80.6813627254509,25.077368725428023
ANODA,OG953187,ANODA09070,75.52848722986248,18.80009807143081
ANODA,OG814084,ANODA09331,61.12388503468781,16.742482429719875
ANODA,OG699681,ANODA09332,48.73746312684366,17.522310617480905
ANODA,OG946387,ANODA07723,83.63909046927915,22.92663844962761
ANODA,OG946885,ANODA07717,89.92730085073472,36.424467252132565
ANODA,OG1214309,ANODA07715,53.774358974358975,17.014333594531678
ANODA,OG341995,ANODA06295,88.74988547869904,31.490347374548797
ANODA,OG1079985,ANODA06296,80.84746815781298,29.9952989319947
ANODA,OG976835,ANODA06297,94.89663182346109,40.86003133318101
ANODA,OG675570,ANODA03502,81.04854368932038,29.49947096108332
ANODA,OG971355,ANODA03504,117.2829957028852,39.80124453188192
ANODA,OG1223272,ANODA01666,74.87587587587588,18.398753292854927
ANODA,OG1224967,ANODA01667,83.99888888888889,29.876449270079842
ANODA,OG457329,ANODA01668,43.22093023255814,14.40034008221697
ANODA,OG961439,ANODA01669,67.5578947368421,21.42602899220676
ANODA,OG998211,ANODA01670,85.2132493840679,20.856022799961746
ANODA,OG673136,ANODA03220,75.80016246953696,19.09833546465015
ANODA,OG1139777,ANODA01246,49.58054711246201,12.82310266708874
ANODA,OG1221689,ANODA08570,60.90901250539025,17.73558609334478
ANODA,OG1222683,ANODA08571,82.68760907504362,20.890239851261207
ANODA,OG1215812,ANODA08572,77.2782874617737,28.816920564638423
ANODA,OG896170,ANODA03515,84.99313186813187,16.496751497541016
ANODA,OG1231177,ANODA03650,86.63036902601331,26.380013556285768
ANODA,OG961115,ANODA03651,67.03397612488521,38.5042630924587
ANODA,OG911937,ANODA03653,77.71571906354515,27.625814522840674
ANODA,OG924410,ANODA03655,86.09845150774247,23.107687150083468
ANODA,OG792952,ANODA03657,88.0469483568075,35.10929484601175
ANODA,OG792914,ANODA03658,83.17862838915471,26.92037386256333
ANODA,OG1244115,ANODA03659,53.32183908045977,10.571045091140823
ANODA,OG1170587,ANODA03456,93.24434616544376,23.69215529202283
ANODA,OG1226379,ANODA02643,81.7828125,21.62954471526952
ANODA,OG458150,ANODA02645,56.7336860670194,27.912649923336122
ANODA,OG975279,ANODA02647,79.35641025641026,32.79174610713444
ANODA,OG1174891,ANODA02648,73.3641488162345,26.020401759057624
ANODA,OG455346,ANODA06172,72.50352112676056,32.27806107928861
ANODA,OG1240929,ANODA06171,78.76803118908381,26.309797599563957
ANODA,OG822311,ANODA06170,83.24145962732919,22.75649020206528
ANODA,OG420493,ANODA06168,89.72413793103448,25.253868456572025
ANODA,OG665560,ANODA06166,84.21187427240977,21.398634504388625
ANODA,OG420768,ANODA06165,90.94089264173704,30.16228929814513
ANODA,OG1181227,ANODA06163,87.81208053691275,22.602301102641153
ANODA,OG342477,ANODA06162,146.87926727726895,269.7257982462863
ANODA,OG966098,ANODA06161,88.85844748858447,28.009432754020484
ANODA,OG419349,ANODA03242,82.06313712594542,27.20535784460024
ANODA,OG736122,ANODA03241,97.562435500516,23.828733439039333
ANODA,OG1251119,ANODA03237,89.4451219512195,25.33657653178467
ANODA,OG796653,ANODA01604,91.40820980615736,32.1789264541503
ANODA,OG793899,ANODA01385,68.0530679933665,21.385132303126923
ANODA,OG899270,ANODA01952,62.60523186682521,30.17542717917417
ANODA,OG456648,ANODA01951,69.18395155185466,23.782071055498843
ANODA,OG1251552,ANODA07755,71.65702479338843,13.766880405771792
ANODA,OG1189787,ANODA07757,91.30272108843538,24.251730972875144
ANODA,OG962019,ANODA07758,54.63967611336032,15.442584160791018
ANODA,OG967514,ANODA06786,86.92861952861954,30.11190613960352
ANODA,OG762076,ANODA10391,67.77266922094508,23.01478050043445
ANODA,OG1198488,ANODA06785,81.59609120521172,29.152222188953516
ANODA,OG456691,ANODA06792,70.50847457627118,24.711861085369968
ANODA,OG1203459,ANODA03477,60.3150406504065,18.55058830938695
ANODA,OG1139996,ANODA03476,64.34929992630803,22.777874431603767
ANODA,OG1208321,ANODA05883,94.40598096964204,47.02176920223828
ANODA,OG1240968,ANODA05983,101.18636003172085,32.71845637107206
ANODA,OG961322,ANODA05981,51.7956204379562,16.70808712769473
ANODA,OG698997,ANODA05980,94.08662662029718,47.008048712847604
ANODA,OG1219581,ANODA05977,59.417391304347824,33.19583818338998
ANODA,OG823022,ANODA00759,83.70471841704719,32.892766952127666
ANODA,OG1174608,ANODA04336,66.50450450450451,19.506928255871284
ANODA,OG839253,ANODA06918,39.07507507507508,13.32827867287262
ANODA,OG1150674,ANODA06923,58.63,20.028806754272708
ANODA,OG348620,ANODA06924,75.30486008836525,32.048285872052986
ANODA,OG674682,ANODA07073,66.92044063647491,23.68654516466391
ANODA,OG964673,ANODA07075,57.82010582010582,12.705430159752863
ANODA,OG373241,ANODA00581,39.21921921921922,12.032612965011245
ANODA,OG960979,ANODA00582,112.955,43.367706591425836
ANODA,OG1240325,ANODA00791,58.13738441215324,23.52978696317806
ANODA,OG1240328,ANODA00790,56.031531531531535,19.12026650829179
ANODA,OG1231901,ANODA00788,92.20433183489988,25.438707591468035
ANODA,OG1194738,ANODA04923,79.85261707988981,19.731609285525163
ANODA,OG1214658,ANODA02027,52.78364565587734,23.59855635430522
ANODA,OG344070,ANODA02026,101.25482866043613,63.96594097181636
ANODA,OG925865,ANODA07041,55.607361963190186,17.811821026958068
ANODA,OG1202204,ANODA07035,60.522346368715084,16.75224667906457
ANODA,OG977782,ANODA01117,85.8045634920635,24.557583346279433
ANODA,OG351572,ANODA06536,85.85925925925926,57.31326043485508
ANODA,OG1218157,ANODA08542,52.379918588873814,12.171413825504814
ANODA,OG926503,ANODA08545,63.79835390946502,14.293818535268752
ANODA,OG817086,ANODA08550,57.424778761061944,28.693776979345785
ANODA,OG949490,ANODA08552,50.518057285180575,20.063923007167993
ANODA,OG451043,ANODA08553,49.09687034277198,18.79026539628357
ANODA,OG451038,ANODA08555,65.699604743083,29.04731295370704
ANODA,OG784747,ANODA08561,72.84591194968553,23.304819708648775
ANODA,OG978616,ANODA08564,89.10858995137764,31.186055471514486
ANODA,OG1218158,ANODA08565,55.631975867269986,19.233196309740364
ANODA,OG1236745,ANODA08566,81.43786295005808,16.65695160526944
ANODA,OG1190683,ANODA08567,94.8585690515807,27.440723540659707
ANODA,OG853434,ANODA08568,48.659707724425886,18.518823711222904
ANODA,OG962230,ANODA03598,52.87207207207207,23.110308027976583
ANODA,OG1230391,ANODA03599,77.77903682719547,21.741208910479347
ANODA,OG352732,ANODA04288,70.11533242876527,23.088884846419667
ANODA,OG823037,ANODA01777,57.529411764705884,20.070123774714485
ANODA,OG964344,ANODA02629,74.91184971098266,38.39072441171208
ANODA,OG456720,ANODA07083,65.01322751322752,22.243596894627263
ANODA,OG1146505,ANODA07082,85.78455598455598,23.879780806501486
ANODA,OG671266,ANODA07081,95.68002285551032,24.623566212616694
ANODA,OG664391,ANODA07080,81.32394366197182,30.410337785503764
ANODA,OG722946,ANODA07079,94.58762886597938,25.561966717912945
ANODA,OG961377,ANODA07077,72.3297974927676,22.844981117393658
ANODA,OG1146507,ANODA10392,86.87919695396332,26.286482763855517
ANODA,OG986274,ANODA04898,96.36513994910942,40.76353339696964
ANODA,OG988784,ANODA08548,91.00250292007343,32.64948924176925
ANODA,OG362633,ANODA07026,57.945945945945944,27.34017167321437
ANODA,OG375937,ANODA00223,43.68205128205128,14.761978276296468
ANODA,OG949414,ANODA06508,70.00896860986548,26.38464319249226
ANODA,OG917347,ANODA01979,82.72066458982347,20.386093104900823
ANODA,OG1081004,ANODA08766,77.84064458370635,31.38314978112192
ANODA,OG960945,ANODA08768,90.13665389527459,25.601109940447767
ANODA,OG968775,ANODA05162,58.71612265084075,24.55236288919906
ANODA,OG708597,ANODA05161,58.578057673185285,24.983069291337397
ANODA,OG1197765,ANODA06617,78.55861070911722,18.087277403152275
ANODA,OG1168476,ANODA06616,78.79036144578313,28.113343233077828
ANODA,OG971123,ANODA05742,92.9047131147541,30.856143248098995
ANODA,OG761976,ANODA05741,92.4461738002594,62.723845746084585
ANODA,OG979200,ANODA05740,81.44221698113208,37.39983743772175
ANODA,OG814870,ANODA05594,67.5107578988176,22.696003564788093
ANODA,OG1225085,ANODA05595,81.63732232920678,26.019806249632417
ANODA,OG1229017,ANODA05596,82.00159299084031,30.419972855963586
ANODA,OG1204971,ANODA05655,93.18806635996097,55.57192254188039
ANODA,OG369576,ANODA04599,55.18850987432675,21.855458194607177
ANODA,OG457572,ANODA02309,67.40576496674058,31.352114581258757
ANODA,OG1191966,ANODA01579,93.26929133858268,26.005035385037726
ANODA,OG456338,ANODA01580,82.81170259568852,25.560228887799976
ANODA,OG1246006,ANODA06751,78.20315581854044,20.45792694900124
ANODA,OG1198490,ANODA04841,81.47121820615797,28.829952704557655
ANODA,OG1168250,ANODA06913,50.16271186440678,18.23241570599738
ANODA,OG1216622,ANODA06914,65.66361365528726,26.396327613976148
ANODA,OG1202789,ANODA06915,76.3396345305608,28.2832345950865
