#species,og,gene_id,coverage,std
ANOST,OG861720,ANOST00002,48.92935635792779,69.50348489773391
ANOST,OG676343,ANOST00003,22.458333333333332,17.880341082379335
ANOST,OG951333,ANOST00004,nan,nan
ANOST,OG960910,ANOST00006,159.16158536585365,42.153083241382326
ANOST,OG848281,ANOST00012,54.036199095022624,19.864667741171722
ANOST,OG1221639,ANOST00016,12.270967741935484,4.617372074018636
ANOST,OG964633,ANOST00017,75.46625386996904,56.542966543444415
ANOST,OG718578,ANOST00019,28.685111989459816,21.302134891664323
ANOST,OG961398,ANOST00021,61.95813953488372,26.63304672646407
ANOST,OG411836,ANOST00028,80.0042780748663,52.15427528876167
ANOST,OG1241986,ANOST00031,64.66801619433198,34.66869087279971
ANOST,OG698904,ANOST00032,74.73714491190219,28.521299553181333
ANOST,OG1157040,ANOST00033,34.96493688639551,22.9313299963772
ANOST,OG958126,ANOST00036,32.877755511022045,18.128661918029724
ANOST,OG842298,ANOST00037,42.36817832436587,25.382086237236656
ANOST,OG1174245,ANOST00043,42.87432675044883,21.70357683717102
ANOST,OG456351,ANOST00044,83.44967532467533,244.12253895506782
ANOST,OG1251511,ANOST00045,83.3812202509736,29.82672551119919
ANOST,OG961602,ANOST00046,75.936,23.652397426053877
ANOST,OG953187,ANOST00048,67.71428571428571,36.31196443922593
ANOST,OG814084,ANOST00057,39.111607142857146,17.528956887389192
ANOST,OG699681,ANOST00058,48.4306784660767,17.727960761323423
ANOST,OG946387,ANOST00073,61.327075812274366,24.719609349562432
ANOST,OG946885,ANOST00079,38.701454234388365,24.34779378183169
ANOST,OG1214309,ANOST00081,16.965986394557824,8.199398489624201
ANOST,OG341995,ANOST00098,57.49212730318258,126.79548161952056
ANOST,OG1079985,ANOST00101,53.63173359451518,34.68777106052566
ANOST,OG976835,ANOST00102,69.98165137614679,35.63141037112952
ANOST,OG675570,ANOST00108,23.88817891373802,17.24972438192376
ANOST,OG971355,ANOST00110,102.87128712871286,58.751779137389924
ANOST,OG1223272,ANOST00111,49.09647779479326,24.96229689567248
ANOST,OG1224967,ANOST00112,52.50782997762864,28.595173424298782
ANOST,OG457329,ANOST00113,24.45484949832776,13.382230076991522
ANOST,OG961439,ANOST00114,8.15617128463476,4.808241607495614
ANOST,OG998211,ANOST00115,32.97013934970139,26.402248706168194
ANOST,OG673136,ANOST00116,9.339578454332553,7.231495180038971
ANOST,OG1139777,ANOST00117,39.66887417218543,10.010406409375001
ANOST,OG1221689,ANOST00123,49.55632582322357,18.142246502685467
ANOST,OG1222683,ANOST00125,74.43391902215431,28.92314219293558
ANOST,OG1215812,ANOST00126,67.73886328725038,19.920564475698594
ANOST,OG896170,ANOST00127,76.95977011494253,19.72106033246712
ANOST,OG1231177,ANOST00129,68.83964211975224,28.49411183441005
ANOST,OG961115,ANOST00130,61.02452830188679,38.59791961184445
ANOST,OG911937,ANOST00134,55.263913824057454,31.311743207925755
ANOST,OG924410,ANOST00137,58.27506775067751,31.52431621750036
ANOST,OG792952,ANOST00138,75.47487179487179,43.90753844928991
ANOST,OG792914,ANOST00139,53.49090909090909,23.202368787590892
ANOST,OG1244115,ANOST00140,38.932153392330385,17.11331654962016
ANOST,OG1170587,ANOST00146,63.606952743074416,30.45618388578557
ANOST,OG1226379,ANOST00147,51.552660152008684,25.414515673726815
ANOST,OG458150,ANOST00149,nan,nan
ANOST,OG975279,ANOST00151,71.15932746196958,38.69232885363388
ANOST,OG1174891,ANOST00152,43.88920454545455,19.47183856482291
ANOST,OG455346,ANOST00156,75.81036168132943,27.596577241231547
ANOST,OG1240929,ANOST00157,20.409574468085108,11.880267648222016
ANOST,OG822311,ANOST00158,66.30054151624549,28.9043911269821
ANOST,OG420493,ANOST00159,18.551020408163264,7.061136014545396
ANOST,OG665560,ANOST00160,45.67011197243755,27.852132828353334
ANOST,OG420768,ANOST00161,71.14854111405836,32.74770319620501
ANOST,OG1181227,ANOST00162,67.25813953488372,26.499993265099096
ANOST,OG342477,ANOST00163,195.59985810571123,425.02082691700116
ANOST,OG966098,ANOST00164,76.70536883457005,34.54696588723353
ANOST,OG419349,ANOST00176,33.439229843561975,19.906843247263463
ANOST,OG736122,ANOST00177,32.806060606060605,14.197480343974386
ANOST,OG1251119,ANOST00180,68.10396475770925,32.13484436194081
ANOST,OG796653,ANOST00189,92.50987890376035,27.09368230232218
ANOST,OG793899,ANOST00192,52.8013468013468,27.986846324830797
ANOST,OG899270,ANOST00194,45.94385964912281,31.979593370157986
ANOST,OG456648,ANOST00195,25.520169851380043,10.72405855160649
ANOST,OG1251552,ANOST00206,60.38396624472574,13.685906864952726
ANOST,OG1189787,ANOST00208,24.054545454545455,11.500858753419926
ANOST,OG962019,ANOST00209,nan,nan
ANOST,OG967514,ANOST00212,55.435940803382664,33.93372190083203
ANOST,OG762076,ANOST00214,18.946969696969695,10.191956419929806
ANOST,OG1198488,ANOST00216,80.97176981541803,28.618958850079462
ANOST,OG456691,ANOST00218,32.34361233480176,13.410693057132548
ANOST,OG1203459,ANOST00222,26.66355140186916,14.428647468192457
ANOST,OG1139996,ANOST00223,22.3894297635605,10.115532862831829
ANOST,OG1208321,ANOST00225,78.60046189376443,34.39381624114443
ANOST,OG1240968,ANOST00230,94.11032308904649,36.18288798307198
ANOST,OG961322,ANOST00232,43.36950904392765,17.089985296464732
ANOST,OG698997,ANOST00233,96.89842931937173,66.70828223690766
ANOST,OG1219581,ANOST00235,28.039387308533918,16.43682228950921
ANOST,OG823022,ANOST00242,41.23783783783784,23.432925376944535
ANOST,OG1174608,ANOST00246,64.60810810810811,20.43622307418526
ANOST,OG839253,ANOST00256,7.032786885245901,1.5833893208770062
ANOST,OG1150674,ANOST00260,20.970802919708028,11.71214455222673
