#species,og,gene_id,coverage,std
ANOST,OG861720,ANOST00002,25.489333333333335,12.238513780502744
ANOST,OG676343,ANOST00003,22.081286549707603,8.682903183930764
ANOST,OG951333,ANOST00004,14.100985221674877,3.2425965717115037
ANOST,OG960910,ANOST00006,69.51043916486681,26.816405080633068
ANOST,OG848281,ANOST00012,8.656370656370656,3.4839678715955635
ANOST,OG1221639,ANOST00016,7.793103448275862,3.2558980293928435
ANOST,OG964633,ANOST00017,33.22300884955752,14.567707906897663
ANOST,OG718578,ANOST00019,14.777842907385697,8.21383338566086
ANOST,OG961398,ANOST00021,21.877710320901993,9.144107774208347
ANOST,OG411836,ANOST00028,32.54398148148148,13.595895493540027
ANOST,OG1241986,ANOST00031,25.030256012412725,16.161275537831468
ANOST,OG698904,ANOST00032,29.8055733504164,12.501748539122794
ANOST,OG1157040,ANOST00033,13.485897435897435,4.987271602866907
ANOST,OG958126,ANOST00036,14.717993079584774,6.619023761631735
ANOST,OG842298,ANOST00037,15.242684478371501,9.165946624675506
ANOST,OG1174245,ANOST00043,24.72019077901431,7.2610590591143644
ANOST,OG456351,ANOST00044,21.136337868480727,20.132746966596294
ANOST,OG1251511,ANOST00045,26.140429338103758,8.412814603171313
ANOST,OG961602,ANOST00046,15.986,5.1019411991907555
ANOST,OG953187,ANOST00048,9.576374745417516,3.4452026762945507
ANOST,OG814084,ANOST00057,23.526946107784433,14.89918792597043
ANOST,OG699681,ANOST00058,2.1540785498489425,0.5417382617861632
ANOST,OG946387,ANOST00073,23.652871184687015,9.902213994309417
ANOST,OG946885,ANOST00079,23.952707856598018,10.787563392228545
ANOST,OG1214309,ANOST00081,9.631443298969073,3.4170194070605295
ANOST,OG341995,ANOST00098,13.982483156881617,8.987697783471662
ANOST,OG1079985,ANOST00101,19.187225413991214,9.612820188190327
ANOST,OG976835,ANOST00102,26.85029239766082,13.568273857424131
ANOST,OG675570,ANOST00108,13.344345616264295,7.757414974568849
ANOST,OG971355,ANOST00110,37.03508771929825,13.342604117691124
ANOST,OG1223272,ANOST00111,34.83031988873435,11.64053428825854
ANOST,OG1224967,ANOST00112,33.25572305974316,12.70721884810011
ANOST,OG457329,ANOST00113,2.8864864864864863,1.312345159394034
ANOST,OG961439,ANOST00114,27.23212321232123,16.467189834228666
ANOST,OG998211,ANOST00115,22.246371803731858,8.024223367034981
ANOST,OG673136,ANOST00116,17.89532871972318,8.322767309482533
ANOST,OG1139777,ANOST00117,3.0847457627118646,1.5027823790776316
ANOST,OG1221689,ANOST00123,25.75464362850972,7.2641204587552135
ANOST,OG1222683,ANOST00125,24.59511077158136,7.585892615595991
ANOST,OG1215812,ANOST00126,6.887987012987013,4.612108411543612
ANOST,OG896170,ANOST00127,29.797584818861413,13.20604070608115
ANOST,OG1231177,ANOST00129,36.58766626360339,13.130375639898782
ANOST,OG961115,ANOST00130,22.976591760299627,11.863550652177704
ANOST,OG911937,ANOST00134,23.6463687150838,8.043636278396294
ANOST,OG924410,ANOST00137,24.803633822501748,10.662696493327617
ANOST,OG792952,ANOST00138,22.056338028169016,7.796509374133287
ANOST,OG792914,ANOST00139,24.051556420233464,12.070894163416574
ANOST,OG1244115,ANOST00140,5.649056603773585,1.4146967995057678
ANOST,OG1170587,ANOST00146,34.16308353808354,12.373864857987334
ANOST,OG1226379,ANOST00147,23.79269328802039,7.102204305723352
ANOST,OG458150,ANOST00149,2.0,0.0
ANOST,OG975279,ANOST00151,22.74881836596894,8.853926004521679
ANOST,OG1174891,ANOST00152,15.371958285052143,6.296424465920205
ANOST,OG455346,ANOST00156,20.57551020408163,8.78597050990477
ANOST,OG1240929,ANOST00157,17.001149425287355,9.196513510444435
ANOST,OG822311,ANOST00158,56.594168636721825,22.675842893792964
ANOST,OG420493,ANOST00159,37.70892626131953,15.365975602640834
ANOST,OG665560,ANOST00160,23.653256704980844,9.130797757179058
ANOST,OG420768,ANOST00161,18.9650067294751,9.643750094892118
ANOST,OG1181227,ANOST00162,30.36936936936937,12.035694231673594
ANOST,OG342477,ANOST00163,33.62278978388998,42.2446034380466
ANOST,OG966098,ANOST00164,25.54320987654321,13.091940262432983
ANOST,OG419349,ANOST00176,21.015461925009664,12.789052707779026
ANOST,OG736122,ANOST00177,14.131233595800525,8.017932382203686
ANOST,OG1251119,ANOST00180,25.45470232959448,9.949630343864769
