#species,og,gene_id,coverage,std
ANOGA,OG861720,ANOGA05778,18.79217700513631,67.1714362738239
ANOGA,OG676343,ANOGA05773,3.164051355206847,2.0680761091817557
ANOGA,OG951333,ANOGA05777,5.593085106382978,2.9231022309066392
ANOGA,OG960910,ANOGA05775,22.939117199391173,7.174978156721469
ANOGA,OG848281,ANOGA05255,6.961616161616162,3.8894497824555927
ANOGA,OG1221639,ANOGA05250,9.412280701754385,3.7400426949171335
ANOGA,OG964633,ANOGA05249,15.763267740011926,29.645581043859085
ANOGA,OG718578,ANOGA05248,3.079494128274616,2.3747779845284724
ANOGA,OG961398,ANOGA05245,10.578272027373824,4.500079659925594
ANOGA,OG411836,ANOGA05239,12.525490196078431,6.4187178225248385
ANOGA,OG1241986,ANOGA04040,7.404377880184332,5.224351806866285
ANOGA,OG698904,ANOGA04041,8.445675482487491,5.059871796743225
ANOGA,OG1157040,ANOGA04042,9.454661558109834,4.282808976255166
ANOGA,OG958126,ANOGA04045,6.169675090252707,3.3555951823793744
ANOGA,OG842298,ANOGA04047,11.018776960162395,17.287929960831445
ANOGA,OG1174245,ANOGA04055,4.765980498374865,2.8462691148137322
ANOGA,OG456351,ANOGA04056,7.902671169788149,7.623029333786616
ANOGA,OG1251511,ANOGA04057,10.064207650273223,3.833864700716799
ANOGA,OG961602,ANOGA04058,8.728,4.269662281726741
ANOGA,OG953187,ANOGA05445,11.251851851851852,5.1950382574693945
ANOGA,OG814084,ANOGA05434,7.669912366114898,3.8918060242755033
ANOGA,OG699681,ANOGA05433,8.333333333333334,5.2638328723408865
ANOGA,OG946387,ANOGA05414,7.016552511415525,4.034986828780209
ANOGA,OG946885,ANOGA05407,10.635005336179296,5.043373435340275
ANOGA,OG1214309,ANOGA05405,4.63681592039801,3.45726401056551
ANOGA,OG341995,ANOGA04081,6.470165113617787,5.300544003919923
ANOGA,OG1079985,ANOGA04086,18.700476514635806,53.0372488758888
ANOGA,OG976835,ANOGA04087,11.824848484848484,6.365359910894669
ANOGA,OG675570,ANOGA04091,2.8468085106382977,1.1251195801846146
ANOGA,OG971355,ANOGA04093,11.750804893754024,5.016300633948279
ANOGA,OG1223272,ANOGA04094,11.965804471722928,5.494700038916158
ANOGA,OG1224967,ANOGA04095,8.745527986151183,4.627670722903146
ANOGA,OG457329,ANOGA04096,3.4591836734693877,0.7446183428227768
