#species,og,gene_id,coverage,std
ANOSI,OG861720,ANOSI11902,6.44392523364486,7.630125702594987
ANOSI,OG676343,ANOSI11914,3.800604229607251,2.9878100171113107
ANOSI,OG951333,ANOSI11872,4.951219512195122,2.886808588119954
ANOSI,OG960910,ANOSI11898,18.000787401574804,8.650110336222173
ANOSI,OG848281,ANOSI16815,4.063922942206655,2.4534784673008
ANOSI,OG1221639,ANOSI13259,1.5918367346938775,0.4914936562772365
ANOSI,OG964633,ANOSI13303,20.478947368421053,48.538132521414575
ANOSI,OG718578,ANOSI13311,2.955,2.023110229325135
ANOSI,OG961398,ANOSI02900,5.641791044776119,4.1016574059042314
ANOSI,OG411836,ANOSI13282,8.078638497652582,6.751606592029886
ANOSI,OG1241986,ANOSI13275,3.062586926286509,1.900949030357792
ANOSI,OG698904,ANOSI13273,7.1123960968558,4.208173711936877
ANOSI,OG1157040,ANOSI13306,7.240641711229946,3.3905113924960055
ANOSI,OG958126,ANOSI13277,3.720812182741117,2.764573447285374
ANOSI,OG842298,ANOSI13293,19.65566037735849,91.9796650826412
ANOSI,OG1174245,ANOSI10141,3.2404692082111435,2.0792802195607396
ANOSI,OG456351,ANOSI10182,7.983067729083666,17.76236767241558
ANOSI,OG1251511,ANOSI10202,8.964711492608489,3.5116393867904354
ANOSI,OG961602,ANOSI10095,8.407317073170733,5.928224767960861
ANOSI,OG953187,ANOSI10125,8.067567567567568,3.09084934633315
ANOSI,OG814084,ANOSI08197,5.359776536312849,3.3443276341240336
ANOSI,OG699681,ANOSI08225,7.670886075949367,4.1695749077180455
ANOSI,OG946387,ANOSI17759,5.325925925925926,3.0106714635077174
ANOSI,OG946885,ANOSI17776,5.594438006952491,2.589768016748159
ANOSI,OG1214309,ANOSI17769,4.332453825857519,2.503881323710081
ANOSI,OG341995,ANOSI16311,6.3199867637326275,9.394535860641884
ANOSI,OG1079985,ANOSI16316,6.32283105022831,5.811292677086736
ANOSI,OG976835,ANOSI16315,10.037422037422038,6.287409412789398
ANOSI,OG675570,ANOSI13707,3.713375796178344,1.795432830784832
ANOSI,OG971355,ANOSI13700,11.099276791584485,5.083523888462594
ANOSI,OG1223272,ANOSI13699,7.63270504330107,5.033771852272768
ANOSI,OG1224967,ANOSI13721,9.661640530759952,5.184600721636753
ANOSI,OG457329,ANOSI13708,4.0,0.0
ANOSI,OG961439,ANOSI13690,2.6733870967741935,1.4235127423298473
ANOSI,OG998211,ANOSI13712,24.557992202729046,105.24565642514001
ANOSI,OG673136,ANOSI13684,3.6812227074235806,3.3531118686492567
ANOSI,OG1139777,ANOSI13705,2.9475806451612905,2.697309403403678
ANOSI,OG1221689,ANOSI12385,7.808163265306122,4.79133065659977
ANOSI,OG1222683,ANOSI12376,8.556313993174061,5.589458880533625
ANOSI,OG1215812,ANOSI12428,9.556792873051226,3.2828099830351674
ANOSI,OG896170,ANOSI12371,11.036428571428571,4.431473645805578
ANOSI,OG1231177,ANOSI05477,5.418269230769231,2.9501281292169064
ANOSI,OG961115,ANOSI05647,6.734392735527809,4.3284356486743025
ANOSI,OG911937,ANOSI05566,4.4707207207207205,2.9030710295277933
ANOSI,OG924410,ANOSI05511,6.6968403074295475,4.409433865063073
ANOSI,OG792952,ANOSI05501,7.989374262101535,5.305418625021814
ANOSI,OG792914,ANOSI05550,4.075757575757576,3.501049298305348
ANOSI,OG1244115,ANOSI05521,4.311239193083574,2.123279888421075
ANOSI,OG1170587,ANOSI05651,8.00405206286837,4.349633397514185
ANOSI,OG1226379,ANOSI13958,6.507803121248499,4.2815384810089006
ANOSI,OG458150,ANOSI13956,2.797202797202797,1.0614638299865888
ANOSI,OG975279,ANOSI13957,5.818965517241379,3.663423916490472
ANOSI,OG1174891,ANOSI13945,6.023968042609853,2.4710220894915174
ANOSI,OG455346,ANOSI13964,8.483124397299903,5.93722827034533
ANOSI,OG1240929,ANOSI13949,1.8438661710037174,0.5893805556165476
ANOSI,OG822311,ANOSI13972,7.167980295566503,4.700682201784471
ANOSI,OG420493,ANOSI13963,5.5727969348659006,3.5019791110737275
ANOSI,OG665560,ANOSI13979,5.401635401635402,3.255338194825682
ANOSI,OG420768,ANOSI13955,8.093348891481913,5.671535520120428
ANOSI,OG1181227,ANOSI13961,8.906122448979591,5.079627503748969
ANOSI,OG342477,ANOSI13940,140.79584775086505,569.9438628187567
ANOSI,OG966098,ANOSI13976,5.243561763422086,3.511289551596507
ANOSI,OG419349,ANOSI16375,4.010250569476082,2.090467502528651
ANOSI,OG736122,ANOSI16384,2.9122340425531914,1.4732578274270756
ANOSI,OG1251119,ANOSI19256,6.105442176870748,3.032177001238201
ANOSI,OG796653,ANOSI16455,9.208333333333334,6.307523226651055
ANOSI,OG793899,ANOSI18657,7.115254237288136,3.6168538420876812
ANOSI,OG899270,ANOSI18211,4.738372093023256,3.2883633898989024
ANOSI,OG456648,ANOSI18213,4.581497797356828,2.1043716723662915
ANOSI,OG1251552,ANOSI09497,7.362683438155137,4.505355714671319
ANOSI,OG1189787,ANOSI09481,5.525096525096525,4.053496928072755
ANOSI,OG962019,ANOSI09471,2.5853658536585367,1.0085152031236755
ANOSI,OG967514,ANOSI18502,7.848815165876777,4.3686068814119405
ANOSI,OG762076,ANOSI09475,2.3955696202531644,0.6925320388977363
ANOSI,OG1198488,ANOSI18498,10.743213897937025,4.514636600430167
ANOSI,OG456691,ANOSI18513,4.124338624338624,2.8578102786989303
ANOSI,OG1203459,ANOSI13887,3.308781869688385,2.2146452891945803
ANOSI,OG1139996,ANOSI13881,5.202937249666221,2.7589285903571152
ANOSI,OG1208321,ANOSI11134,5.90617595956405,4.076008770795535
ANOSI,OG1240968,ANOSI11112,13.523994811932555,27.21729599284434
ANOSI,OG961322,ANOSI11117,3.788235294117647,1.7360815760655737
ANOSI,OG698997,ANOSI11073,8.787330316742082,8.371143205927657
ANOSI,OG1219581,ANOSI11081,7.397560975609756,6.198189657211997
ANOSI,OG823022,ANOSI10093,2.906474820143885,1.5340675840664522
ANOSI,OG1174608,ANOSI10178,6.6343115124153496,3.871747077085405
ANOSI,OG839253,ANOSI18124,10.412621359223301,6.412187721901397
ANOSI,OG1150674,ANOSI16840,2.4785714285714286,1.4465123432531344
ANOSI,OG348620,ANOSI16831,8.728550295857989,5.1444646214696785
ANOSI,OG674682,ANOSI10188,1.6241610738255035,0.7595168904910072
ANOSI,OG964673,ANOSI18236,3.8434163701067616,3.7837968467566565
ANOSI,OG373241,ANOSI13370,10.91566265060241,4.773053932023251
ANOSI,OG960979,ANOSI13351,14.195829555757026,8.106034644464506
ANOSI,OG1240325,ANOSI13359,3.3286713286713288,0.9219637280020193
ANOSI,OG1240328,ANOSI13371,4.347442680776014,3.43612764284615
ANOSI,OG1231901,ANOSI13321,5.896894409937889,3.6767596853590794
ANOSI,OG1194738,ANOSI13345,11.419444444444444,5.475491832015562
ANOSI,OG1214658,ANOSI13358,3.0705521472392636,1.0173001991218849
ANOSI,OG344070,ANOSI13377,47.899088541666664,174.46445465099544
ANOSI,OG925865,ANOSI19077,6.988317757009346,5.199959918246191
ANOSI,OG1202204,ANOSI18328,11.732217573221757,4.349864258940893
ANOSI,OG977782,ANOSI18323,3.492565055762082,1.7117949992255779
ANOSI,OG351572,ANOSI08252,8.246753246753247,7.11633802064552
ANOSI,OG1218157,ANOSI08193,6.237359550561798,3.6854722068654002
ANOSI,OG926503,ANOSI08194,9.53941908713693,4.898926768177661
ANOSI,OG817086,ANOSI08325,11.206460674157304,5.8830658569887655
ANOSI,OG949490,ANOSI08215,6.661016949152542,4.271347858128212
ANOSI,OG451043,ANOSI08181,7.534562211981567,3.8929556196513646
ANOSI,OG451038,ANOSI08326,5.298747763864043,3.858199716301256
ANOSI,OG784747,ANOSI08261,8.79646017699115,3.1589904254367642
ANOSI,OG978616,ANOSI08335,4.464104423495287,2.6808716192391473
ANOSI,OG1218158,ANOSI08297,7.407590759075908,4.091431334774583
ANOSI,OG1236745,ANOSI08307,2.593803786574871,1.4057526840310002
ANOSI,OG1190683,ANOSI08201,7.060851926977688,3.954142419823649
ANOSI,OG853434,ANOSI08170,3.0928270042194095,0.8616484199534779
ANOSI,OG962230,ANOSI08287,4.981963927855712,2.5797258229013584
ANOSI,OG1230391,ANOSI08180,3.441805225653207,2.632622053946894
ANOSI,OG352732,ANOSI08184,7.175810473815462,5.23895474183758
ANOSI,OG823037,ANOSI08294,5.668500687757909,4.431832560335153
ANOSI,OG964344,ANOSI08292,3.619640387275242,1.9066749991961767
ANOSI,OG456720,ANOSI08234,4.917168674698795,3.833988037638311
ANOSI,OG1146505,ANOSI08230,5.013847675568744,3.9594640072952183
ANOSI,OG671266,ANOSI08178,10.178440299603466,5.192111845177575
ANOSI,OG664391,ANOSI08311,8.684803001876173,4.542285566699533
ANOSI,OG722946,ANOSI08175,3.5068783068783067,2.080955542369363
ANOSI,OG961377,ANOSI08182,10.314558979808714,6.160352004066228
ANOSI,OG1146507,ANOSI09519,3.7050279329608937,3.0172923179865494
ANOSI,OG986274,ANOSI08263,7.67956795679568,3.836431335746376
ANOSI,OG988784,ANOSI08226,6.31414109459032,5.584219242949603
ANOSI,OG362633,ANOSI16462,2.7146341463414636,1.505771170321245
ANOSI,OG375937,ANOSI09099,6.0,0.0
ANOSI,OG949414,ANOSI16805,2.0707317073170732,1.0965008430232708
ANOSI,OG917347,ANOSI11939,4.760674157303371,2.443524714149214
ANOSI,OG1081004,ANOSI11947,5.345238095238095,3.7605746593715548
ANOSI,OG960945,ANOSI11923,7.503257328990228,4.9325240952344505
ANOSI,OG968775,ANOSI11909,10.398456057007126,5.310637600656223
ANOSI,OG708597,ANOSI11937,4.517164179104477,2.8107742100020037
ANOSI,OG1197765,ANOSI15828,12.790619765494137,5.829346922729765
ANOSI,OG1168476,ANOSI15819,9.177453027139874,5.3003557789541755
ANOSI,OG971123,ANOSI15824,5.41602634467618,5.004205258513972
ANOSI,OG761976,ANOSI15820,5.456032719836401,4.373022124572079
ANOSI,OG979200,ANOSI15839,3.475806451612903,2.338540038341469
ANOSI,OG814870,ANOSI12461,4.041926345609065,2.910457597698821
ANOSI,OG1225085,ANOSI12439,3.687679083094556,2.6427481030133806
ANOSI,OG1229017,ANOSI12483,8.401632970451011,5.131479446976767
ANOSI,OG1204971,ANOSI12470,6.413627367825841,4.581985326045322
ANOSI,OG369576,ANOSI18640,6.06359649122807,3.010637464465595
ANOSI,OG457572,ANOSI19201,4.182142857142857,1.8800747651221161
ANOSI,OG1191966,ANOSI18157,6.297580645161291,3.3400300295558822
ANOSI,OG456338,ANOSI18154,7.107543323139653,9.24875142023183
ANOSI,OG1246006,ANOSI08120,4.247044917257683,2.615503787382505
ANOSI,OG1198490,ANOSI18566,10.72814865794907,4.598364316140822
ANOSI,OG1168250,ANOSI15785,nan,nan
ANOSI,OG1216622,ANOSI15784,6.185080264400377,4.568410259854023
ANOSI,OG1202789,ANOSI15781,8.523981603153745,4.46365264353444
ANOSI,OG1223886,ANOSI18645,2.0,0.0
ANOSI,OG790850,ANOSI19220,7.237124463519313,4.66870177679472
ANOSI,OG978865,ANOSI19223,7.126269956458636,4.20035497044912
ANOSI,OG1192905,ANOSI13732,6.180406212664277,2.8275312006107645
ANOSI,OG456479,ANOSI13787,16.223583460949463,46.38802580904356
ANOSI,OG1212040,ANOSI13772,7.964986988407854,5.338656958472521
ANOSI,OG1218490,ANOSI09061,4.656891495601173,2.090234454139244
ANOSI,OG961011,ANOSI08989,8.052068805206881,4.7052681383477255
ANOSI,OG964929,ANOSI08966,5.240579710144927,3.1339801447989615
ANOSI,OG877291,ANOSI08974,6.225085910652921,3.0453371900114417
ANOSI,OG961299,ANOSI14995,5.210323574730355,5.54332853677643
ANOSI,OG719374,ANOSI14969,4.920728705071394,4.646872135192171
ANOSI,OG1183200,ANOSI14974,5.677007299270073,4.808339450373665
ANOSI,OG916860,ANOSI16582,5.087227414330218,1.8558299420550077
ANOSI,OG1179969,ANOSI16583,5.64608834486429,4.489455966437296
ANOSI,OG846448,ANOSI18065,5.683569979716024,3.3813223156186707
ANOSI,OG944937,ANOSI18066,3.314885496183206,1.7943102893228338
ANOSI,OG1162063,ANOSI18068,2.9705882352941178,1.6575587353601626
ANOSI,OG823032,ANOSI15205,3.693140794223827,2.4427871927340807
ANOSI,OG932017,ANOSI15215,7.4757665677546985,4.648277632252457
ANOSI,OG970502,ANOSI15209,7.9089912280701755,4.5750858337180915
ANOSI,OG1242667,ANOSI15210,5.111187845303867,3.1997387191443445
ANOSI,OG961440,ANOSI15201,6.583201267828843,4.268036572724707
ANOSI,OG963232,ANOSI15198,2.6269982238010656,1.4302427640500848
ANOSI,OG1176412,ANOSI15222,12.836379848417298,21.23976191336873
ANOSI,OG1179948,ANOSI16890,5.288659793814433,2.124762026149024
ANOSI,OG454890,ANOSI16889,5.718253968253968,3.3406641799219137
ANOSI,OG828830,ANOSI16895,4.735294117647059,2.0390860629993868
ANOSI,OG1150857,ANOSI15844,11.358712715855573,26.792315205537648
ANOSI,OG703365,ANOSI15845,3.1707317073170733,1.040360005938482
ANOSI,OG961013,ANOSI18108,10.862813776999417,4.943153864979657
ANOSI,OG1235653,ANOSI18112,7.090526315789473,4.609320999221998
ANOSI,OG457108,ANOSI16884,11.79633867276888,6.14375352846137
ANOSI,OG932104,ANOSI16749,5.718647764449291,8.186978724536749
ANOSI,OG661167,ANOSI16743,4.583214793741109,2.968512311036772
ANOSI,OG931899,ANOSI11633,2.3737113402061856,1.4685814879599348
ANOSI,OG1138880,ANOSI11144,nan,nan
ANOSI,OG953548,ANOSI16981,11.777606574216744,5.880626556218393
ANOSI,OG986805,ANOSI17797,9.295194508009153,9.064043211569393
ANOSI,OG961564,ANOSI18947,3.8217616580310882,2.549274610872415
ANOSI,OG1144131,ANOSI18952,6.9186046511627906,4.8100712728504185
ANOSI,OG696447,ANOSI18946,4.341040462427745,2.9252524348526485
ANOSI,OG460076,ANOSI16987,5.881118881118881,4.781003571605176
ANOSI,OG1152239,ANOSI16991,3.8620689655172415,1.6222937769380839
ANOSI,OG968364,ANOSI14862,8.027531956735496,4.552785472727641
ANOSI,OG362545,ANOSI14857,6.037470725995316,3.0916524568988053
