#species,og,gene_id,coverage,std
ANOST,OG861720,ANOST00002,7.533169533169533,6.515664508479047
ANOST,OG676343,ANOST00003,4.213181448331977,2.1008244459630405
ANOST,OG951333,ANOST00004,6.33743842364532,3.7028716508889583
ANOST,OG960910,ANOST00006,27.23342939481268,8.918877466977081
ANOST,OG848281,ANOST00012,9.172172808132148,5.209361452246337
ANOST,OG1221639,ANOST00016,9.669603524229075,3.8474319281731164
ANOST,OG964633,ANOST00017,13.579599056603774,13.09366777065544
ANOST,OG718578,ANOST00019,7.4708603145235895,4.475375332443292
ANOST,OG961398,ANOST00021,7.871747211895911,4.323393303992274
ANOST,OG411836,ANOST00028,13.49424405218726,6.470412430045099
ANOST,OG1241986,ANOST00031,8.990931574608409,6.09047614122329
ANOST,OG698904,ANOST00032,10.451752921535894,5.255278872311496
ANOST,OG1157040,ANOST00033,10.04469987228608,4.049413104830868
ANOST,OG958126,ANOST00036,5.676573426573427,3.5259195308904645
ANOST,OG842298,ANOST00037,8.028960817717206,4.461172194929139
ANOST,OG1174245,ANOST00043,5.77568838146407,3.6688915983416757
ANOST,OG456351,ANOST00044,18.642116748499728,66.47713604948339
ANOST,OG1251511,ANOST00045,10.097549909255898,3.9518441311598753
ANOST,OG961602,ANOST00046,10.232,3.962597128147145
ANOST,OG953187,ANOST00048,10.34074074074074,5.054756414929024
ANOST,OG814084,ANOST00057,8.576271186440678,3.0330376361546025
ANOST,OG699681,ANOST00058,8.933544303797468,4.911109992859172
ANOST,OG946387,ANOST00073,6.998028585510103,3.977139710044077
ANOST,OG946885,ANOST00079,6.898184688239937,4.72644459108525
ANOST,OG1214309,ANOST00081,5.417721518987341,3.9682524768362057
ANOST,OG341995,ANOST00098,14.478671586715867,40.129676641019785
ANOST,OG1079985,ANOST00101,9.291084187635912,5.974062559056189
ANOST,OG976835,ANOST00102,13.039766081871345,6.671458624558833
ANOST,OG675570,ANOST00108,4.89776357827476,3.8860479668082846
ANOST,OG971355,ANOST00110,11.90038560411311,4.947511109155483
ANOST,OG1223272,ANOST00111,11.532828282828282,5.515567171778934
ANOST,OG1224967,ANOST00112,10.953542392566783,4.315671371995325
ANOST,OG457329,ANOST00113,4.964912280701754,2.176145895205008
ANOST,OG961439,ANOST00114,9.32319391634981,7.036036657958107
ANOST,OG998211,ANOST00115,9.820332717190388,5.7505985126280335
ANOST,OG673136,ANOST00116,4.393905191873589,2.344372034213799
ANOST,OG1139777,ANOST00117,5.5508474576271185,1.7103744144916848
ANOST,OG1221689,ANOST00123,9.855647623201047,4.9027711559863665
ANOST,OG1222683,ANOST00125,11.998716302952504,6.870617867391649
