#species,og,gene_id,coverage,std
ANOSI,OG861720,ANOSI11902,6.346666666666667,9.03457392055242
ANOSI,OG676343,ANOSI11914,17.555944055944057,26.982162256809858
ANOSI,OG951333,ANOSI11872,4.514204545454546,1.6024918249620645
ANOSI,OG960910,ANOSI11898,19.594807238394964,6.932308748547454
ANOSI,OG848281,ANOSI16815,4.991489361702127,3.181317122335582
ANOSI,OG1221639,ANOSI13259,nan,nan
ANOSI,OG964633,ANOSI13303,17.480714285714285,32.94863404155143
ANOSI,OG718578,ANOSI13311,4.617850953206239,2.671252743967233
ANOSI,OG961398,ANOSI02900,5.80448717948718,3.2616034075738227
ANOSI,OG411836,ANOSI13282,7.247841105354059,4.81253666542912
ANOSI,OG1241986,ANOSI13275,4.82409972299169,3.7642914495930233
ANOSI,OG698904,ANOSI13273,9.858519793459552,4.731221659802734
ANOSI,OG1157040,ANOSI13306,5.9100449775112445,3.8499990651395257
ANOSI,OG958126,ANOSI13277,4.176470588235294,1.985477313789672
ANOSI,OG842298,ANOSI13293,7.669113648722131,9.848475608345813
ANOSI,OG1174245,ANOSI10141,4.814183123877918,3.126669881543822
ANOSI,OG456351,ANOSI10182,287.2722537878788,1442.3522599842463
ANOSI,OG1251511,ANOSI10202,8.37840332256576,4.825219725265466
ANOSI,OG961602,ANOSI10095,8.836065573770492,6.183479650315348
ANOSI,OG953187,ANOSI10125,8.982456140350877,4.276583437418138
ANOSI,OG814084,ANOSI08197,6.4699853587115665,4.4959937754703585
ANOSI,OG699681,ANOSI08225,3.4551282051282053,2.0995816088643457
ANOSI,OG946387,ANOSI17759,5.019138755980861,3.0113475804503635
ANOSI,OG946885,ANOSI17776,4.285714285714286,3.2826072265931594
ANOSI,OG1214309,ANOSI17769,7.296195652173913,5.089074687908552
ANOSI,OG341995,ANOSI16311,7.469343850842596,13.198088522943944
ANOSI,OG1079985,ANOSI16316,5.967221644120707,4.071993567623316
ANOSI,OG976835,ANOSI16315,10.602910602910603,5.866702957079279
