#species,og,gene_id,coverage,std
ANOGA,OG861720,ANOGA05778,17.791936978683967,54.40349534452093
ANOGA,OG676343,ANOGA05773,2.856896551724138,1.8937840306686757
ANOGA,OG951333,ANOGA05777,5.313915857605178,2.0797608166346273
ANOGA,OG960910,ANOGA05775,16.48021308980213,8.317976056564241
ANOGA,OG848281,ANOGA05255,5.615899581589958,3.322888533714209
ANOGA,OG1221639,ANOGA05250,3.729106628242075,1.297899015017629
ANOGA,OG964633,ANOGA05249,10.446135118685332,7.442781654539771
ANOGA,OG718578,ANOGA05248,6.696969696969697,4.190495072683936
ANOGA,OG961398,ANOGA05245,8.670558798999165,3.6615431200092354
ANOGA,OG411836,ANOGA05239,10.355385920271416,5.957162124389128
ANOGA,OG1241986,ANOGA04040,2.683527885862516,2.050839189264015
ANOGA,OG698904,ANOGA04041,8.90307582260372,4.484464262748078
ANOGA,OG1157040,ANOGA04042,6.282051282051282,2.563538399473525
ANOGA,OG958126,ANOGA04045,6.196969696969697,1.9897332575778
ANOGA,OG842298,ANOGA04047,6.730022197558268,4.519237201450051
ANOGA,OG1174245,ANOGA04055,6.453669384729429,4.121249274109952
ANOGA,OG456351,ANOGA04056,4.11276332094176,2.8989747089671667
ANOGA,OG1251511,ANOGA04057,8.328534031413612,5.362822618483995
ANOGA,OG961602,ANOGA04058,9.122489959839358,5.7413332821153045
ANOGA,OG953187,ANOGA05445,8.666666666666666,2.679775472161163
ANOGA,OG814084,ANOGA05434,6.735678391959799,4.017734982428604
ANOGA,OG699681,ANOGA05433,3.837758112094395,1.4554107127097087
ANOGA,OG946387,ANOGA05414,5.615551930396955,4.454054931972204
ANOGA,OG946885,ANOGA05407,10.14420803782506,6.378562520959469
ANOGA,OG1214309,ANOGA05405,6.8892508143322475,3.534950910599679
ANOGA,OG341995,ANOGA04081,5.116623947272061,5.000232703218896
ANOGA,OG1079985,ANOGA04086,5.7894736842105265,3.4549196900803447
ANOGA,OG976835,ANOGA04087,10.324748743718592,6.484863749643715
ANOGA,OG675570,ANOGA04091,5.170731707317073,2.7015508169421465
ANOGA,OG971355,ANOGA04093,12.736346516007533,5.024314111320798
ANOGA,OG1223272,ANOGA04094,8.227769852591535,4.011034366685437
ANOGA,OG1224967,ANOGA04095,9.113516676418959,5.77589965558168
ANOGA,OG457329,ANOGA04096,nan,nan
ANOGA,OG961439,ANOGA04097,12.3140756302521,6.454355850095206
ANOGA,OG998211,ANOGA04098,6.695652173913044,4.077347631132765
ANOGA,OG673136,ANOGA04099,6.344528710725894,2.9275172738922213
ANOGA,OG1139777,ANOGA04100,2.0,0.0
ANOGA,OG1221689,ANOGA04113,6.877541589648798,3.7672921408510374
ANOGA,OG1222683,ANOGA04115,8.713790713790713,6.401597793274553
ANOGA,OG1215812,ANOGA04116,11.438485804416404,4.316738192436302
ANOGA,OG896170,ANOGA04117,7.965277777777778,3.750147888030386
ANOGA,OG1231177,ANOGA04120,8.700970873786408,3.8918925391598997
ANOGA,OG961115,ANOGA04121,5.4631992149165844,3.5793774671806715
ANOGA,OG911937,ANOGA04125,6.869097429766886,3.6292901185446746
ANOGA,OG924410,ANOGA04132,6.2283298097251585,4.36726734473157
ANOGA,OG792952,ANOGA04134,5.205282112845138,2.9756710096425696
ANOGA,OG792914,ANOGA04135,6.772768259693417,4.519942545482846
ANOGA,OG1244115,ANOGA04136,5.939024390243903,2.0112340646527818
ANOGA,OG1170587,ANOGA04139,8.75323819978046,4.591564826958818
ANOGA,OG1226379,ANOGA04627,11.452830188679245,5.11090597786345
ANOGA,OG458150,ANOGA04629,nan,nan
ANOGA,OG975279,ANOGA04631,8.28060886829914,5.013880259969435
ANOGA,OG1174891,ANOGA04632,4.9041248606466,2.8315302948223557
ANOGA,OG455346,ANOGA04634,6.938369781312128,4.803099037523151
ANOGA,OG1240929,ANOGA04635,5.4080100125156445,3.58919752081913
ANOGA,OG822311,ANOGA04636,9.079814025571483,4.208235238717402
ANOGA,OG420493,ANOGA04637,4.04066985645933,2.4593871588721727
ANOGA,OG665560,ANOGA04640,6.32986360373295,3.339696595235895
ANOGA,OG420768,ANOGA04641,5.955736750145602,4.093308600838133
ANOGA,OG1181227,ANOGA04642,9.029502151198525,4.904533225147108
ANOGA,OG342477,ANOGA04643,35.27688426363923,157.6524634814141
ANOGA,OG966098,ANOGA04644,7.541409691629956,4.325806562718201
ANOGA,OG419349,ANOGA04655,7.056347589952478,6.518568347375983
ANOGA,OG736122,ANOGA04659,5.112994350282486,3.9690944331867146
ANOGA,OG1251119,ANOGA04663,8.70923209663503,4.504337016212496
ANOGA,OG796653,ANOGA04674,9.095486935866983,5.0560660458780236
ANOGA,OG793899,ANOGA04677,5.091362126245847,2.262644456964466
ANOGA,OG899270,ANOGA04679,7.758188153310105,3.9575351574041164
ANOGA,OG456648,ANOGA04680,4.914893617021277,3.160683474209915
ANOGA,OG1251552,ANOGA04696,6.538461538461538,3.679786461517416
ANOGA,OG1189787,ANOGA04698,8.207836456558773,3.306244144740893
ANOGA,OG962019,ANOGA04699,1.8010752688172043,1.0817145513852955
ANOGA,OG967514,ANOGA05706,7.900523560209424,3.87870652591505
ANOGA,OG762076,ANOGA05710,1.6056910569105691,0.7564143929239187
ANOGA,OG1198488,ANOGA05707,7.9235423542354235,4.669045385457551
ANOGA,OG456691,ANOGA05703,3.148936170212766,1.4609897779663883
ANOGA,OG1203459,ANOGA05696,2.220744680851064,1.255496629177459
ANOGA,OG1139996,ANOGA05695,7.324770642201835,3.6797276515520596
ANOGA,OG1208321,ANOGA05692,8.320799761265294,4.1089366346506
ANOGA,OG1240968,ANOGA05685,6.695807314897413,3.7567982142802037
ANOGA,OG961322,ANOGA05683,1.9444444444444444,0.2290614236454256
ANOGA,OG698997,ANOGA05682,9.034272300469484,6.376397872040771
ANOGA,OG1219581,ANOGA05679,24.578764142732812,79.38335078003583
ANOGA,OG823022,ANOGA05671,5.79155672823219,4.190872410461344
ANOGA,OG1174608,ANOGA05668,5.233409610983982,4.54929577362037
ANOGA,OG839253,ANOGA05660,4.143884892086331,0.8778747315557756
ANOGA,OG1150674,ANOGA05653,2.3267148014440435,1.0543571457831307
ANOGA,OG348620,ANOGA05652,9.756234915526951,4.9007149050290435
ANOGA,OG674682,ANOGA05648,4.06099518459069,3.6309889218419005
ANOGA,OG964673,ANOGA05646,7.641843971631205,4.712224272323678
ANOGA,OG373241,ANOGA05645,11.85885885885886,5.204631330496472
ANOGA,OG960979,ANOGA05643,10.760338345864662,3.446133045636637
ANOGA,OG1240325,ANOGA05642,5.952293577981651,3.2545690206450137
ANOGA,OG1240328,ANOGA05641,3.5308988764044944,1.6358519344891125
ANOGA,OG1231901,ANOGA05639,5.42512077294686,3.384383981924143
ANOGA,OG1194738,ANOGA05637,10.576648133439237,4.526451553447293
ANOGA,OG1214658,ANOGA05631,6.666666666666667,2.6700559856318122
ANOGA,OG344070,ANOGA05629,5.626551538046411,4.3735192491803385
ANOGA,OG925865,ANOGA05617,10.098765432098766,3.718837393899046
ANOGA,OG1202204,ANOGA05611,9.344725111441308,4.743028633201826
ANOGA,OG977782,ANOGA05610,7.066091954022989,4.132670466774088
ANOGA,OG351572,ANOGA04255,8.828965517241379,3.360375948618297
ANOGA,OG1218157,ANOGA04267,7.772789115646258,4.930683575342636
ANOGA,OG926503,ANOGA04270,7.2685589519650655,3.2339517273621983
ANOGA,OG817086,ANOGA04277,5.0584239130434785,2.150735393613359
ANOGA,OG949490,ANOGA04279,4.3978159126365055,1.9112757385974313
ANOGA,OG451043,ANOGA04280,6.271103896103896,3.777437642774498
ANOGA,OG451038,ANOGA04282,8.546897546897547,5.826957038259566
ANOGA,OG784747,ANOGA04289,13.757861635220126,5.038017525240337
ANOGA,OG978616,ANOGA04292,6.4423076923076925,5.3350909846184775
ANOGA,OG1218158,ANOGA04293,6.196747967479674,4.170588754899705
ANOGA,OG1236745,ANOGA04294,8.667083854818523,5.127833238696635
ANOGA,OG1190683,ANOGA04295,6.450810810810811,2.287690182173464
ANOGA,OG853434,ANOGA04296,5.8602484472049685,4.30178035515393
ANOGA,OG962230,ANOGA04299,2.507438016528926,1.2889976430715455
