#species,og,gene_id,coverage,std
ANOST,OG861720,ANOST00002,12.582184122251212,25.315810922604147
ANOST,OG676343,ANOST00003,6.157236842105263,3.2613587331066602
ANOST,OG951333,ANOST00004,11.780788177339902,3.7296211946555338
ANOST,OG960910,ANOST00006,28.586033117350613,12.781910167591562
ANOST,OG848281,ANOST00012,5.902340597255852,3.5873942166638155
ANOST,OG1221639,ANOST00016,7.708053691275167,5.780550782825278
ANOST,OG964633,ANOST00017,23.69929245283019,33.601144823675895
ANOST,OG718578,ANOST00019,6.567835365853658,3.6167339156755833
ANOST,OG961398,ANOST00021,9.884650317892826,5.510484647001861
ANOST,OG411836,ANOST00028,14.34029389017788,5.90006165424035
ANOST,OG1241986,ANOST00031,9.311783960720131,5.217386449881043
ANOST,OG698904,ANOST00032,11.510777269758329,5.897312663624568
ANOST,OG1157040,ANOST00033,10.405797101449275,4.9518118605127945
ANOST,OG958126,ANOST00036,5.308851224105461,3.114678328633646
ANOST,OG842298,ANOST00037,9.240059790732436,4.470739681513903
ANOST,OG1174245,ANOST00043,9.08468595624559,5.117106909472524
ANOST,OG456351,ANOST00044,28.574105621805792,113.09655907559501
ANOST,OG1251511,ANOST00045,12.29771650150797,4.7837005093668505
ANOST,OG961602,ANOST00046,12.753954305799649,7.016870657112769
ANOST,OG953187,ANOST00048,9.428571428571429,5.490336880200046
ANOST,OG814084,ANOST00057,9.10636277302944,5.22940834625405
ANOST,OG699681,ANOST00058,9.050147492625369,2.7265478906622627
ANOST,OG946387,ANOST00073,8.737257281553399,5.621087226125308
ANOST,OG946885,ANOST00079,11.215102974828376,5.7327555205992695
ANOST,OG1214309,ANOST00081,7.474226804123711,3.720499865277374
ANOST,OG341995,ANOST00098,57.85101358000394,362.36615041501483
ANOST,OG1079985,ANOST00101,8.937181663837013,5.334813063932055
ANOST,OG976835,ANOST00102,13.080399061032864,8.469428082658418
ANOST,OG675570,ANOST00108,6.32089552238806,3.8770290715856452
ANOST,OG971355,ANOST00110,17.555764411027567,9.714084191721122
ANOST,OG1223272,ANOST00111,10.934103551561831,5.667806221355218
ANOST,OG1224967,ANOST00112,8.476588628762542,3.9241354146787293
ANOST,OG457329,ANOST00113,3.104790419161677,1.0544066858048105
ANOST,OG961439,ANOST00114,17.69779643231899,14.667027120250996
ANOST,OG998211,ANOST00115,9.5,5.693191824897543
ANOST,OG673136,ANOST00116,5.021998166819432,2.3903012178392857
ANOST,OG1139777,ANOST00117,4.514705882352941,2.338882633292731
ANOST,OG1221689,ANOST00123,11.547732181425486,3.9160452785607025
ANOST,OG1222683,ANOST00125,13.942558746736292,6.513439869672848
ANOST,OG1215812,ANOST00126,10.536098310291859,4.462835385376771
ANOST,OG896170,ANOST00127,12.02242668200115,3.9163276680247754
ANOST,OG1231177,ANOST00129,11.042937149968886,4.263419995018282
ANOST,OG961115,ANOST00130,9.077137546468402,7.347495184527662
ANOST,OG911937,ANOST00134,9.129818594104309,5.614469055830951
ANOST,OG924410,ANOST00137,9.998201762272972,5.997901419510217
ANOST,OG792952,ANOST00138,9.594568380213385,5.340449163472355
ANOST,OG792914,ANOST00139,6.381091617933723,4.767498105357632
ANOST,OG1244115,ANOST00140,7.184438040345821,2.699234583265815
ANOST,OG1170587,ANOST00146,10.61629988417395,5.412321969506586
ANOST,OG1226379,ANOST00147,8.988774555659495,5.409331342256277
ANOST,OG458150,ANOST00149,5.507352941176471,0.8134559853725389
ANOST,OG975279,ANOST00151,9.435472739820566,4.241194076197881
ANOST,OG1174891,ANOST00152,12.192352259559675,3.7518739272922788
ANOST,OG455346,ANOST00156,8.978620019436345,4.538307913486778
ANOST,OG1240929,ANOST00157,4.6521739130434785,2.64449404163819
ANOST,OG822311,ANOST00158,18.849653045489593,7.754108635280627
ANOST,OG420493,ANOST00159,8.826649417852522,3.226421289345493
ANOST,OG665560,ANOST00160,9.787447428016822,5.688545050769296
ANOST,OG420768,ANOST00161,7.39633601429848,4.41357530651626
ANOST,OG1181227,ANOST00162,9.882882882882884,6.0391757667117565
