#species,og,gene_id,coverage,std
ANOST,OG861720,ANOST00002,15.40358040201005,10.094658757081762
ANOST,OG676343,ANOST00003,6.029888983774551,4.6624720379137745
ANOST,OG951333,ANOST00004,19.177339901477833,7.543181360812059
ANOST,OG960910,ANOST00006,51.84077809798271,14.347122434869446
ANOST,OG848281,ANOST00012,17.37328990228013,8.566623548030842
ANOST,OG1221639,ANOST00016,13.14655172413793,8.172973027570418
ANOST,OG964633,ANOST00017,26.630306603773583,7.521086796740703
ANOST,OG718578,ANOST00019,13.92533147243545,9.916293431192098
ANOST,OG961398,ANOST00021,15.839731285988483,8.842307734399846
ANOST,OG411836,ANOST00028,22.595296025952962,12.320834487284456
ANOST,OG1241986,ANOST00031,18.411354581673308,8.80991781743559
ANOST,OG698904,ANOST00032,26.816695059625214,7.196520594600596
ANOST,OG1157040,ANOST00033,18.106002554278415,7.492201291276822
ANOST,OG958126,ANOST00036,8.219325153374234,4.755628970656271
ANOST,OG842298,ANOST00037,19.37402821767924,10.750355893709523
ANOST,OG1174245,ANOST00043,10.524632117722328,7.101845779535552
ANOST,OG456351,ANOST00044,19.562709030100333,40.007917591773804
ANOST,OG1251511,ANOST00045,26.222652885443583,8.367420939939839
ANOST,OG961602,ANOST00046,23.086,9.879403018401467
ANOST,OG953187,ANOST00048,20.857407407407408,13.088729981847852
ANOST,OG814084,ANOST00057,18.130104463437796,7.031956339497378
ANOST,OG699681,ANOST00058,17.182890855457227,11.716496295747481
ANOST,OG946387,ANOST00073,17.88137254901961,8.621316836682324
ANOST,OG946885,ANOST00079,21.765064836003052,10.671277129900348
ANOST,OG1214309,ANOST00081,21.625316455696204,8.670705347834726
ANOST,OG341995,ANOST00098,20.423026980233733,31.88007684289011
ANOST,OG1079985,ANOST00101,19.225490196078432,9.878583353570152
ANOST,OG976835,ANOST00102,25.86842105263158,10.897432358581042
ANOST,OG675570,ANOST00108,7.268796992481203,5.118256067188732
ANOST,OG971355,ANOST00110,26.474937343358395,8.460952530767663
ANOST,OG1223272,ANOST00111,21.966019417475728,9.789406154487736
ANOST,OG1224967,ANOST00112,23.391741071428573,7.652358623613021
ANOST,OG457329,ANOST00113,19.185995623632387,14.10876710942179
ANOST,OG961439,ANOST00114,16.291583166332664,7.273786168774506
ANOST,OG998211,ANOST00115,18.611425171080036,10.015051470540788
ANOST,OG673136,ANOST00116,18.365953109072375,12.522014165879314
ANOST,OG1139777,ANOST00117,16.43342776203966,3.0992485392813798
ANOST,OG1221689,ANOST00123,19.895890410958906,9.746613110693517
ANOST,OG1222683,ANOST00125,22.2920892494929,10.918711800056688
ANOST,OG1215812,ANOST00126,19.193548387096776,8.946642729761114
ANOST,OG896170,ANOST00127,21.914367816091954,7.988434197149188
ANOST,OG1231177,ANOST00129,23.98659354052407,8.378526027287853
ANOST,OG961115,ANOST00130,19.25,11.821061712046005
ANOST,OG911937,ANOST00134,21.99622641509434,9.584887407924553
ANOST,OG924410,ANOST00137,19.922470674486803,10.804160138597524
ANOST,OG792952,ANOST00138,21.654460093896713,9.942975500206328
ANOST,OG792914,ANOST00139,18.635388739946382,13.201580002857543
ANOST,OG1244115,ANOST00140,11.235632183908047,5.921584849436774
ANOST,OG1170587,ANOST00146,23.02820330729431,8.898855410841726
ANOST,OG1226379,ANOST00147,23.63245614035088,10.871538534527918
ANOST,OG458150,ANOST00149,3.799256505576208,1.2482848475403927
ANOST,OG975279,ANOST00151,15.341166936790923,9.409440788262655
ANOST,OG1174891,ANOST00152,13.346633416458852,8.608529371671056
ANOST,OG455346,ANOST00156,25.63612099644128,8.628873027343412
ANOST,OG1240929,ANOST00157,11.957730812013349,6.393509794084029
ANOST,OG822311,ANOST00158,28.30054844606947,11.96437351902987
ANOST,OG420493,ANOST00159,11.496010638297872,8.431355172357526
ANOST,OG665560,ANOST00160,19.77970911670805,10.480749754542273
ANOST,OG420768,ANOST00161,16.41858407079646,6.920855344761159
ANOST,OG1181227,ANOST00162,25.192735793790277,10.30045385853289
ANOST,OG342477,ANOST00163,67.83057142857143,198.86550985086606
ANOST,OG966098,ANOST00164,20.15681137724551,7.459604186758443
ANOST,OG419349,ANOST00176,16.210526315789473,8.616879085597809
ANOST,OG736122,ANOST00177,3.6579330422125182,3.5394664572391856
ANOST,OG1251119,ANOST00180,25.005106382978724,9.245399976927095
ANOST,OG796653,ANOST00189,28.92925430210325,9.493654491664202
ANOST,OG793899,ANOST00192,17.076512455516013,12.206534476354978
ANOST,OG899270,ANOST00194,16.909429280397024,9.666548978471445
ANOST,OG456648,ANOST00195,20.515934539190354,16.287256507997277
ANOST,OG1251552,ANOST00206,16.15527950310559,6.549596424794058
