#species,og,gene_id,coverage,std
ANOST,OG861720,ANOST00002,38.81301102026306,98.58862460475008
ANOST,OG676343,ANOST00003,6.653968253968254,2.9169904798112816
ANOST,OG951333,ANOST00004,35.002857142857145,23.056514241740704
ANOST,OG960910,ANOST00006,129.73285198555956,56.52131737547311
ANOST,OG848281,ANOST00012,27.86909372579396,19.794076934094644
ANOST,OG1221639,ANOST00016,23.548476454293628,9.960225840152509
ANOST,OG964633,ANOST00017,65.04464285714286,34.108628193162325
ANOST,OG718578,ANOST00019,26.183882783882783,20.68838830274159
ANOST,OG961398,ANOST00021,38.327651515151516,20.33531952643466
ANOST,OG411836,ANOST00028,36.97149643705463,24.8410461201818
ANOST,OG1241986,ANOST00031,27.67208413001912,18.161599984914396
ANOST,OG698904,ANOST00032,53.33964143426295,23.97810219204156
ANOST,OG1157040,ANOST00033,26.534285714285716,18.747501819970466
ANOST,OG958126,ANOST00036,26.36346516007533,13.863937368851255
ANOST,OG842298,ANOST00037,44.098566308243726,27.107828587040768
ANOST,OG1174245,ANOST00043,43.28012820512821,26.512413444464656
ANOST,OG456351,ANOST00044,96.45273899033297,384.8946654773304
ANOST,OG1251511,ANOST00045,64.91785559878944,25.16397063890172
ANOST,OG961602,ANOST00046,57.884892086330936,19.41349099626895
ANOST,OG953187,ANOST00048,59.01898734177215,20.700538584990984
ANOST,OG814084,ANOST00057,27.446581196581196,16.365200762718768
ANOST,OG699681,ANOST00058,35.392330383480825,10.368550710289732
ANOST,OG946387,ANOST00073,32.69644902634593,19.898584769306705
ANOST,OG946885,ANOST00079,41.631497284716836,27.514407837395755
ANOST,OG1214309,ANOST00081,29.788413098236777,13.41549037927811
ANOST,OG341995,ANOST00098,72.27334127930075,333.526535551587
ANOST,OG1079985,ANOST00101,38.85754484699261,35.142848561505296
ANOST,OG976835,ANOST00102,74.68882175226587,36.422418838951515
ANOST,OG675570,ANOST00108,10.489495798319327,9.880477682864276
ANOST,OG971355,ANOST00110,102.56587202007528,50.92254052873649
ANOST,OG1223272,ANOST00111,83.0264817150063,52.63981894664518
ANOST,OG1224967,ANOST00112,53.80330773774365,28.77268489433593
ANOST,OG457329,ANOST00113,9.357320099255583,6.731015192587716
ANOST,OG961439,ANOST00114,13.731428571428571,11.921068298930054
ANOST,OG998211,ANOST00115,33.14134742404227,25.29030588514835
ANOST,OG673136,ANOST00116,27.878109452736318,21.6524461961363
ANOST,OG1139777,ANOST00117,25.94460641399417,11.861930127981916
ANOST,OG1221689,ANOST00123,45.97365010799136,18.013810308724214
