#species,og,gene_id,coverage,std
ANODA,OG861720,ANODA08506,11.91470588235294,5.484879340886456
ANODA,OG676343,ANODA08502,nan,nan
ANODA,OG951333,ANODA08505,16.59753086419753,7.461075540721729
ANODA,OG960910,ANODA08504,102.61567732115677,29.332930116666006
ANODA,OG848281,ANODA03007,16.34206586826347,12.12030129644554
ANODA,OG1221639,ANODA05486,7.599118942731278,3.1486797623392127
ANODA,OG964633,ANODA05487,37.50651130911583,20.32769052681381
ANODA,OG718578,ANODA00549,5.254475703324808,3.355790379767348
ANODA,OG961398,ANODA01312,19.18385214007782,9.330311880712618
ANODA,OG411836,ANODA03579,36.538304392236974,28.478031487638336
ANODA,OG1241986,ANODA03573,38.627684964200476,17.753611945818506
ANODA,OG698904,ANODA03572,49.744396240057846,16.928054644150027
ANODA,OG1157040,ANODA03571,20.448322147651005,11.972017732788716
ANODA,OG958126,ANODA01492,17.47842401500938,6.340406452986024
ANODA,OG842298,ANODA01152,26.286018755328218,22.635770918402734
ANODA,OG1174245,ANODA09078,18.853099730458222,9.998381801054084
ANODA,OG456351,ANODA09077,22.938762626262626,54.10876310666834
ANODA,OG1251511,ANODA09076,50.311435523114355,19.409239544379325
ANODA,OG961602,ANODA09075,40.410821643286575,11.848981384319261
ANODA,OG953187,ANODA09070,34.05446623093682,13.982220140334695
ANODA,OG814084,ANODA09331,18.480898876404495,11.160029765218395
ANODA,OG699681,ANODA09332,15.755162241887906,9.646048370315594
ANODA,OG946387,ANODA07723,22.381559220389803,12.651741243377195
ANODA,OG946885,ANODA07717,34.56345177664975,21.79303396046519
ANODA,OG1214309,ANODA07715,11.619469026548673,5.84280600558945
ANODA,OG341995,ANODA06295,11.194467496542185,8.96219645187651
ANODA,OG1079985,ANODA06296,25.8207222699914,19.727706173802208
ANODA,OG976835,ANODA06297,56.86130867709815,39.84759332247302
ANODA,OG675570,ANODA03502,6.698529411764706,1.3737018093093034
ANODA,OG971355,ANODA03504,40.0,24.800048718751384
ANODA,OG1223272,ANODA01666,33.0,14.721823233166187
ANODA,OG1224967,ANODA01667,11.081203007518797,5.4467504332488215
ANODA,OG457329,ANODA01668,9.2,3.7824154540011423
ANODA,OG961439,ANODA01669,26.375460122699387,12.176670301642929
ANODA,OG998211,ANODA01670,8.127957931638914,5.715986019972974
ANODA,OG673136,ANODA03220,4.2105263157894735,2.963044905699427
ANODA,OG1139777,ANODA01246,9.707602339181287,6.957422775577403
ANODA,OG1221689,ANODA08570,27.676,12.98629711999879
ANODA,OG1222683,ANODA08571,48.92938496583144,20.51046425892884
ANODA,OG1215812,ANODA08572,24.732415902140673,12.971868691281337
ANODA,OG896170,ANODA03515,52.05317679558011,20.53374303841456
ANODA,OG1231177,ANODA03650,35.26125554850983,16.685048549359756
ANODA,OG961115,ANODA03651,21.101479915433405,12.994805350499743
ANODA,OG911937,ANODA03653,31.335192414947016,13.052717114479165
ANODA,OG924410,ANODA03655,30.906019007391762,19.861862860651044
ANODA,OG792952,ANODA03657,33.124015748031496,16.844833024455873
ANODA,OG792914,ANODA03658,22.39831401475237,14.902685287211735
ANODA,OG1244115,ANODA03659,12.253687315634219,5.789366432507023
ANODA,OG1170587,ANODA03456,38.74542163543441,17.13254491626224
ANODA,OG1226379,ANODA02643,17.838012958963283,9.07085749325272
ANODA,OG458150,ANODA02645,nan,nan
ANODA,OG975279,ANODA02647,15.172581767571328,10.270089524729492
ANODA,OG1174891,ANODA02648,14.976058931860036,8.121395788339271
ANODA,OG455346,ANODA06172,40.47010869565217,23.422030181311616
ANODA,OG1240929,ANODA06171,5.084134615384615,3.8946632891335873
ANODA,OG822311,ANODA06170,30.66680743243243,15.73736772297238
ANODA,OG420493,ANODA06168,3.3844621513944224,2.3822044449399775
ANODA,OG665560,ANODA06166,21.126302083333332,12.818244750284265
ANODA,OG420768,ANODA06165,42.52274754683319,24.902139777753124
ANODA,OG1181227,ANODA06163,32.48628137769994,17.432781883194266
ANODA,OG342477,ANODA06162,26.10201706749418,47.07083354520627
ANODA,OG966098,ANODA06161,37.416187527642634,16.34089747708783
ANODA,OG419349,ANODA03242,9.566780821917808,5.708890499281177
ANODA,OG736122,ANODA03241,15.245152354570637,8.51067506568903
ANODA,OG1251119,ANODA03237,39.48085901027078,15.078795767626268
ANODA,OG796653,ANODA01604,48.49436870183758,20.510666279779084
ANODA,OG793899,ANODA01385,25.024875621890548,12.852823403010506
ANODA,OG899270,ANODA01952,24.09460580912863,19.92752875892981
ANODA,OG456648,ANODA01951,19.192307692307693,8.61525583694963
ANODA,OG1251552,ANODA07755,nan,nan
ANODA,OG1189787,ANODA07757,13.355212355212355,6.431798556928924
ANODA,OG962019,ANODA07758,6.357142857142857,1.3999109139132477
ANODA,OG967514,ANODA06786,35.61282159426403,15.411145438332612
ANODA,OG762076,ANODA10391,24.572831423895252,13.73000757546472
ANODA,OG1198488,ANODA06785,48.62535370684776,18.37150398165004
ANODA,OG456691,ANODA06792,nan,nan
ANODA,OG1203459,ANODA03477,12.384017758046616,8.801241579230608
ANODA,OG1139996,ANODA03476,11.652323580034423,7.72524856176674
ANODA,OG1208321,ANODA05883,40.55832730778501,18.723902122026455
ANODA,OG1240968,ANODA05983,37.59006734006734,15.1387344852087
ANODA,OG961322,ANODA05981,13.279069767441861,6.676322554789996
ANODA,OG698997,ANODA05980,47.71558650241028,34.45329369453858
ANODA,OG1219581,ANODA05977,7.647761194029851,1.9133746236517288
ANODA,OG823022,ANODA00759,11.734279918864097,7.147985243501898
ANODA,OG1174608,ANODA04336,16.004504504504503,8.901613249752986
ANODA,OG839253,ANODA06918,6.972677595628415,3.1543736554743322
ANODA,OG1150674,ANODA06923,7.011560693641618,3.82641932457387
ANODA,OG348620,ANODA06924,39.82297063903282,16.986551344554197
ANODA,OG674682,ANODA07073,17.71219512195122,12.862377135970771
ANODA,OG964673,ANODA07075,18.59414990859232,6.167957134230337
ANODA,OG373241,ANODA00581,44.546546546546544,10.579958464317913
ANODA,OG960979,ANODA00582,72.585,26.75246608570258
ANODA,OG1240325,ANODA00791,12.447552447552448,6.5065987537899055
ANODA,OG1240328,ANODA00790,12.610810810810811,3.888985401193213
ANODA,OG1231901,ANODA00788,20.15210355987055,11.021522212730666
ANODA,OG1194738,ANODA04923,37.94490358126722,17.507172719089958
ANODA,OG1214658,ANODA02027,11.018461538461539,4.772320587196783
ANODA,OG344070,ANODA02026,17.941176470588236,11.979491271652076
