#species,og,gene_id,coverage,std
ANOGA,OG861720,ANOGA05778,9.573405073020753,13.157890575945382
ANOGA,OG676343,ANOGA05773,nan,nan
ANOGA,OG951333,ANOGA05777,6.304123711340206,4.339376588932078
ANOGA,OG960910,ANOGA05775,23.64900153609831,11.59879071315963
ANOGA,OG848281,ANOGA05255,3.304740406320542,2.0021771700316062
ANOGA,OG1221639,ANOGA05250,6.509316770186335,2.804428645926195
ANOGA,OG964633,ANOGA05249,22.677480916030536,13.406292501713265
ANOGA,OG718578,ANOGA05248,3.7117117117117115,0.45296594918834354
ANOGA,OG961398,ANOGA05245,11.29080118694362,8.242282272728945
ANOGA,OG411836,ANOGA05239,19.547153024911033,12.132149757196034
ANOGA,OG1241986,ANOGA04040,5.8687258687258685,4.1890047347134605
ANOGA,OG698904,ANOGA04041,22.219382321618742,11.93180274876227
ANOGA,OG1157040,ANOGA04042,6.372372372372372,2.4518337966599453
ANOGA,OG958126,ANOGA04045,7.861111111111111,4.145185367193494
ANOGA,OG842298,ANOGA04047,9.431818181818182,7.417618158029446
ANOGA,OG1174245,ANOGA04055,10.689933872152828,5.194324609744267
ANOGA,OG456351,ANOGA04056,7.626450116009281,6.153085444244255
ANOGA,OG1251511,ANOGA04057,21.546188340807173,9.418775795674904
ANOGA,OG961602,ANOGA04058,12.765060240963855,4.848200106583829
ANOGA,OG953187,ANOGA05445,10.74083129584352,4.898612177437344
ANOGA,OG814084,ANOGA05434,8.604878048780488,3.285094537960709
ANOGA,OG699681,ANOGA05433,8.071005917159763,3.8784398200610006
ANOGA,OG946387,ANOGA05414,29.41119691119691,18.40867131675952
ANOGA,OG946885,ANOGA05407,8.66576454668471,4.943858540722834
ANOGA,OG1214309,ANOGA05405,nan,nan
ANOGA,OG341995,ANOGA04081,9.32761310452418,17.414654884755773
ANOGA,OG1079985,ANOGA04086,10.846467391304348,5.792335970827026
ANOGA,OG976835,ANOGA04087,16.145272867025366,14.357292748154586
ANOGA,OG675570,ANOGA04091,6.10062893081761,2.086780700623892
ANOGA,OG971355,ANOGA04093,17.133501259445843,15.464695941748655
ANOGA,OG1223272,ANOGA04094,16.777148739063303,8.451627531307441
ANOGA,OG1224967,ANOGA04095,17.300807537012112,10.911196017868388
ANOGA,OG457329,ANOGA04096,nan,nan
ANOGA,OG961439,ANOGA04097,15.053175775480058,8.501983926269482
ANOGA,OG998211,ANOGA04098,7.008362369337979,5.600391950666725
ANOGA,OG673136,ANOGA04099,2.119642857142857,1.3329504924437825
ANOGA,OG1139777,ANOGA04100,2.0,0.0
ANOGA,OG1221689,ANOGA04113,12.291119285338938,6.023631860106185
ANOGA,OG1222683,ANOGA04115,20.50877192982456,5.902094405792284
ANOGA,OG1215812,ANOGA04116,12.769392033542976,7.824413913482356
ANOGA,OG896170,ANOGA04117,17.602985074626865,7.972901308083147
ANOGA,OG1231177,ANOGA04120,8.39764052741152,5.736714245847548
ANOGA,OG961115,ANOGA04121,8.166427546628407,6.040833600987718
ANOGA,OG911937,ANOGA04125,12.316455696202532,5.560800963706927
ANOGA,OG924410,ANOGA04132,8.053920220082532,4.8666235944020935
ANOGA,OG792952,ANOGA04134,nan,nan
