#species,og,gene_id,coverage,std
ANOSI,OG861720,ANOSI11902,5.947903430749682,2.6762791691893373
ANOSI,OG676343,ANOSI11914,nan,nan
ANOSI,OG951333,ANOSI11872,4.272972972972973,1.504434642603039
ANOSI,OG960910,ANOSI11898,25.8125,13.387798042730061
ANOSI,OG848281,ANOSI16815,7.991584852734923,3.1288257387827754
ANOSI,OG1221639,ANOSI13259,4.319277108433735,2.603378612557027
ANOSI,OG964633,ANOSI13303,13.542732376793513,6.212690151789281
ANOSI,OG718578,ANOSI13311,2.5805243445692883,0.884783404358556
ANOSI,OG961398,ANOSI02900,14.05775764439411,11.579947832388255
ANOSI,OG411836,ANOSI13282,15.809433962264151,13.27892022421668
ANOSI,OG1241986,ANOSI13275,10.322757111597374,6.47835874311253
ANOSI,OG698904,ANOSI13273,19.208960988798765,11.439767061231683
ANOSI,OG1157040,ANOSI13306,3.5026178010471205,1.7027060247745474
ANOSI,OG958126,ANOSI13277,3.7567567567567566,2.478615627183693
ANOSI,OG842298,ANOSI13293,10.318391866913124,7.841946903681232
ANOSI,OG1174245,ANOSI10141,10.486910994764397,6.962145442792627
ANOSI,OG456351,ANOSI10182,9.717277486910994,14.8478730798825
ANOSI,OG1251511,ANOSI10202,20.412897447380207,8.346217169773002
ANOSI,OG961602,ANOSI10095,7.78989898989899,3.2211891570903677
ANOSI,OG953187,ANOSI10125,5.874692874692875,2.604385517329004
ANOSI,OG814084,ANOSI08197,7.647410358565737,2.999532378384399
ANOSI,OG699681,ANOSI08225,7.7477203647416415,3.4623729894620983
ANOSI,OG946387,ANOSI17759,24.80787037037037,15.434228228850097
ANOSI,OG946885,ANOSI17776,10.35820895522388,6.221707115903308
ANOSI,OG1214309,ANOSI17769,2.0,0.0
ANOSI,OG341995,ANOSI16311,3.878096479791395,2.7186885261639113
ANOSI,OG1079985,ANOSI16316,11.141824751580849,5.2478527044142895
ANOSI,OG976835,ANOSI16315,14.061847389558233,9.350911634401255
ANOSI,OG675570,ANOSI13707,4.0,0.0
ANOSI,OG971355,ANOSI13700,19.51410373066424,16.172425430524992
ANOSI,OG1223272,ANOSI13699,14.261530113944655,9.076988562849
ANOSI,OG1224967,ANOSI13721,18.523842917251052,9.795299318463849
ANOSI,OG457329,ANOSI13708,nan,nan
ANOSI,OG961439,ANOSI13690,9.580568720379146,4.191720756360799
ANOSI,OG998211,ANOSI13712,8.889283179559971,6.230874394869106
ANOSI,OG673136,ANOSI13684,5.263868065967016,4.78339820435159
ANOSI,OG1139777,ANOSI13705,3.6216216216216215,0.615915842707647
ANOSI,OG1221689,ANOSI12385,11.118311242022582,8.4598589263557
ANOSI,OG1222683,ANOSI12376,14.270110076206604,4.731829176388521
ANOSI,OG1215812,ANOSI12428,12.963350785340314,6.3201705367358825
ANOSI,OG896170,ANOSI12371,19.814037626628075,6.379757676445217
ANOSI,OG1231177,ANOSI05477,9.150208623087622,4.711093862435421
ANOSI,OG961115,ANOSI05647,6.2057692307692305,2.8110300234788332
ANOSI,OG911937,ANOSI05566,8.035003431708992,4.400756067269817
ANOSI,OG924410,ANOSI05511,8.92074012703673,6.36885745825091
ANOSI,OG792952,ANOSI05501,1.8653846153846154,0.34131229517882394
ANOSI,OG792914,ANOSI05550,1.7289719626168225,0.44449054020912576
ANOSI,OG1244115,ANOSI05521,2.0200803212851404,0.3162252158237675
ANOSI,OG1170587,ANOSI05651,7.497363465160075,5.750189763322664
ANOSI,OG1226379,ANOSI13958,3.639130434782609,2.4698599028099766
ANOSI,OG458150,ANOSI13956,nan,nan
ANOSI,OG975279,ANOSI13957,3.060064935064935,2.7257721405167388
ANOSI,OG1174891,ANOSI13945,3.4491315136476426,1.9873715424440814
ANOSI,OG455346,ANOSI13964,15.996932515337424,6.291731094149685
ANOSI,OG1240929,ANOSI13949,8.736470588235294,4.9866845536258095
ANOSI,OG822311,ANOSI13972,10.966417910447761,6.32003972250235
ANOSI,OG420493,ANOSI13963,2.0,0.0
ANOSI,OG665560,ANOSI13979,14.096858638743456,16.034698650504094
ANOSI,OG420768,ANOSI13955,11.967075892857142,6.077395979860617
ANOSI,OG1181227,ANOSI13961,14.077209302325581,7.647622620585447
ANOSI,OG342477,ANOSI13940,69.46432015429123,201.58380826572827
ANOSI,OG966098,ANOSI13976,6.384572072072072,3.7895316686007705
ANOSI,OG419349,ANOSI16375,9.561774023231257,7.1631416228361555
ANOSI,OG736122,ANOSI16384,nan,nan
ANOSI,OG1251119,ANOSI19256,16.161634103019537,7.172115346083232
ANOSI,OG796653,ANOSI16455,16.561657513729404,9.506524424760574
ANOSI,OG793899,ANOSI18657,3.414342629482072,2.464818885351441
ANOSI,OG899270,ANOSI18211,16.06951871657754,10.100765821379506
ANOSI,OG456648,ANOSI18213,2.910179640718563,0.9959579825768522
ANOSI,OG1251552,ANOSI09497,1.0,0.0
ANOSI,OG1189787,ANOSI09481,1.3732718894009217,0.4836734290655088
ANOSI,OG962019,ANOSI09471,2.0,0.0
ANOSI,OG967514,ANOSI18502,8.29094827586207,7.702541282214666
ANOSI,OG762076,ANOSI09475,nan,nan
ANOSI,OG1198488,ANOSI18498,18.178409090909092,8.198114373878305
ANOSI,OG456691,ANOSI18513,nan,nan
ANOSI,OG1203459,ANOSI13887,3.89247311827957,0.37279431878192937
ANOSI,OG1139996,ANOSI13881,3.467094703049759,1.5387323801560824
ANOSI,OG1208321,ANOSI11134,11.985798650168729,7.060636115015389
ANOSI,OG1240968,ANOSI11112,9.539325842696629,5.838762720586415
ANOSI,OG961322,ANOSI11117,5.186915887850467,1.3951239593971658
ANOSI,OG698997,ANOSI11073,23.714207350521118,21.24441912490929
ANOSI,OG1219581,ANOSI11081,8.311203319502075,3.595559589200415
ANOSI,OG823022,ANOSI10093,3.1341463414634148,1.0331362992028292
ANOSI,OG1174608,ANOSI10178,10.288288288288289,4.347283271747746
ANOSI,OG839253,ANOSI18124,3.7857142857142856,0.7034898429854362
ANOSI,OG1150674,ANOSI16840,nan,nan
ANOSI,OG348620,ANOSI16831,4.187707641196013,2.904283992520483
ANOSI,OG674682,ANOSI10188,10.648068669527897,4.773020399890804
ANOSI,OG964673,ANOSI18236,3.6123076923076924,2.198706451341697
ANOSI,OG373241,ANOSI13370,6.63939393939394,3.435151568614871
ANOSI,OG960979,ANOSI13351,16.678333333333335,7.303414536289782
ANOSI,OG1240325,ANOSI13359,5.733041575492341,3.2135622994643245
ANOSI,OG1240328,ANOSI13371,nan,nan
ANOSI,OG1231901,ANOSI13321,6.442460317460317,3.521569407195482
ANOSI,OG1194738,ANOSI13345,17.511439114391145,6.6018320555611965
ANOSI,OG1214658,ANOSI13358,5.707920792079208,2.866473431643867
ANOSI,OG344070,ANOSI13377,8.42377495462795,4.92476031423067
ANOSI,OG925865,ANOSI19077,8.154185022026432,5.106186764949181
ANOSI,OG1202204,ANOSI18328,8.12531969309463,4.97997507544127
ANOSI,OG977782,ANOSI18323,4.0,0.0
ANOSI,OG351572,ANOSI08252,3.925925925925926,0.377705149155021
ANOSI,OG1218157,ANOSI08193,9.887323943661972,6.53322881538795
ANOSI,OG926503,ANOSI08194,5.263665594855305,2.9846226588137386
ANOSI,OG817086,ANOSI08325,10.603328710124826,3.0594098972986448
ANOSI,OG949490,ANOSI08215,3.163793103448276,1.688078375216026
ANOSI,OG451043,ANOSI08181,6.571428571428571,1.7010428001177167
ANOSI,OG451038,ANOSI08326,16.24271844660194,8.517789516131286
ANOSI,OG784747,ANOSI08261,15.501470588235295,6.4855040315501
ANOSI,OG978616,ANOSI08335,13.20326409495549,3.9332624046589753
ANOSI,OG1218158,ANOSI08297,12.716440422322774,4.024189827757766
ANOSI,OG1236745,ANOSI08307,3.3446327683615817,1.3529156652741934
ANOSI,OG1190683,ANOSI08201,6.821629213483146,3.3504039061622817
ANOSI,OG853434,ANOSI08170,11.68361581920904,6.551526533579921
ANOSI,OG962230,ANOSI08287,3.7014388489208634,1.311569196440627
ANOSI,OG1230391,ANOSI08180,nan,nan
ANOSI,OG352732,ANOSI08184,nan,nan
ANOSI,OG823037,ANOSI08294,2.0,0.0
ANOSI,OG964344,ANOSI08292,9.077836411609498,7.41089617565063
ANOSI,OG456720,ANOSI08234,9.078947368421053,6.615299567340164
ANOSI,OG1146505,ANOSI08230,6.839518555667001,4.102782157659158
ANOSI,OG671266,ANOSI08178,19.56134393063584,8.499931651386587
ANOSI,OG664391,ANOSI08311,11.590867579908675,6.949833852079201
ANOSI,OG722946,ANOSI08175,21.856,9.76287170867261
ANOSI,OG961377,ANOSI08182,13.863532110091743,8.028244315555758
ANOSI,OG1146507,ANOSI09519,6.505905511811024,3.611819585123464
ANOSI,OG986274,ANOSI08263,12.817582417582418,7.879150305706235
ANOSI,OG988784,ANOSI08226,9.459978070175438,6.171395105110248
ANOSI,OG362633,ANOSI16462,nan,nan
ANOSI,OG375937,ANOSI09099,nan,nan
ANOSI,OG949414,ANOSI16805,7.858695652173913,4.345991460752956
ANOSI,OG917347,ANOSI11939,13.326086956521738,8.402176256632028
ANOSI,OG1081004,ANOSI11947,7.272845953002611,3.741304137932351
ANOSI,OG960945,ANOSI11923,8.219341974077766,6.237229806470714
