#species,og,gene_id,coverage,std
ANOGA,OG1079985,ANOGA04086,17.81844850065189,8.911265371784017
ANOGA,OG1081004,ANOGA04408,15.812437810945273,8.709413019923051
ANOGA,OG1138880,ANOGA05943,10.029368575624082,6.3423399088247585
ANOGA,OG1139777,ANOGA04100,11.793201133144477,1.9130561423382464
ANOGA,OG1139996,ANOGA05695,12.126623376623376,7.101550427092977
ANOGA,OG1144131,ANOGA06520,22.351965892941735,8.915665967313524
ANOGA,OG1146505,ANOGA04324,15.214566929133857,9.258323793112819
ANOGA,OG1146507,ANOGA05711,12.38012958963283,8.499307199847232
ANOST,OG1150674,ANOST00260,8.60077519379845,3.8862441323110573
ANOGA,OG1150857,ANOGA04505,12.980392156862745,8.505434422833936
ANOGA,OG1152239,ANOGA06528,13.371428571428572,7.740526797449952
ANOGA,OG1157040,ANOGA04042,21.415070242656448,7.09037645526059
ANOGA,OG1162063,ANOGA04462,13.296581196581197,7.945976045793883
ANOGA,OG1168250,ANOGA05380,13.877133105802049,5.029461594553467
ANOGA,OG1168476,ANOGA04432,21.150510204081634,9.847319108124953
ANOGA,OG1170587,ANOGA04139,28.710472904404302,8.562127321759899
ANOGA,OG1174245,ANOGA04055,16.218367346938777,8.624553782468336
ANOGA,OG1174608,ANOGA05668,19.036036036036037,5.387553102395729
ANOGA,OG1174891,ANOGA04632,17.160535117056856,8.559639480156898
ANOST,OG1176412,ANOST00547,14.574700109051253,7.894533792758931
ANOGA,OG1179948,ANOGA04501,4.66785079928952,2.1608859851034694
ANOGA,OG1179969,ANOGA05488,20.740375123395854,10.498251252428565
ANOST,OG1181227,ANOST00162,23.333333333333332,9.718583144091388
ANOGA,OG1183200,ANOGA05481,17.030674846625768,6.753161779722861
ANOGA,OG1189787,ANOGA04698,23.02891156462585,7.609351177723412
ANOGA,OG1190683,ANOGA04295,26.009212730318257,8.873336240114126
ANOGA,OG1191966,ANOGA05362,24.78265306122449,8.76267042409254
ANOST,OG1192905,ANOST00488,24.758689175769614,9.343513937529412
ANOGA,OG1194738,ANOGA05637,27.181129476584022,11.743510104661091
ANOGA,OG1197765,ANOGA04431,18.841867469879517,9.606442059507605
ANODA,OG1198488,ANODA06785,24.00568504832291,9.570537719461447
ANODA,OG1198490,ANODA04841,23.726054922973876,9.884156762138286
ANODA,OG1202204,ANODA07035,14.252793296089385,9.703225030698794
ANOGA,OG1202789,ANOGA05383,20.287303664921467,9.838980923315093
ANOGA,OG1203459,ANOGA05696,10.929533678756476,4.8339482023454705
ANOGA,OG1204971,ANOGA05312,17.862819732034104,9.15949651773329
ANOGA,OG1208321,ANOGA05692,25.219339909876993,8.950410540284919
ANOGA,OG1212040,ANOGA05460,20.97720797720798,9.213715208866498
ANOGA,OG1214309,ANOGA05405,17.955223880597014,5.878791045262417
ANOST,OG1214658,ANOST00276,15.560477001703578,6.184638201810232
ANOGA,OG1215812,ANOGA04116,15.766513056835638,4.300985845021677
ANOSI,OG1216622,ANOSI15784,14.892455858747994,8.156848695797011
ANOGA,OG1218157,ANOGA04267,14.330623306233063,5.932242513376
ANOST,OG1218158,ANOST00323,20.695156695156694,6.457924694297156
ANOGA,OG1218490,ANOGA05471,12.895008605851979,6.39540437478081
ANOGA,OG1219581,ANOGA05679,23.441486068111455,16.06577464112656
ANOST,OG1221639,ANOST00016,17.13714285714286,8.078793605635001
ANOST,OG1221689,ANOST00123,18.10856401384083,7.427322328341864
ANOGA,OG1222683,ANOGA04115,25.09616634178038,11.164892279420203
ANOGA,OG1223272,ANOGA04094,20.123531970421922,10.946048182895534
ANOGA,OG1223886,ANOGA05389,15.168831168831169,4.123323788733324
ANOGA,OG1224967,ANOGA04095,21.13456169737577,6.488600605475939
ANOGA,OG1225085,ANOGA05304,20.946067949631743,11.315123353031275
ANOGA,OG1226379,ANOGA04627,26.036661466458657,10.087730492182022
