#species,og,gene_id,coverage,std
ANOGA,OG1079985,ANOGA04086,12.36265631737818,18.147519761552545
ANOGA,OG1081004,ANOGA04408,7.915211970074813,6.2674429327412655
ANOST,OG1138880,ANOST00591,2.8933333333333335,1.2255429635698438
ANOST,OG1139777,ANOST00117,3.626198083067093,2.09003812102664
ANOGA,OG1139996,ANOGA05695,5.358974358974359,2.9583749010477822
ANOGA,OG1144131,ANOGA06520,13.00814332247557,36.48273785914824
ANOGA,OG1146505,ANOGA04324,6.0709177592371875,4.367678500837835
ANOST,OG1146507,ANOST00365,3.3557358053302435,2.4842001558968776
ANOGA,OG1150674,ANOGA05653,2.6212765957446806,1.6596508438508366
ANOST,OG1150857,ANOST00554,7.822660098522167,12.719911036097715
ANOST,OG1152239,ANOST00609,8.026431718061675,6.155060025649334
ANOGA,OG1157040,ANOGA04042,5.653061224489796,4.270361976909449
ANOST,OG1162063,ANOST00522,3.244167962674961,1.8126330615007165
ANOGA,OG1168250,ANOGA05380,4.94375,2.9827564328151235
ANOGA,OG1168476,ANOGA04432,7.027649769585254,4.031462726038781
ANOGA,OG1170587,ANOGA04139,13.354462854088723,6.900194043513885
ANOSI,OG1174245,ANOSI10141,7.503129890453834,13.721562925130797
ANOSI,OG1174608,ANOSI10178,9.612612612612613,2.545694726930903
ANOST,OG1174891,ANOST00152,5.245238095238095,3.4626374740425816
ANOST,OG1176412,ANOST00547,9.427956147220048,8.087018027915159
ANOGA,OG1179948,ANOGA04501,5.509977827050998,2.8106169871991287
ANOST,OG1179969,ANOST00511,7.903913043478261,5.488001330278101
ANOST,OG1181227,ANOST00162,6.1804707933740195,3.6852686955128418
ANOST,OG1183200,ANOST00504,2.844504021447721,1.3960699657178857
ANODA,OG1189787,ANODA07757,2.6956521739130435,1.2797684100511466
ANOGA,OG1190683,ANOGA04295,7.4935064935064934,3.9648019880027285
ANOST,OG1191966,ANOST00456,5.440195280716029,3.8723377272215878
ANOGA,OG1192905,ANOGA05458,4.2204724409448815,2.591668619536932
ANOGA,OG1194738,ANOGA05637,12.687908496732026,7.150276575261845
ANOGA,OG1197765,ANOGA04431,11.361356932153392,7.207672447575395
ANOST,OG1198488,ANOST00216,13.563970166379805,6.463215893223327
ANODA,OG1198490,ANODA04841,14.59772423025435,6.6561781078133455
ANOST,OG1202204,ANOST00290,9.736401673640167,6.200191196529812
ANOSI,OG1202789,ANOSI15781,9.537933401991074,6.021647023282802
ANOGA,OG1203459,ANOGA05696,1.971794871794872,0.4875100093377271
ANOGA,OG1204971,ANOGA05312,6.42421052631579,17.1273417348708
ANOGA,OG1208321,ANOGA05692,9.189644700880656,6.436568650987606
ANOST,OG1212040,ANOST00490,5.725521162349969,3.936501596192929
ANOGA,OG1214309,ANOGA05405,10.112,6.9610911022147475
ANOSI,OG1214658,ANOSI13358,5.045081967213115,3.0558356550473103
ANOST,OG1215812,ANOST00126,12.589147286821705,4.9700067897272024
ANOGA,OG1216622,ANOGA05381,4.470401691331924,2.098945483590229
ANOGA,OG1218157,ANOGA04267,5.547008547008547,4.428145656727193
ANOST,OG1218158,ANOST00323,13.747503566333808,6.14521236367286
ANOGA,OG1218490,ANOGA05471,5.317046688382193,3.4182594524159273
ANOGA,OG1219581,ANOGA05679,81.56213017751479,322.61920688129646
ANOST,OG1221639,ANOST00016,6.980769230769231,3.174964473546755
ANOST,OG1221689,ANOST00123,8.627470355731225,6.156679293662335
ANOGA,OG1222683,ANOGA04115,12.283059328091493,7.124839438948109
ANOGA,OG1223272,ANOGA04094,12.396575033799008,5.926735126614323
ANOGA,OG1223886,ANOGA05389,2.1699346405228757,1.0018991748237207
ANOGA,OG1224967,ANOGA04095,10.215297450424929,5.837855701295095
ANOGA,OG1225085,ANOGA05304,6.366223908918406,5.291846649266441
ANOGA,OG1226379,ANOGA04627,6.0108958837772395,5.016064017620714
ANOGA,OG1229017,ANOGA05305,9.062350119904076,5.159110022042789
ANOGA,OG1230391,ANOGA04302,2.580060422960725,1.364890353144667
ANOGA,OG1231177,ANOGA04120,13.822929936305732,6.8344749225107755
ANOGA,OG1231901,ANOGA05639,3.98515625,2.7713261109234217
ANOGA,OG1235653,ANOGA04515,8.84610472541507,5.288479444945144
ANOST,OG1236745,ANOST00324,5.671779141104294,3.93422935761731
ANOST,OG1240325,ANOST00269,5.142023346303502,4.715780341885952
ANOST,OG1240328,ANOST00270,3.713235294117647,2.639931171772382
