#species,og,gene_id,coverage,std
ANOST,OG1079985,ANOST00101,25.344899169632267,11.514752545151497
ANOST,OG1081004,ANOST00389,20.199896426721907,11.636983668757631
ANOST,OG1138880,ANOST00591,21.477341389728096,10.34139016939787
ANOST,OG1139777,ANOST00117,5.169491525423729,1.9147291915690912
ANOST,OG1139996,ANOST00223,13.250239693192713,6.096356946194498
ANOST,OG1144131,ANOST00602,26.75598310652276,9.663195115885497
ANOST,OG1146505,ANOST00349,27.237901586010572,10.422818594171368
ANOST,OG1146507,ANOST00365,25.324721603563475,15.303845797445268
ANOST,OG1150674,ANOST00260,13.642679900744417,4.942986586197963
ANOSI,OG1150857,ANOSI15844,16.89525993883792,7.981086712717638
ANOGA,OG1152239,ANOGA06528,10.521628498727736,8.224438565300618
ANOSI,OG1157040,ANOSI13306,16.201787994891443,9.038877114170022
ANOST,OG1162063,ANOST00522,36.56716417910448,13.167125116443732
ANOGA,OG1168250,ANOGA05380,15.091525423728813,6.070916724554231
ANOST,OG1168476,ANOST00411,28.912730184147318,12.492287054848934
ANOST,OG1170587,ANOST00146,31.963299052228273,9.988673969470714
ANOGA,OG1174245,ANOGA04055,19.200255918106205,8.399354082713907
ANOGA,OG1174608,ANOGA05668,3.72972972972973,1.0040094930273897
ANOST,OG1174891,ANOST00152,15.089223638470452,4.632262520633621
ANOST,OG1176412,ANOST00547,19.09290780141844,11.855328546647124
ANOGA,OG1179948,ANOGA04501,2.5737265415549597,1.5800554170442676
ANOST,OG1179969,ANOST00511,23.245985870263326,11.810203925864839
ANOGA,OG1181227,ANOGA04642,30.74590163934426,11.943328024312825
ANOST,OG1183200,ANOST00504,25.6487747957993,13.039446535165853
ANOGA,OG1189787,ANOGA04698,27.833333333333332,9.00148010001298
ANOST,OG1190683,ANOST00325,33.25963149078727,10.82545832461161
ANOST,OG1191966,ANOST00456,33.2984760903836,9.589648517366669
ANOST,OG1192905,ANOST00488,33.13704496788009,12.210785165225737
ANODA,OG1194738,ANODA04923,16.703168044077135,7.978322275211316
ANOST,OG1197765,ANOST00410,20.08219178082192,7.98415112386405
ANOGA,OG1198488,ANOGA05707,23.857777777777777,8.19002072684635
ANODA,OG1198490,ANODA04841,29.1173104434907,8.396502826717532
ANOSI,OG1202204,ANOSI18328,19.00836820083682,9.659614832074706
ANOST,OG1202789,ANOST00471,23.44787322768974,14.091084180651555
ANOST,OG1203459,ANOST00222,20.192660550458715,8.297266732198194
ANOST,OG1204971,ANOST00430,21.140693624110252,10.887431502265493
ANOST,OG1208321,ANOST00225,28.872901678657076,11.660403249781288
ANOST,OG1212040,ANOST00490,30.41440899056793,12.643788649677584
ANOST,OG1214309,ANOST00081,18.71645569620253,4.415233422151971
ANOST,OG1214658,ANOST00276,12.736752136752136,2.0973975853117364
ANODA,OG1215812,ANODA08572,15.458715596330276,4.680035240121399
ANOGA,OG1216622,ANOGA05381,14.11686143572621,8.382828830283266
ANOGA,OG1218157,ANOGA04267,10.357723577235772,5.1373494182838755
ANOST,OG1218158,ANOST00323,18.57078313253012,7.959297169656138
ANOST,OG1218490,ANOST00495,30.60329929300864,13.061599965962523
