#species,og,gene_id,coverage,std
ANOGA,OG1079985,ANOGA04086,24.3167104111986,21.312818578994044
ANOGA,OG1081004,ANOGA04408,15.86796838679684,5.99575640347135
ANOGA,OG1138880,ANOGA05943,13.392070484581497,6.918904828395929
ANOGA,OG1139777,ANOGA04100,9.288135593220339,3.5369758578342907
ANOGA,OG1139996,ANOGA05695,14.887133182844243,7.052264842669781
ANOGA,OG1144131,ANOGA06520,19.677793231339823,5.472359266908575
ANOGA,OG1146505,ANOGA04324,17.901512214036448,5.505574886273878
ANOGA,OG1146507,ANOGA05711,18.7893470790378,6.736826772960934
ANOGA,OG1150674,ANOGA05653,12.398252184769039,6.614775345786832
ANOGA,OG1150857,ANOGA04505,68.90277777777777,252.40477106800577
ANOGA,OG1152239,ANOGA06528,15.455257270693512,7.247595473420116
ANOGA,OG1157040,ANOGA04042,15.530012771392082,7.150904407417701
ANOGA,OG1162063,ANOGA04462,19.28463648834019,6.753187321317471
ANOSI,OG1168250,ANOSI15785,9.366559485530546,2.7965367986846092
ANOGA,OG1168476,ANOGA04432,18.501182033096928,7.350787750785114
ANOGA,OG1170587,ANOGA04139,18.77270924236414,6.175624897787527
ANOGA,OG1174245,ANOGA04055,17.39431121026213,6.694355947163248
ANOGA,OG1174608,ANOGA05668,10.815315315315315,3.909118427799065
ANOGA,OG1174891,ANOGA04632,13.860646599777034,6.153334362251007
ANOGA,OG1176412,ANOGA04492,26.581757877280264,36.522782352125276
ANOGA,OG1179948,ANOGA04501,8.608156028368795,5.429170371798049
ANOGA,OG1179969,ANOGA05488,15.895287958115183,6.594522460933828
ANOGA,OG1181227,ANOGA04642,18.646662927650027,7.1198929663422765
ANOGA,OG1183200,ANOGA05481,19.98976109215017,7.455816601442468
ANOGA,OG1189787,ANOGA04698,15.53061224489796,5.4283284688099185
ANOGA,OG1190683,ANOGA04295,18.366834170854272,6.420713877322656
ANOGA,OG1191966,ANOGA05362,22.198267074413863,6.1894930086728674
ANOGA,OG1192905,ANOGA05458,20.17699115044248,7.478986727553058
ANODA,OG1194738,ANODA04923,14.038567493112948,5.900333850361364
ANOGA,OG1197765,ANOGA04431,13.372262773722628,3.5862822570595774
ANOSI,OG1198488,ANOSI18498,16.039630836047774,6.146426578915082
ANODA,OG1198490,ANODA04841,17.653717347622237,6.474742098618086
ANOGA,OG1202204,ANOGA05611,20.333333333333332,6.511684005278604
ANOGA,OG1202789,ANOGA05383,18.781111813013265,8.939526431145296
ANOGA,OG1203459,ANOGA05696,14.471544715447154,5.074566268865372
ANOGA,OG1204971,ANOGA05312,20.71732305936073,10.55579474276288
ANOGA,OG1208321,ANOGA05692,20.044210777870713,6.54023862214358
ANOGA,OG1212040,ANOGA05460,17.738464412478983,7.037008865631796
ANOGA,OG1214309,ANOGA05405,12.57960199004975,5.557468359600101
ANOGA,OG1214658,ANOGA05631,12.641350210970463,4.945205281846511
ANOGA,OG1215812,ANOGA04116,16.534562211981566,5.423674047112783
ANOGA,OG1216622,ANOGA05381,14.131443298969073,8.05654891322053
ANOGA,OG1218157,ANOGA04267,15.901084010840108,6.606822778462012
ANOGA,OG1218158,ANOGA04293,15.670180722891565,6.40321473976032
ANOGA,OG1218490,ANOGA05471,18.797826086956523,6.871522492218054
ANOGA,OG1219581,ANOGA05679,67.22161505768064,225.16798843955095
ANOGA,OG1221639,ANOGA05250,11.42816091954023,3.880101026275592
ANOGA,OG1221689,ANOGA04113,17.381872852233677,6.965721021162001
ANOGA,OG1222683,ANOGA04115,17.926726726726727,5.817084739907755
ANOGA,OG1223272,ANOGA04094,19.26553672316384,6.991046520237861
ANOGA,OG1223886,ANOGA05389,19.32,5.239151754922843
ANOGA,OG1224967,ANOGA04095,18.350083752093802,6.434200629236123
ANOGA,OG1225085,ANOGA05304,17.898610161768058,6.242459685203532
