#species,og,gene_id,coverage,std
ANOSI,OG1079985,ANOSI16316,86.27618192698982,30.815031287117474
ANOSI,OG1081004,ANOSI11947,71.26348228043143,38.194995017291184
ANOSI,OG1138880,ANOSI11144,49.29333333333334,18.328602217824994
ANOSI,OG1139777,ANOSI13705,43.9180790960452,12.602867610839317
ANOSI,OG1139996,ANOSI13881,64.1390134529148,18.7528601405556
ANOSI,OG1144131,ANOSI18952,77.37714565963708,21.029381988328947
ANOSI,OG1146505,ANOSI08230,78.48909657320873,22.50278361721909
ANOSI,OG1146507,ANOSI09519,70.08204600068657,15.462204797752271
ANOSI,OG1150674,ANOSI16840,53.048689138576776,17.469184608643896
ANOSI,OG1150857,ANOSI15844,72.30440251572327,49.88013726750762
ANOSI,OG1152239,ANOSI16991,59.28180862250263,21.035558380808357
ANOSI,OG1157040,ANOSI13306,52.95402298850575,16.290166777046593
ANOSI,OG1162063,ANOSI18068,73.5900826446281,14.243417531209863
ANOSI,OG1168250,ANOSI15785,45.715254237288136,14.09749122481261
ANOSI,OG1168476,ANOSI15819,77.99107866991079,22.328755420434955
ANOSI,OG1170587,ANOSI05651,80.74854796715401,15.604090588524702
ANOSI,OG1174245,ANOSI10141,68.39570230607967,23.32623706960728
ANOSI,OG1174608,ANOSI10178,63.027027027027025,18.719821098831115
ANOSI,OG1174891,ANOSI13945,59.05723905723906,16.182949584304048
ANOSI,OG1176412,ANOSI15222,98.4220572640509,146.96226766494866
ANOSI,OG1179948,ANOSI16890,37.97860962566845,9.37339346334778
ANOSI,OG1179969,ANOSI16583,61.763036303630365,17.67883502786811
ANOSI,OG1181227,ANOSI13961,78.6109022556391,21.77481257311888
ANOSI,OG1183200,ANOSI14974,70.43389830508474,19.749372672604302
ANOSI,OG1189787,ANOSI09481,65.25,16.264514710728697
ANOSI,OG1190683,ANOSI08201,71.68922305764411,12.990723217183355
ANOSI,OG1191966,ANOSI18157,77.32466870540264,18.838118604465024
ANOSI,OG1192905,ANOSI13732,83.6361848574238,23.16367711440521
ANOSI,OG1194738,ANOSI13345,80.88292011019284,20.885792296382057
ANOGA,OG1197765,ANOGA04431,40.921965317919074,17.42024709509852
ANODA,OG1198488,ANODA06785,70.18458197611292,39.44987640246097
ANODA,OG1198490,ANODA04841,76.16331994645248,22.6943510054583
ANOSI,OG1202204,ANOSI18328,73.09344490934448,21.037017887652304
ANOSI,OG1202789,ANOSI15781,71.5925925925926,18.494297370920886
ANOSI,OG1203459,ANOSI13887,53.301829268292686,13.562912603117141
ANOSI,OG1204971,ANOSI12470,78.9833843463052,33.154442223934616
ANOSI,OG1208321,ANOSI11134,79.87510427839352,20.062431188401384
ANOSI,OG1212040,ANOSI13772,77.62677840576886,17.064635060898727
ANOSI,OG1214309,ANOSI17769,50.648989898989896,12.300345892726188
ANOSI,OG1214658,ANOSI13358,49.94021739130435,13.948210833651297
ANOSI,OG1215812,ANOSI12428,60.642089093702,15.132066173027177
ANOSI,OG1216622,ANOSI15784,64.30389817024663,19.518710010971912
ANOSI,OG1218157,ANOSI08193,51.17489986648865,15.375673403143036
ANOSI,OG1218158,ANOSI08297,71.43891402714932,15.392662255417378
ANOSI,OG1218490,ANOSI09061,64.78977681785457,21.50367247806249
ANOSI,OG1219581,ANOSI11081,76.42796865581676,18.215972798938733
ANOSI,OG1221639,ANOSI13259,42.151933701657455,13.915356163058702
ANOSI,OG1221689,ANOSI12385,65.36571675302245,16.6533958985123
ANOSI,OG1222683,ANOSI12376,79.75714285714285,14.906153137565179
ANOSI,OG1223272,ANOSI13699,132.40494137353434,54.07865193723232
ANOSI,OG1223886,ANOSI18645,52.140625,13.154315952599116
ANOSI,OG1224967,ANOSI13721,78.81711409395973,21.476525818821123
ANOSI,OG1225085,ANOSI12439,81.0746887966805,17.99527242377232
