Taxon,Number_Genes,Full_Exons,95%,90%,80%,70%,50%,10%
10_A_farauti,255,1,36,53,85,105,166,249
11_funestris,795,176,583,680,745,771,787,795
12_A_gambiae,789,128,386,497,633,702,762,789
13_A_maculatus,762,7,55,121,260,368,568,758
14_A_melas,788,139,392,496,626,701,749,788
15_A_merus,781,26,148,244,424,538,686,779
16_A_minimus,785,128,399,493,619,691,756,784
17_A_quad_combined,785,126,359,459,596,674,744,784
18_A_sinensis,764,17,85,123,211,308,510,756
19_A_stephensi,794,191,480,597,711,768,786,794
1_A_aegypti,750,35,172,260,421,530,650,750
20_D_melanogaster,398,8,76,115,164,204,278,396
21_C_quinquefasciatus,748,45,217,326,471,570,679,747
2_A_albimanus,792,112,404,540,670,733,776,792
3_A_arabiensis,795,225,617,687,753,772,791,795
4_A_atroparvus,742,11,64,105,171,258,443,732
5_A_christyi,782,109,367,441,577,665,739,782
6_A_culici,195,8,35,49,68,90,141,192
7_A_darlingi,795,179,511,619,724,758,788,795
8_A_dirus,794,153,535,619,715,755,790,794
9_A_epiroctus,776,70,251,327,482,591,721,774
