id,r1,r2,ref,augustus
A_dirus,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_dirus.fna,aedes
A_gambiae,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_gambiae.fna,aedes
A_sinensis,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_sinensis.fna,aedes
A_albimanus,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_albimanus.fna,aedes
A_melas,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_melas.fna,aedes
A_arabiensis,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_arabiensis.fna,aedes
A_quadriannulatus,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_quadriannulatus.fna,aedes
A_farauti,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_farauti.fna,aedes
A_funestus,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_funestus.fna,aedes
A_aegypti,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_aegypti.fna,aedes
A_minimus,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_minimus.fna,aedes
A_merus,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_merus.fna,aedes
C_quinquefasciatus,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/C_quinquefasciatus.fna,aedes
A_culicifacies,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_culicifacies.fna,aedes
A_epiroticus,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_epiroticus.fna,aedes
A_stephensi,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_stephensi.fna,aedes
A_maculatus,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_maculatus.fna,aedes
A_darlingi,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_darlingi.fna,aedes
A_atroparvus,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_atroparvus.fna,aedes
A_christyi,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/A_christyi.fna,aedes
D_melanogaster,,,/pickett_centaur/project/orthogarden_analysis/data/anopheles_pseudo_refs/D_melanogaster.fna,aedes
