id,r1,r2,ref,augustus
A_aegypti,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_aegypti_SRR11100182_1.fastq.gz,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_aegypti_SRR11100182_2.fastq.gz,,aedes
A_albimanus,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_albimanus_SRR15646850_1.fastq.gz,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_albimanus_SRR15646850_2.fastq.gz,,aedes
A_arabiensis,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_arabiensis_ERR11470756_1.fastq.gz,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_arabiensis_ERR11470756_2.fastq.gz,,aedes
A_atroparvus,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_atroparvus_SRR630087_1.fastq.gz,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_atroparvus_SRR630087_2.fastq.gz,,aedes
A_christyi,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_christyi_SRR314653_1.fastq.gz,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_christyi_SRR314653_2.fastq.gz,,aedes
A_culici,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_culici_combined_1.fastq,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_culici_combined_2.fastq,,aedes
A_darlingi,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_darlingi_ERR9356787_1.fastq.gz,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_darlingi_ERR9356787_2.fastq.gz,,aedes
A_dirus,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_dirus_ERR9588607_1.fastq.gz,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_dirus_ERR9588607_2.fastq.gz,,aedes
A_epiroticus,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_epiroticus_SRR954499_1.fastq.gz,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_epiroticus_SRR954499_2.fastq.gz,,aedes
A_farauti,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_farauti_SRR1302210_1.fastq,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_farauti_SRR1302210_2.fastq,,aedes
A_funestris,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_funestris_ERR12380001_1.fastq.gz,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_funestris_ERR12380001_2.fastq.gz,,aedes
A_gambiae,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_gambiae_ERR12644925_1.fastq.gz,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_gambiae_ERR12644925_2.fastq.gz,,aedes
A_maculatus,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_maculatus_SRR630093_1.fastq.gz,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_maculatus_SRR630093_2.fastq.gz,,aedes
A_melas,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_melas_SRR1055283_1.fastq.gz,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_melas_SRR1055283_2.fastq.gz,,aedes
A_merus,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_merus_SRR1504857_1.fastq.gz,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_merus_SRR1504857_2.fastq.gz,,aedes
A_minimus,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_minimus_new_1.fastq,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_minimus_new_2.fastq,,aedes
A_quad,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_quad_combined_1.fastq,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_quad_combined_2.fastq,,aedes
A_sinensis,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_sinensis_SRR830401_1.fastq.gz,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_sinensis_SRR830401_2.fastq.gz,,aedes
A_stephensi,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_stephensi_ERR12366085_1.fastq.gz,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/A_stephensi_ERR12366085_2.fastq.gz,,aedes
C_quinquefasciatus,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/SRR25001032_1.fastq,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/SRR25001032_2.fastq,,aedes
D_melanogaster,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/D_melanogaster_ERR705965_1.fastq.gz,/pickett_centaur/project/orthogarden_analysis/data/anopheles/reads/D_melanogaster_ERR705965_2.fastq.gz,,aedes
