id,r1,r2,ref,augustus
DRR185904,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/DRR185904_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/DRR185904_2.fastq,,saccharomyces
ERR2600671,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/ERR2600671_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/ERR2600671_2.fastq,,saccharomyces
ERR2764753,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/ERR2764753_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/ERR2764753_2.fastq,,saccharomyces
ERR2881732,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/ERR2881732_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/ERR2881732_2.fastq,,saccharomyces
ERR2886539,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/ERR2886539_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/ERR2886539_2.fastq,,saccharomyces
ERR3085720,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/ERR3085720_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/ERR3085720_2.fastq,,saccharomyces
ERR9924606,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/ERR9924606_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/ERR9924606_2.fastq,,saccharomyces
SRR14280050,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR14280050_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR14280050_2.fastq,,saccharomyces
SRR16974700,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR16974700_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR16974700_2.fastq,,saccharomyces
SRR1796786,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR1796786_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR1796786_2.fastq,,saccharomyces
SRR19837491,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR19837491_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR19837491_2.fastq,,saccharomyces
SRR22394500,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR22394500_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR22394500_2.fastq,,saccharomyces
SRR25343506,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR25343506_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR25343506_2.fastq,,saccharomyces
SRR25759133,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR25759133_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR25759133_2.fastq,,saccharomyces
SRR26351257,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR26351257_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR26351257_2.fastq,,saccharomyces
SRR26351259,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR26351259_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR26351259_2.fastq,,saccharomyces
SRR27547032,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR27547032_1.fastq,/pickett_centaur/project/Moulton_JHT/trimming/Yeast_OG_manuscript/reads/all_reads/SRR27547032_2.fastq,,saccharomyces
