#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG1240328,ANOGA05641,0.7367231638418079,0.7367231638418079,652,885,885
ANOGA,OG344070,ANOGA05629,0.5974379940038158,0.5974379940038158,2192,3669,3669
ANOGA,OG708597,ANOGA04416,0.3294301327088212,0.3294301327088212,844,2562,2562
ANOGA,OG1222683,ANOGA04115,0.8690690690690691,0.8690690690690691,1447,1665,1665
ANOGA,OG1218158,ANOGA04293,0.9415954415954416,0.9415954415954416,661,702,702
ANOGA,OG793899,ANOGA04677,0.9270315091210614,0.9270315091210614,559,603,603
ANOGA,OG1221689,ANOGA04113,0.9815292096219931,0.9815292096219931,2285,2328,2328
ANOGA,OG961377,ANOGA04332,0.9980787704130644,0.9980787704130644,1039,1041,1041
ANOGA,OG1235653,ANOGA04515,0.9082666666666667,0.9082666666666667,1703,1875,1875
ANOGA,OG861720,ANOGA05778,0.5789728682170543,0.5789728682170543,2390,4128,4128
ANOGA,OG960910,ANOGA05775,1.0,1.0,1314,1314,1314
ANOGA,OG1244115,ANOGA04136,0.9942528735632183,0.9942528735632183,346,348,348
ANOGA,OG736122,ANOGA04659,0.28008519701810436,0.28008519701810436,263,939,939
ANOGA,OG822311,ANOGA04636,0.9792122538293216,0.9792122538293216,2685,2742,2742
ANOGA,OG932017,ANOGA04469,0.878727634194831,0.878727634194831,1326,1509,1509
ANOGA,OG1174245,ANOGA04055,0.7508361204013378,0.7508361204013378,1347,1794,1794
ANOGA,OG961115,ANOGA04121,1.0,1.0,1086,1086,1086
ANOGA,OG1168250,ANOGA05380,0.8625730994152047,0.8625730994152047,295,342,342
ANOGA,OG971123,ANOGA04434,0.45229007633587787,0.45229007633587787,711,1572,1572
ANOGA,OG784747,ANOGA04289,1.0,1.0,636,636,636
ANOGA,OG986274,ANOGA04306,0.9451713395638629,0.9451713395638629,1517,1605,1605
ANOGA,OG964633,ANOGA05249,0.991812865497076,0.991812865497076,1696,1710,1710
ANOGA,OG962019,ANOGA04699,0.42923976608187137,0.42923976608187137,367,855,855
ANOGA,OG1225085,ANOGA05304,0.6657552973342447,0.6657552973342447,2922,4389,4389
ANOGA,OG1214658,ANOGA05631,1.0,1.0,711,711,711
ANOGA,OG703365,ANOGA04508,0.48554421768707484,0.48554421768707484,571,1176,1176
ANOGA,OG1229017,ANOGA05305,0.9772323016720028,0.9772323016720028,2747,2811,2811
ANOGA,OG1150674,ANOGA05653,0.5930087390761548,0.5930087390761548,475,801,801
ANOGA,OG1214309,ANOGA05405,0.6965174129353234,0.6965174129353234,280,402,402
ANOGA,OG944937,ANOGA05498,0.4795821462488129,0.4795821462488129,505,1053,1053
ANOGA,OG962230,ANOGA04299,0.8715447154471545,0.8715447154471545,536,615,615
ANOGA,OG341995,ANOGA04081,0.6515466297322253,0.6515466297322253,5645,8664,8664
ANOGA,OG1081004,ANOGA04408,0.7740585774058577,0.7740585774058577,1665,2151,2151
ANOGA,OG661167,ANOGA04541,0.9965277777777778,0.9965277777777778,861,864,864
ANOGA,OG1204971,ANOGA05312,0.7184646118721462,0.7184646118721462,5035,7008,7008
ANOGA,OG970502,ANOGA04470,0.9744942832014072,0.9744942832014072,1108,1137,1137
ANOGA,OG964929,ANOGA05473,0.8230912476722533,0.8230912476722533,1768,2148,2148
ANOGA,OG926503,ANOGA04270,1.0,1.0,486,486,486
ANOGA,OG456479,ANOGA05459,0.8,0.8,1476,1845,1845
ANOGA,OG722946,ANOGA04328,0.9275,0.9275,1113,1200,1200
ANOGA,OG1240325,ANOGA05642,0.9532828282828283,0.9532828282828283,755,792,792
ANOGA,OG961322,ANOGA05683,0.9367396593673966,0.9367396593673966,385,411,411
ANOGA,OG456351,ANOGA04056,0.5885352917176663,0.5885352917176663,2885,4902,4902
ANOGA,OG1218157,ANOGA04267,0.9723320158102767,0.9723320158102767,738,759,759
ANOGA,OG1157040,ANOGA04042,0.9974457215836526,0.9974457215836526,781,783,783
ANOGA,OG675570,ANOGA04091,0.5573770491803278,0.5573770491803278,510,915,915
ANOGA,OG961602,ANOGA04058,0.8818342151675485,0.8818342151675485,500,567,567
ANOGA,OG456338,ANOGA05365,0.6672119229371137,0.6672119229371137,3671,5502,5502
ANOGA,OG1198488,ANOGA05707,0.9592833876221498,0.9592833876221498,1767,1842,1842
ANOGA,OG814870,ANOGA05303,0.5499807766243753,0.5499807766243753,2861,5202,5202
ANOGA,OG362545,ANOGA07030,0.6156351791530945,0.6156351791530945,567,921,921
ANOGA,OG451043,ANOGA04280,0.7244094488188977,0.7244094488188977,552,762,762
ANOGA,OG968364,ANOGA07027,0.8963360142984808,0.8963360142984808,2006,2238,2238
ANOGA,OG896170,ANOGA04117,0.9982788296041308,0.9982788296041308,1740,1743,1743
ANOGA,OG1224967,ANOGA04095,0.9318816303740927,0.9318816303740927,1669,1791,1791
ANOGA,OG362633,ANOGA04668,0.07010014306151645,0.07010014306151645,98,1398,1398
ANOGA,OG1251511,ANOGA04057,0.9987046632124352,0.9987046632124352,2313,2316,2316
ANOGA,OG961398,ANOGA05245,1.0,1.0,1278,1278,1278
ANOGA,OG1251552,ANOGA04696,0.9981481481481481,0.9981481481481481,539,540,540
ANOGA,OG1236745,ANOGA04294,0.993103448275862,0.993103448275862,864,870,870
