#species,og,gene_id,coverage,std
ANOST,OG1079985,ANOST00101,19.225490196078432,9.878583353570152
ANOST,OG1081004,ANOST00389,15.044559585492228,8.182002487313733
ANOST,OG1138880,ANOST00591,9.709175738724728,4.783105289471835
ANOST,OG1139777,ANOST00117,16.43342776203966,3.0992485392813798
ANOST,OG1139996,ANOST00223,11.571428571428571,7.3245172157783545
ANOST,OG1144131,ANOST00602,21.561239547466798,10.124182833707597
ANOST,OG1146505,ANOST00349,19.481183932346724,10.045065741157774
ANOST,OG1146507,ANOST00365,17.113011152416355,9.747207103744934
ANOST,OG1150674,ANOST00260,13.782663316582914,7.648480056723791
ANOST,OG1150857,ANOST00554,17.77007299270073,10.394033930924147
ANOST,OG1152239,ANOST00609,13.305755395683454,8.255151169558015
ANOST,OG1157040,ANOST00033,18.106002554278415,7.492201291276822
ANOST,OG1162063,ANOST00522,21.25719120135364,9.58565507996213
ANOGA,OG1168250,ANOGA05380,8.610169491525424,4.605880357714224
ANOST,OG1168476,ANOST00411,24.62779552715655,10.613548243749973
ANOST,OG1170587,ANOST00146,23.02820330729431,8.898855410841726
ANOST,OG1174245,ANOST00043,10.524632117722328,7.101845779535552
ANOGA,OG1174608,ANOGA05668,15.873873873873874,4.547778622416291
ANOST,OG1174891,ANOST00152,13.346633416458852,8.608529371671056
ANOST,OG1176412,ANOST00547,20.375259156876297,8.872678230923665
ANOST,OG1179948,ANOST00550,6.449090909090909,3.492348661510434
ANOST,OG1179969,ANOST00511,18.423707035014456,8.378841739286308
ANOGA,OG1181227,ANOGA04642,23.861016949152543,16.04347571725367
ANOST,OG1183200,ANOST00504,15.335775335775336,7.154040481918261
ANOST,OG1189787,ANOST00208,22.034013605442176,11.065307042526797
ANOST,OG1190683,ANOST00325,31.434673366834172,7.618379242348431
ANOGA,OG1191966,ANOGA05362,18.42170542635659,11.230907160354079
ANOST,OG1192905,ANOST00488,20.215353938185444,7.934269069822055
ANODA,OG1194738,ANODA04923,21.50275482093664,8.43852298076577
ANOST,OG1197765,ANOST00410,25.057098765432098,10.955922305225911
ANOST,OG1198488,ANOST00216,25.226446280991734,9.94220019268153
ANOSI,OG1198490,ANOSI18566,25.809236947791163,11.348402234965057
ANOST,OG1202204,ANOST00290,27.99023709902371,7.7869944554688315
ANOST,OG1202789,ANOST00471,21.472930392437696,11.685487305005843
ANOST,OG1203459,ANOST00222,13.88862837045721,7.837477201284148
ANOST,OG1204971,ANOST00430,18.00521436848204,9.92060855805906
ANOST,OG1208321,ANOST00225,18.999655013799448,9.453433777446817
ANOST,OG1212040,ANOST00490,19.813645621181262,9.98920482232488
ANOST,OG1214309,ANOST00081,21.625316455696204,8.670705347834726
ANOGA,OG1214658,ANOGA05631,14.20956399437412,9.629842195490005
ANOST,OG1215812,ANOST00126,19.193548387096776,8.946642729761114
ANOGA,OG1216622,ANOGA05381,18.59220779220779,9.62009665376695
ANOGA,OG1218157,ANOGA04267,14.464769647696476,5.822997115544745
ANOSI,OG1218158,ANOSI08297,16.20632530120482,7.497663635464361
ANOST,OG1218490,ANOST00495,16.863861386138613,9.032145431529418
ANOST,OG1219581,ANOST00235,14.320939334637965,7.8019390537820135
ANOST,OG1221639,ANOST00016,13.14655172413793,8.172973027570418
ANOGA,OG1221689,ANOGA04113,17.96128751631144,9.816798471324512
ANOGA,OG1222683,ANOGA04115,20.67766323024055,10.74796629224488
ANOGA,OG1223272,ANOGA04094,20.50936663693131,8.58297131854995
ANOGA,OG1223886,ANOGA05389,11.337931034482759,7.0243131357967314
ANOST,OG1224967,ANOST00112,23.391741071428573,7.652358623613021
ANOST,OG1225085,ANOST00424,19.78166623139201,9.82757422723486
ANOST,OG1226379,ANOST00147,23.63245614035088,10.871538534527918
ANOGA,OG1229017,ANOGA05305,22.294139060793594,10.326880529133978
ANOST,OG1230391,ANOST00331,11.718192627824019,7.230057787852654
ANOST,OG1231177,ANOST00129,23.98659354052407,8.378526027287853
ANOST,OG1231901,ANOST00272,17.37276298559581,9.489677371154373
ANOST,OG1235653,ANOST00565,25.552723059096177,10.508251522440702
ANOGA,OG1236745,ANOGA04294,20.85300925925926,6.682821760686084
ANOGA,OG1240325,ANOGA05642,17.098013245033112,9.075164203711571
ANOST,OG1240328,ANOST00270,11.763678696158324,7.767205676592543
ANOST,OG1240929,ANOST00157,11.957730812013349,6.393509794084029
ANOST,OG1240968,ANOST00230,17.249568221070813,11.863023449984393
ANOST,OG1241986,ANOST00031,18.411354581673308,8.80991781743559
ANOST,OG1242667,ANOST00533,16.849007765314926,12.773684674140942
ANOST,OG1244115,ANOST00140,11.235632183908047,5.921584849436774
ANOST,OG1246006,ANOST00459,20.6578431372549,6.756666080576552
ANOST,OG1251119,ANOST00180,25.005106382978724,9.245399976927095
ANOST,OG1251511,ANOST00045,26.222652885443583,8.367420939939839
ANOGA,OG1251552,ANOGA04696,17.333951762523192,9.303368700111529
ANOST,OG341995,ANOST00098,20.423026980233733,31.88007684289011
ANOST,OG342477,ANOST00163,67.83057142857143,198.86550985086606
ANOST,OG344070,ANOST00277,13.842326827401454,8.76794073820679
ANOST,OG348620,ANOST00261,19.72566371681416,11.143140372526942
ANOGA,OG351572,ANOGA04255,17.334283000949668,12.196489320348416
ANOST,OG352732,ANOST00335,18.407377706495588,9.2079709953781
ANOST,OG362545,ANOST00615,8.396381578947368,3.897424934178387
ANOST,OG362633,ANOST00370,4.682926829268292,2.1190703093300884
ANOST,OG369576,ANOST00441,21.557894736842105,10.573965834189359
ANODA,OG373241,ANODA00581,23.426426426426428,9.62657848644564
ANOGA,OG411836,ANOGA05239,22.586071987480437,13.509575578142604
ANOST,OG419349,ANOST00176,16.210526315789473,8.616879085597809
ANOST,OG420493,ANOST00159,11.496010638297872,8.431355172357526
ANOST,OG420768,ANOST00161,16.41858407079646,6.920855344761159
ANOST,OG451038,ANOST00315,20.75,8.237527228404753
ANOSI,OG451043,ANOSI08181,11.302710843373495,8.441342174771092
ANOST,OG454890,ANOST00551,17.99010989010989,9.5477349588825
ANOST,OG455346,ANOST00156,25.63612099644128,8.628873027343412
ANOST,OG456338,ANOST00458,15.42860073861305,8.80586280548842
ANOST,OG456351,ANOST00044,19.562709030100333,40.007917591773804
ANOST,OG456479,ANOST00489,25.77185089974293,19.984602155394253
ANOST,OG456648,ANOST00195,20.515934539190354,16.287256507997277
ANOST,OG456691,ANOST00218,11.568398727465535,6.279740547058079
ANOGA,OG456720,ANOGA04313,13.310344827586206,8.000777424953174
ANOST,OG457108,ANOST00570,19.45921985815603,8.682956123979505
ANOST,OG457329,ANOST00113,19.185995623632387,14.10876710942179
ANOST,OG457572,ANOST00450,9.942028985507246,4.582736112777286
ANOST,OG458150,ANOST00149,3.799256505576208,1.2482848475403927
ANOST,OG460076,ANOST00607,21.9741592920354,11.171504737434427
ANOST,OG661167,ANOST00579,19.849537037037038,7.880211371984052
ANOST,OG664391,ANOST00352,23.546886184681462,7.535940084202284
ANOGA,OG665560,ANOGA04640,15.111975642760488,10.150623677857158
ANOST,OG671266,ANOST00350,23.611011904761906,9.334139940053031
ANOGA,OG673136,ANOGA04099,15.620342396777442,8.386549263158765
ANOST,OG674682,ANOST00263,19.324626865671643,7.139536091864753
ANOST,OG675570,ANOST00108,7.268796992481203,5.118256067188732
ANOST,OG676343,ANOST00003,6.029888983774551,4.6624720379137745
ANOGA,OG696447,ANOGA06521,13.126966292134831,7.993442031798173
ANOGA,OG698904,ANOGA04041,22.522719623022553,8.459761139715791
ANOST,OG698997,ANOST00233,26.578266494178525,19.46407383291205
ANOGA,OG699681,ANOGA05433,17.82300884955752,12.53706958027627
ANOST,OG703365,ANOST00557,11.431654676258994,6.700639247623668
ANOST,OG708597,ANOST00396,6.13010752688172,4.637418751483417
ANOST,OG718578,ANOST00019,13.92533147243545,9.916293431192098
ANOST,OG719374,ANOST00503,14.826525466464952,9.52162188328131
ANOST,OG722946,ANOST00353,15.366666666666667,9.633883401915835
ANOST,OG736122,ANOST00177,3.6579330422125182,3.5394664572391856
ANOST,OG761976,ANOST00415,13.76933607118412,7.894550848393508
ANOST,OG762076,ANOST00214,15.933518005540167,7.41926152930718
