#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG1146505,ANODA07082,0.8166853722409277,0.8166853722409277,2183,2673,2673
ANODA,OG961115,ANODA03651,0.8870523415977961,0.8870523415977961,966,1089,1089
ANODA,OG341995,ANODA06295,0.2607171134487049,0.2607171134487049,2305,8841,8841
ANODA,OG911937,ANODA03653,0.9527687296416938,0.9527687296416938,1755,1842,1842
ANODA,OG457572,ANODA02309,0.3465783664459161,0.3465783664459161,157,453,453
ANODA,OG953548,ANODA07452,0.9846153846153847,0.9846153846153847,1920,1950,1950
ANODA,OG926503,ANODA08545,0.9979423868312757,0.9979423868312757,485,486,486
ANODA,OG917347,ANODA01979,1.0,1.0,963,963,963
ANODA,OG960945,ANODA08768,0.6954022988505747,0.6954022988505747,1089,1566,1566
ANODA,OG673136,ANODA03220,0.23763955342902712,0.23763955342902712,298,1254,1254
ANODA,OG979200,ANODA05740,0.05025125628140704,0.05025125628140704,90,1791,1791
ANODA,OG1168476,ANODA06616,0.944578313253012,0.944578313253012,1176,1245,1245
ANODA,OG792952,ANODA03657,0.8300469483568075,0.8300469483568075,884,1065,1065
ANODA,OG718578,ANODA00549,0.11599297012302284,0.11599297012302284,198,1707,1707
ANODA,OG1157040,ANODA03571,0.7207872078720787,0.7207872078720787,586,813,813
ANODA,OG963232,ANODA07139,0.5373790677220757,0.5373790677220757,611,1137,1137
ANODA,OG792914,ANODA03658,0.7248803827751196,0.7248803827751196,909,1254,1254
ANODA,OG896170,ANODA03515,0.9678302532511978,0.9678302532511978,1414,1461,1461
ANODA,OG1215812,ANODA08572,0.9923547400611621,0.9923547400611621,649,654,654
ANODA,OG971123,ANODA05742,0.5226706527154957,0.5226706527154957,1049,2007,2007
ANODA,OG1146507,ANODA10392,0.3486550902281239,0.3486550902281239,1024,2937,2937
ANODA,OG1221689,ANODA08570,0.9771453212591634,0.9771453212591634,2266,2319,2319
ANODA,OG699681,ANODA09332,0.6784660766961652,0.6784660766961652,230,339,339
ANODA,OG793899,ANODA01385,0.7794361525704809,0.7794361525704809,470,603,603
ANODA,OG696447,ANODA04792,0.9442622950819672,0.9442622950819672,864,915,915
ANODA,OG846448,ANODA08490,0.6347941567065073,0.6347941567065073,478,753,753
ANODA,OG1168250,ANODA06913,0.45321637426900585,0.45321637426900585,155,342,342
ANODA,OG946885,ANODA07717,0.6666666666666666,0.6666666666666666,862,1293,1293
ANODA,OG451043,ANODA08553,0.7402945113788487,0.7402945113788487,553,747,747
ANODA,OG1230391,ANODA03599,0.3276676109537299,0.3276676109537299,347,1059,1059
ANODA,OG968775,ANODA05162,0.8991678903573177,0.8991678903573177,1837,2043,2043
ANODA,OG665560,ANODA06166,0.5222316624185783,0.5222316624185783,1844,3531,3531
ANODA,OG708597,ANODA05161,0.20400905269964437,0.20400905269964437,631,3093,3093
ANODA,OG1212040,ANODA10250,0.8169446041786468,0.8169446041786468,4262,5217,5217
ANODA,OG958126,ANODA01492,0.7858220211161387,0.7858220211161387,521,663,663
ANODA,OG1150857,ANODA10330,0.33152501506931886,0.33152501506931886,550,1659,1659
ANODA,OG1202789,ANODA06915,0.9417139256458728,0.9417139256458728,2989,3174,3174
ANODA,OG411836,ANODA03579,0.7343987823439878,0.7343987823439878,965,1314,1314
ANODA,OG1221639,ANODA05486,0.5793650793650794,0.5793650793650794,219,378,378
ANODA,OG967514,ANODA06786,0.7683501683501683,0.7683501683501683,2282,2970,2970
ANODA,OG1183200,ANODA07300,0.6521739130434783,0.6521739130434783,585,897,897
ANODA,OG1198490,ANODA04841,0.9350736278447122,0.9350736278447122,1397,1494,1494
ANODA,OG762076,ANODA10391,0.8263090676883781,0.8263090676883781,647,783,783
ANODA,OG674682,ANODA07073,0.818734793187348,0.818734793187348,673,822,822
ANODA,OG1197765,ANODA06617,0.9525801952580195,0.9525801952580195,683,717,717
ANODA,OG1152239,ANODA05622,0.2804232804232804,0.2804232804232804,265,945,945
ANODA,OG949490,ANODA08552,0.7727272727272727,0.7727272727272727,663,858,858
ANODA,OG961377,ANODA07077,0.643611911623439,0.643611911623439,670,1041,1041
ANODA,OG1246006,ANODA06751,0.97534516765286,0.97534516765286,989,1014,1014
ANODA,OG971355,ANODA03504,0.8741559238796808,0.8741559238796808,1424,1629,1629
ANODA,OG1251552,ANODA07755,0.8277777777777777,0.8277777777777777,447,540,540
ANODA,OG1174608,ANODA04336,0.759009009009009,0.759009009009009,337,444,444
ANODA,OG1176412,ANODA07141,0.6496953872932986,0.6496953872932986,1493,2298,2298
ANODA,OG1208321,ANODA05883,0.9382174206617151,0.9382174206617151,8337,8886,8886
ANODA,OG1214309,ANODA07715,0.5666666666666667,0.5666666666666667,221,390,390
ANODA,OG1191966,ANODA01579,0.8427480916030534,0.8427480916030534,1656,1965,1965
ANODA,OG1144131,ANODA04793,0.505464480874317,0.505464480874317,1110,2196,2196
ANODA,OG352732,ANODA04288,0.33739837398373984,0.33739837398373984,498,1476,1476
ANODA,OG1235653,ANODA08957,0.8618666666666667,0.8618666666666667,1616,1875,1875
ANODA,OG455346,ANODA06172,0.8947368421052632,0.8947368421052632,1020,1140,1140
ANODA,OG1236745,ANODA08566,0.9019607843137255,0.9019607843137255,782,867,867
ANODA,OG661167,ANODA02918,0.9100346020761245,0.9100346020761245,789,867,867
ANODA,OG698997,ANODA05980,0.5514018691588785,0.5514018691588785,1770,3210,3210
ANODA,OG1219581,ANODA05977,0.33511586452762926,0.33511586452762926,564,1683,1683
ANODA,OG1174891,ANODA02648,0.21058558558558557,0.21058558558558557,187,888,888
ANODA,OG822311,ANODA06170,0.8956941351150706,0.8956941351150706,2413,2694,2694
ANODA,OG1079985,ANODA06296,0.5565862708719852,0.5565862708719852,1800,3234,3234
ANODA,OG877291,ANODA07249,0.4544859201047806,0.4544859201047806,694,1527,1527
ANODA,OG986274,ANODA04898,0.8893129770992366,0.8893129770992366,1398,1572,1572
ANODA,OG1229017,ANODA05596,0.8661887694145759,0.8661887694145759,2175,2511,2511
ANODA,OG932104,ANODA02917,0.6007677543186181,0.6007677543186181,939,1563,1563
ANODA,OG960910,ANODA08504,0.9984779299847792,0.9984779299847792,1312,1314,1314
ANODA,OG986805,ANODA04795,0.7231396534148827,0.7231396534148827,3547,4905,4905
ANODA,OG946387,ANODA07723,0.806966618287373,0.806966618287373,1668,2067,2067
ANODA,OG964633,ANODA05487,0.6586620926243568,0.6586620926243568,1152,1749,1749
ANODA,OG1231177,ANODA03650,0.8549939831528279,0.8549939831528279,1421,1662,1662
ANODA,OG1150674,ANODA06923,0.32709113607990015,0.32709113607990015,262,801,801
ANODA,OG1222683,ANODA08571,0.7230948225712623,0.7230948225712623,1243,1719,1719
