#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG1244115,ANOSI05521,0.9971264367816092,0.9971264367816092,347,348,348
ANOSI,OG451038,ANOSI08326,0.3521505376344086,0.3521505376344086,262,744,744
ANOSI,OG961564,ANOSI18947,0.18653948065712772,0.18653948065712772,352,1887,1887
ANOSI,OG960979,ANOSI13351,0.83,0.83,996,1200,1200
ANOSI,OG963232,ANOSI15198,0.10792741165234002,0.10792741165234002,113,1047,1047
ANOSI,OG456720,ANOSI08234,0.09056603773584905,0.09056603773584905,72,795,795
ANOSI,OG968364,ANOSI14862,0.51621271076524,0.51621271076524,1194,2313,2313
ANOSI,OG961115,ANOSI05647,0.16944444444444445,0.16944444444444445,183,1080,1080
ANOSI,OG1214309,ANOSI17769,0.6287878787878788,0.6287878787878788,249,396,396
ANOSI,OG1179969,ANOSI16583,0.0834983498349835,0.0834983498349835,253,3030,3030
ANOSI,OG970502,ANOSI15209,0.11897738446411013,0.11897738446411013,121,1017,1017
ANOSI,OG1235653,ANOSI18112,0.7231270358306189,0.7231270358306189,1332,1842,1842
ANOSI,OG1150857,ANOSI15844,0.12976629766297662,0.12976629766297662,211,1626,1626
ANOSI,OG953187,ANOSI10125,0.6407407407407407,0.6407407407407407,346,540,540
ANOSI,OG1176412,ANOSI15222,0.09791445740544362,0.09791445740544362,277,2829,2829
ANOSI,OG961602,ANOSI10095,0.8130511463844797,0.8130511463844797,461,567,567
ANOSI,OG456351,ANOSI10182,0.10421638822593476,0.10421638822593476,524,5028,5028
ANOSI,OG342477,ANOSI13940,0.40583404134806006,0.40583404134806006,1433,3531,3531
ANOSI,OG976835,ANOSI16315,0.4394202898550725,0.4394202898550725,758,1725,1725
ANOSI,OG978616,ANOSI08335,0.2546241637150728,0.2546241637150728,647,2541,2541
ANOSI,OG1251511,ANOSI10202,0.9150495903406641,0.9150495903406641,2122,2319,2319
ANOSI,OG344070,ANOSI13377,0.08993647609495152,0.08993647609495152,269,2991,2991
ANOSI,OG790850,ANOSI19220,0.4599824098504837,0.4599824098504837,523,1137,1137
ANOSI,OG420768,ANOSI13955,0.3614372109569548,0.3614372109569548,1016,2811,2811
ANOSI,OG1189787,ANOSI09481,0.5153061224489796,0.5153061224489796,303,588,588
ANOSI,OG1204971,ANOSI12470,0.04605742603119079,0.04605742603119079,316,6861,6861
ANOSI,OG1190683,ANOSI08201,0.6165413533834586,0.6165413533834586,738,1197,1197
ANOSI,OG1192905,ANOSI13732,0.6125860373647984,0.6125860373647984,623,1017,1017
ANOSI,OG961299,ANOSI14995,0.2708994708994709,0.2708994708994709,768,2835,2835
ANOSI,OG1181227,ANOSI13961,0.7706766917293233,0.7706766917293233,1230,1596,1596
ANOSI,OG671266,ANOSI08178,0.8741693461950697,0.8741693461950697,12234,13995,13995
ANOSI,OG925865,ANOSI19077,0.625,0.625,345,552,552
ANOSI,OG924410,ANOSI05511,0.4115065821550463,0.4115065821550463,2532,6153,6153
ANOSI,OG978865,ANOSI19223,0.16469428007889547,0.16469428007889547,167,1014,1014
ANOSI,OG1231901,ANOSI13321,0.10836423568191182,0.10836423568191182,263,2427,2427
ANOSI,OG946387,ANOSI17759,0.16765578635014836,0.16765578635014836,339,2022,2022
ANOSI,OG949490,ANOSI08215,0.30254350736278446,0.30254350736278446,226,747,747
ANOSI,OG958126,ANOSI13277,0.1870286576168929,0.1870286576168929,124,663,663
ANOSI,OG1079985,ANOSI16316,0.06582884500299221,0.06582884500299221,220,3342,3342
ANOSI,OG1218157,ANOSI08193,0.7496706192358367,0.7496706192358367,569,759,759
ANOSI,OG719374,ANOSI14969,0.4019468186134853,0.4019468186134853,1693,4212,4212
ANOSI,OG1144131,ANOSI18952,0.15186802523047063,0.15186802523047063,313,2061,2061
ANOSI,OG718578,ANOSI13311,0.14616755793226383,0.14616755793226383,246,1683,1683
ANOSI,OG1241986,ANOSI13275,0.40168970814132104,0.40168970814132104,523,1302,1302
ANOSI,OG1246006,ANOSI08120,0.5749506903353058,0.5749506903353058,583,1014,1014
ANOSI,OG896170,ANOSI12371,0.9026143790849673,0.9026143790849673,1381,1530,1530
ANOSI,OG1194738,ANOSI13345,0.931129476584022,0.931129476584022,1352,1452,1452
ANOSI,OG966098,ANOSI13976,0.199625468164794,0.199625468164794,533,2670,2670
ANOSI,OG661167,ANOSI16743,0.5335648148148148,0.5335648148148148,461,864,864
ANOSI,OG419349,ANOSI16375,0.1514822848879248,0.1514822848879248,419,2766,2766
ANOSI,OG1139996,ANOSI13881,0.29895366218236175,0.29895366218236175,400,1338,1338
ANOSI,OG1221639,ANOSI13259,0.41798941798941797,0.41798941798941797,158,378,378
ANOSI,OG977782,ANOSI18323,0.024822695035460994,0.024822695035460994,49,1974,1974
ANOSI,OG784747,ANOSI08261,0.9089692101740294,0.9089692101740294,679,747,747
ANOSI,OG1251552,ANOSI09497,0.5198412698412699,0.5198412698412699,262,504,504
ANOSI,OG1221689,ANOSI12385,0.5755613126079447,0.5755613126079447,1333,2316,2316
ANOSI,OG698997,ANOSI11073,0.4412041392285983,0.4412041392285983,1407,3189,3189
ANOSI,OG1212040,ANOSI13772,0.4263341067285383,0.4263341067285383,2205,5172,5172
