#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG722946,ANODA07079,0.22250859106529208,0.22250859106529208,259,1164,1164
ANODA,OG369576,ANODA04599,0.4175627240143369,0.4175627240143369,233,558,558
ANODA,OG451043,ANODA08553,0.8902275769745649,0.8902275769745649,665,747,747
ANODA,OG848281,ANODA03007,0.7198327359617682,0.7198327359617682,1205,1674,1674
ANODA,OG986805,ANODA04795,0.6801223241590214,0.6801223241590214,3336,4905,4905
ANODA,OG924410,ANODA03655,0.6647342995169082,0.6647342995169082,4128,6210,6210
ANODA,OG823037,ANODA01777,0.28888888888888886,0.28888888888888886,390,1350,1350
ANODA,OG1179969,ANODA09026,0.543369890329013,0.543369890329013,1635,3009,3009
ANODA,OG457329,ANODA01668,0.1994645247657296,0.1994645247657296,149,747,747
ANODA,OG961440,ANODA00293,0.9246196403872753,0.9246196403872753,1337,1446,1446
ANODA,OG1240929,ANODA06171,0.23489278752436646,0.23489278752436646,241,1026,1026
ANODA,OG823032,ANODA05893,0.7121212121212122,0.7121212121212122,940,1320,1320
ANODA,OG1231177,ANODA03650,0.9163658243080626,0.9163658243080626,1523,1662,1662
ANODA,OG846448,ANODA08490,0.6387782204515272,0.6387782204515272,481,753,753
ANODA,OG931899,ANODA03411,0.20631720430107528,0.20631720430107528,307,1488,1488
ANODA,OG961602,ANODA09075,0.8306878306878307,0.8306878306878307,471,567,567
ANODA,OG960945,ANODA08768,0.46998722860791825,0.46998722860791825,736,1566,1566
ANODA,OG1170587,ANODA03456,0.6920692069206921,0.6920692069206921,6920,9999,9999
ANODA,OG1212040,ANODA10250,0.7736246885183056,0.7736246885183056,4036,5217,5217
ANODA,OG1242667,ANODA10318,0.2655158240854912,0.2655158240854912,646,2433,2433
ANODA,OG761976,ANODA05741,0.3968553459119497,0.3968553459119497,631,1590,1590
ANODA,OG899270,ANODA01952,0.5537730243612596,0.5537730243612596,932,1683,1683
ANODA,OG1251552,ANODA07755,0.587037037037037,0.587037037037037,317,540,540
ANODA,OG456691,ANODA06792,0.04035512510088781,0.04035512510088781,50,1239,1239
ANODA,OG456351,ANODA09077,0.3957721667645332,0.3957721667645332,2022,5109,5109
ANODA,OG953187,ANODA09070,0.6203703703703703,0.6203703703703703,335,540,540
ANODA,OG961013,ANODA08956,0.9265010351966874,0.9265010351966874,1790,1932,1932
ANODA,OG362545,ANODA06501,0.25144175317185696,0.25144175317185696,218,867,867
ANODA,OG456479,ANODA10251,0.658703071672355,0.658703071672355,1158,1758,1758
ANODA,OG839253,ANODA06918,0.37202380952380953,0.37202380952380953,125,336,336
ANODA,OG916860,ANODA09028,0.21654501216545013,0.21654501216545013,178,822,822
ANODA,OG961564,ANODA04794,0.5353218210361067,0.5353218210361067,1023,1911,1911
ANODA,OG1215812,ANODA08572,0.9954128440366973,0.9954128440366973,651,654,654
ANODA,OG1174245,ANODA09078,0.37474437627811863,0.37474437627811863,733,1956,1956
ANODA,OG1197765,ANODA06617,0.8507670850767085,0.8507670850767085,610,717,717
ANODA,OG917347,ANODA01979,0.7632398753894081,0.7632398753894081,735,963,963
ANODA,OG1138880,ANODA05178,0.2182890855457227,0.2182890855457227,148,678,678
ANODA,OG708597,ANODA05161,0.2638215324927255,0.2638215324927255,816,3093,3093
ANODA,OG861720,ANODA08506,0.22072784810126583,0.22072784810126583,837,3792,3792
ANODA,OG1223886,ANODA06917,0.3130081300813008,0.3130081300813008,154,492,492
ANODA,OG1198488,ANODA06785,0.996742671009772,0.996742671009772,1836,1842,1842
ANODA,OG1204971,ANODA05655,0.41168269901017707,0.41168269901017707,2953,7173,7173
ANODA,OG944937,ANODA08489,0.6772486772486772,0.6772486772486772,768,1134,1134
ANODA,OG961398,ANODA01312,0.6071987480438185,0.6071987480438185,776,1278,1278
ANODA,OG676343,ANODA08502,0.10462962962962963,0.10462962962962963,226,2160,2160
ANODA,OG419349,ANODA03242,0.3747534516765286,0.3747534516765286,1140,3042,3042
ANODA,OG351572,ANODA06536,0.7083333333333334,0.7083333333333334,765,1080,1080
ANODA,OG792952,ANODA03657,0.7680751173708921,0.7680751173708921,818,1065,1065
ANODA,OG961299,ANODA07298,0.30383480825958703,0.30383480825958703,824,2712,2712
ANODA,OG1240968,ANODA05983,0.479023646071701,0.479023646071701,628,1311,1311
ANODA,OG762076,ANODA10391,0.4929757343550447,0.4929757343550447,386,783,783
ANODA,OG1146507,ANODA10392,0.25842696629213485,0.25842696629213485,759,2937,2937
ANODA,OG698904,ANODA03572,0.8344433872502379,0.8344433872502379,2631,3153,3153
ANODA,OG457108,ANODA03006,0.8161512027491409,0.8161512027491409,475,582,582
ANODA,OG961115,ANODA03651,0.8475665748393021,0.8475665748393021,923,1089,1089
ANODA,OG964344,ANODA02629,0.6522366522366523,0.6522366522366523,904,1386,1386
ANODA,OG457572,ANODA02309,0.739514348785872,0.739514348785872,335,453,453
ANODA,OG1208321,ANODA05883,0.6531622777402656,0.6531622777402656,5804,8886,8886
ANODA,OG1230391,ANODA03599,0.24834749763928235,0.24834749763928235,263,1059,1059
ANODA,OG699681,ANODA09332,0.6371681415929203,0.6371681415929203,216,339,339
ANODA,OG675570,ANODA03502,0.3354908306364617,0.3354908306364617,311,927,927
ANODA,OG988784,ANODA08548,0.5046713380046713,0.5046713380046713,3025,5994,5994
ANODA,OG823022,ANODA00759,0.4627092846270928,0.4627092846270928,608,1314,1314
ANODA,OG962230,ANODA03598,0.8006535947712419,0.8006535947712419,490,612,612
ANODA,OG1181227,ANODA06163,0.5915032679738562,0.5915032679738562,1086,1836,1836
ANODA,OG1152239,ANODA05622,0.31322751322751324,0.31322751322751324,296,945,945
ANODA,OG1241986,ANODA03573,0.642802155504234,0.642802155504234,835,1299,1299
ANODA,OG1244115,ANODA03659,0.7327586206896551,0.7327586206896551,255,348,348
ANODA,OG961377,ANODA07077,0.6829971181556196,0.6829971181556196,711,1041,1041
ANODA,OG1146505,ANODA07082,0.5447063224841002,0.5447063224841002,1456,2673,2673
ANODA,OG963232,ANODA07139,0.46613896218117856,0.46613896218117856,530,1137,1137
ANODA,OG344070,ANODA02026,0.5278810408921933,0.5278810408921933,1704,3228,3228
ANODA,OG1214658,ANODA02027,0.6396011396011396,0.6396011396011396,449,702,702
ANODA,OG1223272,ANODA01666,0.6931931931931932,0.6931931931931932,1385,1998,1998
ANODA,OG1150674,ANODA06923,0.299625468164794,0.299625468164794,240,801,801
ANODA,OG1157040,ANODA03571,0.5424354243542435,0.5424354243542435,441,813,813
ANODA,OG671266,ANODA07081,0.9420041425612456,0.9420041425612456,13189,14001,14001
ANODA,OG971123,ANODA05742,0.4260089686098655,0.4260089686098655,855,2007,2007
