#species,og,gene_id,coverage,std
ANODA,OG861720,ANODA08506,4.783641160949868,2.3741453539056963
ANODA,OG676343,ANODA08502,2.0,0.0
ANODA,OG951333,ANODA08505,3.3512747875354107,1.6408747808120039
ANODA,OG960910,ANODA08504,40.90867579908676,16.139070291534978
ANODA,OG848281,ANODA03007,6.713419257012888,4.7786225123306405
ANODA,OG1221639,ANODA05486,nan,nan
ANODA,OG964633,ANODA05487,17.655127367733506,10.314578702086848
ANODA,OG718578,ANODA00549,4.130841121495327,2.2034415681447115
ANODA,OG961398,ANODA01312,5.350151362260343,3.601980825896607
ANODA,OG411836,ANODA03579,7.555123216601816,5.178325483803184
ANODA,OG1241986,ANODA03573,11.346007604562738,5.164780299651516
ANODA,OG698904,ANODA03572,15.966036414565826,8.084889802187776
ANODA,OG1157040,ANODA03571,3.4901185770750986,2.5854757717249317
ANODA,OG958126,ANODA01492,4.388888888888889,2.6735196335618268
ANODA,OG842298,ANODA01152,7.858469945355191,6.014569910712266
ANODA,OG1174245,ANODA09078,13.648125755743651,6.040232363672784
ANODA,OG456351,ANODA09077,5.6389891696750905,9.534010104744995
ANODA,OG1251511,ANODA09076,21.813996316758747,9.799623553110354
ANODA,OG961602,ANODA09075,9.535070140280562,4.099009184874505
ANODA,OG953187,ANODA09070,8.793713163064833,4.325494369038651
ANODA,OG814084,ANODA09331,5.60644418872267,3.8279157396311567
ANODA,OG699681,ANODA09332,1.7254098360655739,0.8163354216000855
ANODA,OG946387,ANODA07723,4.874745417515275,3.2341724399037495
ANODA,OG946885,ANODA07717,12.083945435466946,6.992372126771233
ANODA,OG1214309,ANODA07715,1.0205479452054795,0.14186517244662997
ANODA,OG341995,ANODA06295,3.6823529411764704,2.436691100114305
ANODA,OG1079985,ANODA06296,7.6640625,6.9610590016652765
ANODA,OG976835,ANODA06297,17.54538577912254,10.417015089197688
ANODA,OG675570,ANODA03502,nan,nan
ANODA,OG971355,ANODA03504,18.73122807017544,9.294180799697072
ANODA,OG1223272,ANODA01666,10.762574364521363,6.522116558728318
ANODA,OG1224967,ANODA01667,5.715927750410509,3.9765023084240134
ANODA,OG457329,ANODA01668,nan,nan
ANODA,OG961439,ANODA01669,8.824726134585289,4.237910971308987
ANODA,OG998211,ANODA01670,7.287371134020619,4.646375962393597
ANODA,OG673136,ANODA03220,2.4375,0.7824098533194918
ANODA,OG1139777,ANODA01246,nan,nan
ANODA,OG1221689,ANODA08570,13.473529411764705,7.791038422451486
ANODA,OG1222683,ANODA08571,9.16015037593985,4.6497544578978
ANODA,OG1215812,ANODA08572,6.25462962962963,4.724343659279449
ANODA,OG896170,ANODA03515,24.930115273775215,12.368740846618307
ANODA,OG1231177,ANODA03650,14.54557463672391,6.876690633970736
ANODA,OG961115,ANODA03651,5.668984700973574,2.9692954350907526
ANODA,OG911937,ANODA03653,15.84,8.62307084626307
ANODA,OG924410,ANODA03655,10.626227767454207,8.263475993280625
ANODA,OG792952,ANODA03657,13.66906474820144,5.735828763324418
ANODA,OG792914,ANODA03658,7.2773722627737225,4.458617387420212
ANODA,OG1244115,ANODA03659,3.101973684210526,1.7185508887438323
ANODA,OG1170587,ANODA03456,16.71107390576417,9.327981340851801
ANODA,OG1226379,ANODA02643,9.059748427672956,4.118475316233188
ANODA,OG458150,ANODA02645,nan,nan
ANODA,OG975279,ANODA02647,7.464098073555166,4.328865766861964
ANODA,OG1174891,ANODA02648,3.440318302387268,2.101475521670336
ANODA,OG455346,ANODA06172,17.373493975903614,6.9900287731856805
ANODA,OG1240929,ANODA06171,1.0,0.0
ANODA,OG822311,ANODA06170,12.93516699410609,8.237374754756852
ANODA,OG420493,ANODA06168,2.158490566037736,0.7993945733323843
ANODA,OG665560,ANODA06166,12.2215628090999,8.215710140127214
ANODA,OG420768,ANODA06165,12.184013801035078,8.455992209429239
