#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG1162063,ANOGA04462,0.13168724279835392,0.13168724279835392,192,1458,1458
ANOGA,OG953548,ANOGA05931,0.9574358974358974,0.9574358974358974,1867,1950,1950
ANOGA,OG931899,ANOGA04558,0.13795379537953795,0.13795379537953795,209,1515,1515
ANOGA,OG675570,ANOGA04091,0.31256830601092894,0.31256830601092894,286,915,915
ANOGA,OG932104,ANOGA04539,0.5245579567779961,0.5245579567779961,801,1527,1527
ANOGA,OG961115,ANOGA04121,0.9300184162062615,0.9300184162062615,1010,1086,1086
ANOGA,OG456691,ANOGA05703,0.40970564836913287,0.40970564836913287,515,1257,1257
ANOGA,OG998211,ANOGA04098,0.7153344208809136,0.7153344208809136,2631,3678,3678
ANOGA,OG896170,ANOGA04117,0.9913941480206541,0.9913941480206541,1728,1743,1743
ANOGA,OG925865,ANOGA05617,0.8804347826086957,0.8804347826086957,486,552,552
ANOGA,OG454890,ANOGA04502,0.7637637637637638,0.7637637637637638,763,999,999
ANOGA,OG456648,ANOGA04680,0.4646666666666667,0.4646666666666667,697,1500,1500
ANOGA,OG698904,ANOGA04041,0.8961538461538462,0.8961538461538462,2796,3120,3120
ANOGA,OG961564,ANOGA05927,0.8794666666666666,0.8794666666666666,1649,1875,1875
ANOGA,OG823022,ANOGA05671,0.28378378378378377,0.28378378378378377,378,1332,1332
ANOGA,OG1224967,ANOGA04095,0.9536571747627024,0.9536571747627024,1708,1791,1791
ANOGA,OG842298,ANOGA04047,0.8420926325893928,0.8420926325893928,3509,4167,4167
ANOGA,OG1225085,ANOGA05304,0.5677830940988836,0.5677830940988836,2492,4389,4389
ANOGA,OG1240325,ANOGA05642,0.6881313131313131,0.6881313131313131,545,792,792
ANOGA,OG961377,ANOGA04332,0.834774255523535,0.834774255523535,869,1041,1041
ANOGA,OG924410,ANOGA04132,0.741170778906628,0.741170778906628,4596,6201,6201
ANOGA,OG676343,ANOGA05773,0.4875749785775493,0.4875749785775493,1138,2334,2334
ANOGA,OG1218490,ANOGA05471,0.5579710144927537,0.5579710144927537,770,1380,1380
ANOGA,OG718578,ANOGA05248,0.5136707388016288,0.5136707388016288,883,1719,1719
ANOGA,OG460076,ANOGA06525,0.8972724052426496,0.8972724052426496,2533,2823,2823
ANOGA,OG971123,ANOGA04434,0.4643765903307888,0.4643765903307888,730,1572,1572
ANOGA,OG793899,ANOGA04677,0.9983416252072969,0.9983416252072969,602,603,603
ANOGA,OG1170587,ANOGA04139,0.8963402571711178,0.8963402571711178,9062,10110,10110
ANOGA,OG1240328,ANOGA05641,0.40225988700564974,0.40225988700564974,356,885,885
ANOGA,OG899270,ANOGA04679,0.8556946929039952,0.8556946929039952,1435,1677,1677
ANOGA,OG665560,ANOGA04640,0.7927003136583974,0.7927003136583974,2780,3507,3507
ANOGA,OG1138880,ANOGA05943,0.4669603524229075,0.4669603524229075,318,681,681
ANOGA,OG451043,ANOGA04280,0.8018372703412073,0.8018372703412073,611,762,762
ANOGA,OG1230391,ANOGA04302,0.2627118644067797,0.2627118644067797,279,1062,1062
ANOGA,OG674682,ANOGA05648,0.7587064676616916,0.7587064676616916,610,804,804
ANOGA,OG814084,ANOGA05434,0.9439696106362773,0.9439696106362773,994,1053,1053
ANOGA,OG1198488,ANOGA05707,0.9864277958740499,0.9864277958740499,1817,1842,1842
ANOGA,OG671266,ANOGA04325,0.9867237687366167,0.9867237687366167,13824,14010,14010
ANOGA,OG917347,ANOGA05769,0.9792315680166147,0.9792315680166147,943,963,963
ANOGA,OG1241986,ANOGA04040,0.5846743295019157,0.5846743295019157,763,1305,1305
ANOGA,OG1152239,ANOGA06528,0.5928411633109619,0.5928411633109619,530,894,894
ANOGA,OG420493,ANOGA04637,0.5861581920903954,0.5861581920903954,415,708,708
ANOGA,OG456351,ANOGA04056,0.48327213382292944,0.48327213382292944,2369,4902,4902
ANOGA,OG968364,ANOGA07027,0.8100983020554066,0.8100983020554066,1813,2238,2238
ANOGA,OG958126,ANOGA04045,0.6921921921921922,0.6921921921921922,461,666,666
ANOGA,OG457572,ANOGA05354,0.6552511415525114,0.6552511415525114,287,438,438
ANOGA,OG961440,ANOGA04483,0.8558368495077355,0.8558368495077355,1217,1422,1422
ANOGA,OG961398,ANOGA05245,0.9374021909233177,0.9374021909233177,1198,1278,1278
ANOGA,OG456479,ANOGA05459,0.7745257452574525,0.7745257452574525,1429,1845,1845
ANOGA,OG1194738,ANOGA05637,0.8657024793388429,0.8657024793388429,1257,1452,1452
ANOGA,OG699681,ANOGA05433,1.0,1.0,339,339,339
ANOGA,OG762076,ANOGA05710,0.2694235588972431,0.2694235588972431,215,798,798
ANOGA,OG964673,ANOGA05646,0.9673539518900344,0.9673539518900344,563,582,582
ANOGA,OG1176412,ANOGA04492,0.8048137157929443,0.8048137157929443,2441,3033,3033
ANOGA,OG961013,ANOGA04514,0.9994526546250684,0.9994526546250684,1826,1827,1827
ANOGA,OG949414,ANOGA05260,0.7811158798283262,0.7811158798283262,546,699,699
ANOGA,OG1202789,ANOGA05383,0.8632640201638311,0.8632640201638311,2740,3174,3174
ANOGA,OG1191966,ANOGA05362,0.8465851172273191,0.8465851172273191,1661,1962,1962
ANOGA,OG846448,ANOGA05497,0.7081545064377682,0.7081545064377682,495,699,699
ANOGA,OG953187,ANOGA05445,0.7222222222222222,0.7222222222222222,390,540,540
ANOGA,OG456338,ANOGA05365,0.6306797528171574,0.6306797528171574,3470,5502,5502
ANOGA,OG703365,ANOGA04508,0.32142857142857145,0.32142857142857145,378,1176,1176
ANOGA,OG1215812,ANOGA04116,0.9738863287250384,0.9738863287250384,634,651,651
ANOGA,OG975279,ANOGA04631,0.90914671577655,0.90914671577655,1481,1629,1629
ANOGA,OG961011,ANOGA05472,0.8043633762517882,0.8043633762517882,2249,2796,2796
ANOGA,OG761976,ANOGA04435,0.41682013505217924,0.41682013505217924,679,1629,1629
ANOGA,OG792914,ANOGA04135,0.9282700421940928,0.9282700421940928,1100,1185,1185
