#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG1181227,ANOSI13961,0.7656641604010025,0.7656641604010025,1222,1596,1596
ANOSI,OG988784,ANOSI08226,0.5209790209790209,0.5209790209790209,3129,6006,6006
ANOSI,OG964673,ANOSI18236,0.47766323024054985,0.47766323024054985,278,582,582
ANOSI,OG964344,ANOSI08292,0.510593220338983,0.510593220338983,723,1416,1416
ANOSI,OG960979,ANOSI13351,0.9191666666666667,0.9191666666666667,1103,1200,1200
ANOSI,OG708597,ANOSI11937,0.4981549815498155,0.4981549815498155,1215,2439,2439
ANOSI,OG986805,ANOSI17797,0.7913359788359788,0.7913359788359788,4786,6048,6048
ANOSI,OG352732,ANOSI08184,0.5916852264291017,0.5916852264291017,797,1347,1347
ANOSI,OG796653,ANOSI16455,0.8797202797202798,0.8797202797202798,1887,2145,2145
ANOSI,OG1214309,ANOSI17769,0.9444444444444444,0.9444444444444444,374,396,396
ANOSI,OG968775,ANOSI11909,0.7264276228419655,0.7264276228419655,1641,2259,2259
ANOSI,OG719374,ANOSI14969,0.4781576448243115,0.4781576448243115,2014,4212,4212
ANOSI,OG341995,ANOSI16311,0.40922865013774107,0.40922865013774107,2971,7260,7260
ANOSI,OG661167,ANOSI16743,0.7881944444444444,0.7881944444444444,681,864,864
ANOSI,OG1240325,ANOSI13359,0.18055555555555555,0.18055555555555555,143,792,792
ANOSI,OG1157040,ANOSI13306,0.9540229885057471,0.9540229885057471,747,783,783
ANOSI,OG456691,ANOSI18513,0.3697148475909538,0.3697148475909538,376,1017,1017
ANOSI,OG1244115,ANOSI05521,0.9597701149425287,0.9597701149425287,334,348,348
ANOSI,OG1240968,ANOSI11112,0.5305164319248826,0.5305164319248826,678,1278,1278
ANOSI,OG455346,ANOSI13964,0.934056007226739,0.934056007226739,1034,1107,1107
ANOSI,OG817086,ANOSI08325,0.9246031746031746,0.9246031746031746,699,756,756
ANOSI,OG976835,ANOSI16315,0.831304347826087,0.831304347826087,1434,1725,1725
ANOSI,OG828830,ANOSI16895,0.530938123752495,0.530938123752495,266,501,501
ANOSI,OG979200,ANOSI15839,0.3580683156654888,0.3580683156654888,608,1698,1698
ANOSI,OG1204971,ANOSI12470,0.5114414808336977,0.5114414808336977,3509,6861,6861
ANOSI,OG1202204,ANOSI18328,1.0,1.0,717,717,717
ANOSI,OG676343,ANOSI11914,0.13612565445026178,0.13612565445026178,312,2292,2292
ANOSI,OG1226379,ANOSI13958,0.6214177978883861,0.6214177978883861,824,1326,1326
ANOSI,OG1170587,ANOSI05651,0.8101101101101101,0.8101101101101101,8093,9990,9990
ANOSI,OG419349,ANOSI16375,0.3109182935647144,0.3109182935647144,860,2766,2766
ANOSI,OG664391,ANOSI08311,0.765003615328995,0.765003615328995,1058,1383,1383
ANOSI,OG932017,ANOSI15215,0.6699933466400533,0.6699933466400533,1007,1503,1503
ANOSI,OG1179969,ANOSI16583,0.5881188118811881,0.5881188118811881,1782,3030,3030
ANOSI,OG1150857,ANOSI15844,0.7822878228782287,0.7822878228782287,1272,1626,1626
ANOSI,OG673136,ANOSI13684,0.35760517799352753,0.35760517799352753,442,1236,1236
ANOSI,OG1215812,ANOSI12428,0.6881720430107527,0.6881720430107527,448,651,651
ANOSI,OG961011,ANOSI08989,0.7710583153347732,0.7710583153347732,2142,2778,2778
ANOSI,OG1218158,ANOSI08297,0.8589743589743589,0.8589743589743589,603,702,702
ANOSI,OG975279,ANOSI13957,0.7191011235955056,0.7191011235955056,1152,1602,1602
