#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG1150857,ANOGA04505,0.5913978494623656,0.5913978494623656,935,1581,1581
ANOGA,OG1190683,ANOGA04295,0.3249581239530988,0.3249581239530988,388,1194,1194
ANOSI,OG1192905,ANOSI13732,0.5270403146509341,0.5270403146509341,536,1017,1017
ANOSI,OG1198488,ANOSI18498,0.9136807817589576,0.9136807817589576,1683,1842,1842
ANOGA,OG1198490,ANOGA05372,0.9330655957161981,0.9330655957161981,1394,1494,1494
ANOGA,OG1208321,ANOGA05692,0.40979689366786143,0.40979689366786143,3430,8370,8370
ANOGA,OG1215812,ANOGA04116,0.4869431643625192,0.4869431643625192,317,651,651
ANOSI,OG1218158,ANOSI08297,0.33760683760683763,0.33760683760683763,237,702,702
ANOST,OG1221689,ANOST00123,0.34196891191709844,0.34196891191709844,792,2316,2316
ANOGA,OG1224967,ANOGA04095,0.39140145170295926,0.39140145170295926,701,1791,1791
ANOGA,OG1235653,ANOGA04515,0.25226666666666664,0.25226666666666664,473,1875,1875
ANOSI,OG1244115,ANOSI05521,0.40229885057471265,0.40229885057471265,140,348,348
ANODA,OG1246006,ANODA06751,0.33530571992110453,0.33530571992110453,340,1014,1014
ANOGA,OG1251119,ANOGA04663,0.28122605363984676,0.28122605363984676,367,1305,1305
ANOGA,OG1251511,ANOGA04057,0.7141623488773747,0.7141623488773747,1654,2316,2316
ANODA,OG451043,ANODA08553,0.2543507362784471,0.2543507362784471,190,747,747
ANOGA,OG664391,ANOGA04327,0.4658027357811375,0.4658027357811375,647,1389,1389
ANOGA,OG671266,ANOGA04325,0.6660956459671663,0.6660956459671663,9332,14010,14010
ANOGA,OG698904,ANOGA04041,0.3301282051282051,0.3301282051282051,1030,3120,3120
ANOGA,OG698997,ANOGA05682,0.2697795071335927,0.2697795071335927,832,3084,3084
ANOSI,OG784747,ANOSI08261,0.41767068273092367,0.41767068273092367,312,747,747
ANOSI,OG796653,ANOSI16455,0.4167832167832168,0.4167832167832168,894,2145,2145
ANOST,OG896170,ANOST00127,0.4729885057471264,0.4729885057471264,823,1740,1740
ANOGA,OG917347,ANOGA05769,0.5316718587746625,0.5316718587746625,512,963,963
ANOGA,OG926503,ANOGA04270,0.3333333333333333,0.3333333333333333,162,486,486
ANODA,OG953548,ANODA07452,0.4907692307692308,0.4907692307692308,957,1950,1950
ANOST,OG960910,ANOST00006,0.7998560115190785,0.7998560115190785,1111,1389,1389
ANOGA,OG960979,ANOGA05643,0.7258333333333333,0.7258333333333333,871,1200,1200
ANOSI,OG961013,ANOSI18108,0.5451559934318555,0.5451559934318555,996,1827,1827
ANOST,OG961377,ANOST00356,0.7752161383285303,0.7752161383285303,807,1041,1041
ANODA,OG961398,ANODA01312,0.30359937402190923,0.30359937402190923,388,1278,1278
ANOGA,OG964633,ANOGA05249,0.3345029239766082,0.3345029239766082,572,1710,1710
ANOSI,OG964673,ANOSI18236,0.29896907216494845,0.29896907216494845,174,582,582
ANOSI,OG964929,ANOSI08966,0.26901408450704223,0.26901408450704223,573,2130,2130
ANOST,OG968364,ANOST00614,0.511326860841424,0.511326860841424,790,1545,1545
ANOST,OG971355,ANOST00110,0.38283208020050125,0.38283208020050125,611,1596,1596
ANOGA,OG976835,ANOGA04087,0.4363001745200698,0.4363001745200698,750,1719,1719
