#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG411836,ANOSI13282,0.9250764525993884,0.9250764525993884,1210,1308,1308
ANOSI,OG976835,ANOSI16315,0.9901449275362318,0.9901449275362318,1708,1725,1725
ANOSI,OG352732,ANOSI08184,0.7616926503340757,0.7616926503340757,1026,1347,1347
ANOSI,OG793899,ANOSI18657,0.9933665008291874,0.9933665008291874,599,603,603
ANOSI,OG1251511,ANOSI10202,0.9629150495903407,0.9629150495903407,2233,2319,2319
ANOSI,OG1241986,ANOSI13275,0.825652841781874,0.825652841781874,1075,1302,1302
ANOSI,OG964344,ANOSI08292,0.7782485875706214,0.7782485875706214,1102,1416,1416
ANOSI,OG977782,ANOSI18323,0.23556231003039513,0.23556231003039513,465,1974,1974
ANOSI,OG1139996,ANOSI13881,0.7855007473841554,0.7855007473841554,1051,1338,1338
ANOSI,OG970502,ANOSI15209,1.0,1.0,1017,1017,1017
ANOSI,OG1191966,ANOSI18157,0.9276248725790011,0.9276248725790011,1820,1962,1962
ANOSI,OG964929,ANOSI08966,0.855868544600939,0.855868544600939,1823,2130,2130
ANOSI,OG1215812,ANOSI12428,0.9062980030721967,0.9062980030721967,590,651,651
ANOSI,OG342477,ANOSI13940,0.8422543188898329,0.8422543188898329,2974,3531,3531
ANOSI,OG456338,ANOSI18154,0.6011091305208952,0.6011091305208952,3035,5049,5049
ANOSI,OG961439,ANOSI13690,0.5282854656222803,0.5282854656222803,607,1149,1149
ANOSI,OG961011,ANOSI08989,0.7537796976241901,0.7537796976241901,2094,2778,2778
ANOSI,OG420493,ANOSI13963,0.8333333333333334,0.8333333333333334,645,774,774
ANOSI,OG968364,ANOSI14862,0.7423259835711198,0.7423259835711198,1717,2313,2313
ANOSI,OG1179969,ANOSI16583,0.7006600660066007,0.7006600660066007,2123,3030,3030
ANOSI,OG979200,ANOSI15839,0.31743227326266193,0.31743227326266193,539,1698,1698
ANOSI,OG454890,ANOSI16889,0.8982683982683982,0.8982683982683982,830,924,924
ANOSI,OG460076,ANOSI16987,0.9802356518434056,0.9802356518434056,2579,2631,2631
ANOSI,OG344070,ANOSI13377,0.4192577733199599,0.4192577733199599,1254,2991,2991
ANOSI,OG671266,ANOSI08178,0.9998570918185066,0.9998570918185066,13993,13995,13995
ANOSI,OG1192905,ANOSI13732,0.9105211406096362,0.9105211406096362,926,1017,1017
ANOSI,OG1144131,ANOSI18952,0.8098010674429889,0.8098010674429889,1669,2061,2061
ANOSI,OG708597,ANOSI11937,0.2611726117261173,0.2611726117261173,637,2439,2439
ANOSI,OG796653,ANOSI16455,0.9916083916083916,0.9916083916083916,2127,2145,2145
ANOSI,OG978616,ANOSI08335,0.6706021251475797,0.6706021251475797,1704,2541,2541
ANOSI,OG861720,ANOSI11902,0.25533021320852833,0.25533021320852833,982,3846,3846
ANOSI,OG924410,ANOSI05511,0.8834714773281326,0.8834714773281326,5436,6153,6153
ANOSI,OG1204971,ANOSI12470,0.6176942136714765,0.6176942136714765,4238,6861,6861
ANOSI,OG664391,ANOSI08311,0.9175704989154013,0.9175704989154013,1269,1383,1383
ANOSI,OG961322,ANOSI11117,0.8467153284671532,0.8467153284671532,348,411,411
ANOSI,OG456479,ANOSI13787,0.6351277868406743,0.6351277868406743,1168,1839,1839
ANOSI,OG953548,ANOSI16981,1.0,1.0,1947,1947,1947
ANOSI,OG823037,ANOSI08294,0.8567186340014847,0.8567186340014847,1154,1347,1347
