#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG951333,ANODA08505,0.6666666666666666,0.6666666666666666,300,450,450
ANODA,OG1251119,ANODA03237,0.7640791476407914,0.7640791476407914,1004,1314,1314
ANODA,OG761976,ANODA05741,0.35786163522012576,0.35786163522012576,569,1590,1590
ANODA,OG960979,ANODA00582,0.9975,0.9975,1197,1200,1200
ANODA,OG1192905,ANODA10252,0.63913470993117,0.63913470993117,650,1017,1017
ANODA,OG1181227,ANODA06163,0.6639433551198257,0.6639433551198257,1219,1836,1836
ANODA,OG793899,ANODA01385,0.9917081260364843,0.9917081260364843,598,603,603
ANODA,OG814084,ANODA09331,0.31666666666666665,0.31666666666666665,342,1080,1080
ANODA,OG456338,ANODA01580,0.19679966749792185,0.19679966749792185,947,4812,4812
ANODA,OG911937,ANODA03653,0.9147665580890336,0.9147665580890336,1685,1842,1842
ANODA,OG1226379,ANODA02643,0.6930846930846931,0.6930846930846931,892,1287,1287
ANODA,OG420493,ANODA06168,0.5210727969348659,0.5210727969348659,408,783,783
ANODA,OG1231177,ANODA03650,0.6901323706377858,0.6901323706377858,1147,1662,1662
ANODA,OG457108,ANODA03006,0.8161512027491409,0.8161512027491409,475,582,582
ANODA,OG456720,ANODA07083,0.4828042328042328,0.4828042328042328,365,756,756
ANODA,OG1198488,ANODA06785,0.9549402823018458,0.9549402823018458,1759,1842,1842
ANODA,OG375937,ANODA00223,0.06218905472636816,0.06218905472636816,50,804,804
ANODA,OG823022,ANODA00759,0.6301369863013698,0.6301369863013698,828,1314,1314
ANODA,OG1174891,ANODA02648,0.6722972972972973,0.6722972972972973,597,888,888
ANODA,OG1150857,ANODA10330,0.4243520192887282,0.4243520192887282,704,1659,1659
ANODA,OG961322,ANODA05981,0.44525547445255476,0.44525547445255476,183,411,411
ANODA,OG932017,ANODA05892,0.32936507936507936,0.32936507936507936,498,1512,1512
ANODA,OG1229017,ANODA05596,0.8247710075667065,0.8247710075667065,2071,2511,2511
ANODA,OG823032,ANODA05893,0.5037878787878788,0.5037878787878788,665,1320,1320
ANODA,OG698997,ANODA05980,0.5841121495327103,0.5841121495327103,1875,3210,3210
ANODA,OG1162063,ANODA08486,0.12333333333333334,0.12333333333333334,185,1500,1500
ANODA,OG1194738,ANODA04923,0.9338842975206612,0.9338842975206612,1356,1452,1452
ANODA,OG1240968,ANODA05983,0.9054157131960335,0.9054157131960335,1187,1311,1311
ANODA,OG926503,ANODA08545,0.9958847736625515,0.9958847736625515,484,486,486
ANODA,OG341995,ANODA06295,0.18380273724691776,0.18380273724691776,1625,8841,8841
ANODA,OG451038,ANODA08555,0.8801054018445322,0.8801054018445322,668,759,759
ANODA,OG1197765,ANODA06617,0.9302649930264993,0.9302649930264993,667,717,717
ANODA,OG946387,ANODA07723,0.4146105466860184,0.4146105466860184,857,2067,2067
ANODA,OG961398,ANODA01312,0.770735524256651,0.770735524256651,985,1278,1278
ANODA,OG998211,ANODA01670,0.2648102648102648,0.2648102648102648,970,3663,3663
ANODA,OG792914,ANODA03658,0.24641148325358853,0.24641148325358853,309,1254,1254
ANODA,OG1221689,ANODA08570,0.9094437257438551,0.9094437257438551,2109,2319,2319
ANODA,OG792952,ANODA03657,0.9164319248826291,0.9164319248826291,976,1065,1065
