#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG968364,ANOST00614,0.9786407766990292,0.9786407766990292,1512,1545,1545
ANOST,OG961115,ANOST00130,0.96398891966759,0.96398891966759,1044,1083,1083
ANOST,OG1170587,ANOST00146,0.9381971661139584,0.9381971661139584,9336,9951,9951
ANOST,OG1231901,ANOST00272,0.7642886942010847,0.7642886942010847,1832,2397,2397
ANOST,OG1251511,ANOST00045,0.9952627045650302,0.9952627045650302,2311,2322,2322
ANOST,OG699681,ANOST00058,1.0,1.0,339,339,339
ANOST,OG457572,ANOST00450,0.6396396396396397,0.6396396396396397,284,444,444
ANOST,OG970502,ANOST00530,0.9868073878627969,0.9868073878627969,1122,1137,1137
ANOST,OG1212040,ANOST00490,0.8688811188811189,0.8688811188811189,4473,5148,5148
ANOST,OG960945,ANOST00390,0.9125159642401022,0.9125159642401022,1429,1566,1566
ANOST,OG978616,ANOST00322,0.8937007874015748,0.8937007874015748,2043,2286,2286
ANOST,OG457108,ANOST00570,0.7960992907801419,0.7960992907801419,449,564,564
ANOST,OG946387,ANOST00073,0.8674351585014409,0.8674351585014409,1806,2082,2082
ANOST,OG341995,ANOST00098,0.7350325235629895,0.7350325235629895,5537,7533,7533
ANOST,OG964929,ANOST00497,0.8228228228228228,0.8228228228228228,1644,1998,1998
ANOST,OG460076,ANOST00607,0.799792531120332,0.799792531120332,2313,2892,2892
ANOST,OG846448,ANOST00517,0.8245614035087719,0.8245614035087719,611,741,741
ANOST,OG848281,ANOST00012,0.6302573760200879,0.6302573760200879,1004,1593,1593
ANOST,OG352732,ANOST00335,0.8660714285714286,0.8660714285714286,1164,1344,1344
ANOST,OG1223886,ANOST00473,0.10569105691056911,0.10569105691056911,52,492,492
ANOST,OG1225085,ANOST00424,0.5982620320855615,0.5982620320855615,2685,4488,4488
ANOST,OG917347,ANOST00382,0.9833852544132918,0.9833852544132918,947,963,963
ANOST,OG792952,ANOST00138,0.9812206572769953,0.9812206572769953,1045,1065,1065
ANOST,OG986805,ANOST00600,0.8535530038275919,0.8535530038275919,5129,6009,6009
ANOST,OG814870,ANOST00423,0.6700445263319514,0.6700445263319514,4364,6513,6513
ANOST,OG1162063,ANOST00522,0.4768856447688564,0.4768856447688564,588,1233,1233
ANOST,OG1144131,ANOST00602,0.8495821727019499,0.8495821727019499,1830,2154,2154
ANOST,OG796653,ANOST00189,0.975780752071383,0.975780752071383,1531,1569,1569
ANOST,OG1240929,ANOST00157,0.7319688109161794,0.7319688109161794,751,1026,1026
ANOST,OG454890,ANOST00551,0.902020202020202,0.902020202020202,893,990,990
ANOST,OG828830,ANOST00552,0.9121756487025948,0.9121756487025948,457,501,501
ANOST,OG1242667,ANOST00533,0.801980198019802,0.801980198019802,1944,2424,2424
ANOST,OG961440,ANOST00539,0.9852631578947368,0.9852631578947368,1404,1425,1425
ANOST,OG1202789,ANOST00471,0.9145156813766306,0.9145156813766306,3295,3603,3603
ANOST,OG1146507,ANOST00365,0.4217406260749914,0.4217406260749914,1226,2907,2907
ANOST,OG951333,ANOST00004,0.9022222222222223,0.9022222222222223,406,450,450
ANOST,OG975279,ANOST00151,0.893387314439946,0.893387314439946,1324,1482,1482
ANOST,OG953187,ANOST00048,0.8592592592592593,0.8592592592592593,464,540,540
ANOST,OG925865,ANOST00286,0.911976911976912,0.911976911976912,632,693,693
ANOST,OG839253,ANOST00256,0.5405405405405406,0.5405405405405406,180,333,333
ANOST,OG419349,ANOST00176,0.6240270727580373,0.6240270727580373,1844,2955,2955
ANOST,OG348620,ANOST00261,0.9697640117994101,0.9697640117994101,1315,1356,1356
ANOST,OG362633,ANOST00370,0.24371859296482412,0.24371859296482412,291,1194,1194
ANOST,OG1139777,ANOST00117,0.5734463276836158,0.5734463276836158,203,354,354
ANOST,OG1150674,ANOST00260,0.7769784172661871,0.7769784172661871,648,834,834
ANOST,OG961299,ANOST00501,0.7560622511762577,0.7560622511762577,2089,2763,2763
ANOST,OG946885,ANOST00079,0.8497330282227308,0.8497330282227308,1114,1311,1311
ANOST,OG369576,ANOST00441,0.7090239410681399,0.7090239410681399,385,543,543
ANOST,OG964633,ANOST00017,0.9871345029239766,0.9871345029239766,1688,1710,1710
ANOST,OG664391,ANOST00352,0.8,0.8,1128,1410,1410
ANOST,OG960910,ANOST00006,0.9704823614110871,0.9704823614110871,1348,1389,1389
ANOST,OG988784,ANOST00369,0.8068627450980392,0.8068627450980392,4938,6120,6120
ANOST,OG420768,ANOST00161,0.8005759539236861,0.8005759539236861,2224,2778,2778
ANOST,OG719374,ANOST00503,0.7706093189964157,0.7706093189964157,3225,4185,4185
ANOST,OG971355,ANOST00110,1.0,1.0,1596,1596,1596
ANOST,OG1240325,ANOST00269,0.8885017421602788,0.8885017421602788,765,861,861
ANOST,OG958126,ANOST00036,0.8093093093093093,0.8093093093093093,539,666,666
ANOST,OG861720,ANOST00002,0.5278990781174188,0.5278990781174188,2176,4122,4122
ANOST,OG962019,ANOST00209,0.1955241460541814,0.1955241460541814,166,849,849
ANOST,OG1219581,ANOST00235,0.8899138991389914,0.8899138991389914,1447,1626,1626
ANOST,OG877291,ANOST00499,0.7637051039697542,0.7637051039697542,1212,1587,1587
ANOST,OG961377,ANOST00356,0.9068203650336215,0.9068203650336215,944,1041,1041
ANOST,OG961564,ANOST00601,0.7760577915376677,0.7760577915376677,1504,1938,1938
ANOST,OG456479,ANOST00489,0.8588888888888889,0.8588888888888889,1546,1800,1800
ANOST,OG362545,ANOST00615,0.40778923253150057,0.40778923253150057,356,873,873
ANOST,OG1222683,ANOST00125,0.7011695906432749,0.7011695906432749,1199,1710,1710
ANOST,OG1146505,ANOST00349,0.6928181108508977,0.6928181108508977,1775,2562,2562
ANOST,OG986274,ANOST00366,0.9780361757105943,0.9780361757105943,1514,1548,1548
ANOST,OG971123,ANOST00414,0.5661375661375662,0.5661375661375662,963,1701,1701
ANOST,OG1157040,ANOST00033,0.7075351213282248,0.7075351213282248,554,783,783
ANOST,OG977782,ANOST00291,0.44127436994769376,0.44127436994769376,928,2103,2103
ANOST,OG1251552,ANOST00206,0.8092592592592592,0.8092592592592592,437,540,540
ANOST,OG1197765,ANOST00410,0.9,0.9,621,690,690
ANOST,OG761976,ANOST00415,0.6534090909090909,0.6534090909090909,1035,1584,1584
ANOST,OG978865,ANOST00481,0.9164208456243854,0.9164208456243854,932,1017,1017
ANOST,OG1230391,ANOST00331,0.4491525423728814,0.4491525423728814,477,1062,1062
ANOST,OG722946,ANOST00353,0.8914334181509754,0.8914334181509754,1051,1179,1179
ANOST,OG411836,ANOST00028,0.9280057595392368,0.9280057595392368,1289,1389,1389
ANOST,OG962230,ANOST00328,0.7739837398373983,0.7739837398373983,476,615,615
ANOST,OG1216622,ANOST00470,0.8723404255319149,0.8723404255319149,1107,1269,1269
ANOST,OG456691,ANOST00218,0.3515439429928741,0.3515439429928741,444,1263,1263
ANOST,OG853434,ANOST00326,0.36363636363636365,0.36363636363636365,180,495,495
ANOST,OG1190683,ANOST00325,0.9958123953098827,0.9958123953098827,1189,1194,1194
ANOST,OG960979,ANOST00268,0.9308333333333333,0.9308333333333333,1117,1200,1200
ANOST,OG931899,ANOST00585,0.6467859509609013,0.6467859509609013,976,1509,1509
ANOST,OG1198490,ANOST00464,0.9611780455153949,0.9611780455153949,1436,1494,1494
ANOST,OG1214309,ANOST00081,0.9273182957393483,0.9273182957393483,370,399,399
ANOST,OG1168250,ANOST00469,0.6286549707602339,0.6286549707602339,215,342,342
ANOST,OG964344,ANOST00343,0.8990760483297797,0.8990760483297797,1265,1407,1407
ANOST,OG451043,ANOST00313,0.8955026455026455,0.8955026455026455,677,756,756
ANOST,OG456338,ANOST00458,0.663768115942029,0.663768115942029,3664,5520,5520
ANOST,OG708597,ANOST00396,0.3940435280641466,0.3940435280641466,1032,2619,2619
ANOST,OG420493,ANOST00159,0.8049095607235142,0.8049095607235142,623,774,774
ANOST,OG1198488,ANOST00216,0.997828447339848,0.997828447339848,1838,1842,1842
ANOST,OG968775,ANOST00395,0.9077809798270894,0.9077809798270894,1890,2082,2082
ANOST,OG963232,ANOST00545,0.7859154929577464,0.7859154929577464,837,1065,1065
ANOST,OG961322,ANOST00232,0.6228710462287105,0.6228710462287105,256,411,411
ANOST,OG698997,ANOST00233,0.9000789889415481,0.9000789889415481,2279,2532,2532
ANOST,OG916860,ANOST00509,0.9064906490649065,0.9064906490649065,824,909,909
ANOST,OG698904,ANOST00032,0.9542106948447006,0.9542106948447006,2980,3123,3123
ANOST,OG1189787,ANOST00208,0.5714285714285714,0.5714285714285714,336,588,588
ANOST,OG455346,ANOST00156,0.9171075837742504,0.9171075837742504,1040,1134,1134
ANOST,OG976835,ANOST00102,0.9625730994152046,0.9625730994152046,1646,1710,1710
ANOST,OG1138880,ANOST00591,0.5550660792951542,0.5550660792951542,378,681,681
ANOST,OG1191966,ANOST00456,0.8803287108371854,0.8803287108371854,1714,1947,1947
ANOST,OG1215812,ANOST00126,0.9815668202764977,0.9815668202764977,639,651,651
ANOST,OG673136,ANOST00116,0.8175355450236966,0.8175355450236966,1035,1266,1266
ANOST,OG1204971,ANOST00430,0.6553938356164384,0.6553938356164384,4593,7008,7008
ANOST,OG375937,ANOST00377,0.07769423558897243,0.07769423558897243,62,798,798
ANOST,OG456648,ANOST00195,0.538515406162465,0.538515406162465,769,1428,1428
ANOST,OG911937,ANOST00134,0.9393939393939394,0.9393939393939394,1798,1914,1914
ANOST,OG967514,ANOST00212,0.9361233480176211,0.9361233480176211,2550,2724,2724
ANOST,OG1139996,ANOST00223,0.8073541167066347,0.8073541167066347,1010,1251,1251
ANOST,OG1183200,ANOST00504,0.4627039627039627,0.4627039627039627,397,858,858
ANOST,OG949490,ANOST00312,0.8797814207650273,0.8797814207650273,644,732,732
ANOST,OG1231177,ANOST00129,0.946256038647343,0.946256038647343,1567,1656,1656
ANOST,OG1240968,ANOST00230,0.8630549285176825,0.8630549285176825,1147,1329,1329
ANOST,OG932104,ANOST00578,0.6182795698924731,0.6182795698924731,805,1302,1302
ANOST,OG736122,ANOST00177,0.7008547008547008,0.7008547008547008,656,936,936
ANOST,OG1181227,ANOST00162,0.9443535188216039,0.9443535188216039,1731,1833,1833
ANOST,OG814084,ANOST00057,0.9354226020892688,0.9354226020892688,985,1053,1053
ANOST,OG1226379,ANOST00147,0.8998470948012233,0.8998470948012233,1177,1308,1308
ANOST,OG1079985,ANOST00101,0.839332748024583,0.839332748024583,2868,3417,3417
ANOST,OG842298,ANOST00037,0.968040370058873,0.968040370058873,3453,3567,3567
ANOST,OG1221639,ANOST00016,0.5,0.5,189,378,378
ANOST,OG932017,ANOST00529,0.8811881188118812,0.8811881188118812,1335,1515,1515
ANOST,OG456351,ANOST00044,0.6658649027861295,0.6658649027861295,3322,4989,4989
ANOST,OG1241986,ANOST00031,0.8706697459584296,0.8706697459584296,1131,1299,1299
ANOST,OG1240328,ANOST00270,0.9684684684684685,0.9684684684684685,860,888,888
ANOST,OG926503,ANOST00307,1.0,1.0,486,486,486
ANOST,OG790850,ANOST00477,0.7944621938232161,0.7944621938232161,746,939,939
ANOST,OG1235653,ANOST00565,0.9598915989159892,0.9598915989159892,1771,1845,1845
ANOST,OG351572,ANOST00298,0.9116575591985429,0.9116575591985429,1001,1098,1098
ANOST,OG373241,ANOST00266,1.0,1.0,333,333,333
ANOST,OG456720,ANOST00347,0.7940074906367042,0.7940074906367042,636,801,801
ANOST,OG1229017,ANOST00425,0.8634788634788635,0.8634788634788635,2492,2886,2886
ANOST,OG451038,ANOST00315,0.9596774193548387,0.9596774193548387,714,744,744
ANOST,OG703365,ANOST00557,0.4585492227979275,0.4585492227979275,531,1158,1158
ANOST,OG964673,ANOST00265,0.9081632653061225,0.9081632653061225,534,588,588
ANOST,OG784747,ANOST00320,0.9725829725829725,0.9725829725829725,674,693,693
ANOST,OG1214658,ANOST00276,0.9216524216524217,0.9216524216524217,647,702,702
ANOST,OG896170,ANOST00127,0.9994252873563219,0.9994252873563219,1739,1740,1740
ANOST,OG949414,ANOST00379,0.7633587786259542,0.7633587786259542,600,786,786
ANOST,OG1208321,ANOST00225,0.9248764415156507,0.9248764415156507,8421,9105,9105
ANOST,OG344070,ANOST00277,0.4588307315580043,0.4588307315580043,1499,3267,3267
ANOST,OG1179948,ANOST00550,0.9822695035460993,0.9822695035460993,554,564,564
ANOST,OG1174608,ANOST00246,0.9864864864864865,0.9864864864864865,438,444,444
ANOST,OG899270,ANOST00194,0.8435251798561151,0.8435251798561151,1407,1668,1668
ANOST,OG1246006,ANOST00459,0.9372549019607843,0.9372549019607843,956,1020,1020
ANOST,OG1174245,ANOST00043,0.679639029892837,0.679639029892837,1205,1773,1773
ANOST,OG1221689,ANOST00123,0.9827288428324698,0.9827288428324698,2276,2316,2316
ANOST,OG961398,ANOST00021,0.7762128325508607,0.7762128325508607,992,1278,1278
ANOST,OG1224967,ANOST00112,0.947603121516165,0.947603121516165,1700,1794,1794
