#species,og,gene_id,coverage,std
ANOST,OG861720,ANOST00002,2.2795698924731185,0.6935275482407355
ANOST,OG676343,ANOST00003,nan,nan
ANOST,OG951333,ANOST00004,nan,nan
ANOST,OG960910,ANOST00006,4.161290322580645,2.011665104272992
ANOST,OG848281,ANOST00012,nan,nan
ANOST,OG1221639,ANOST00016,1.0204081632653061,0.14139190265868387
ANOST,OG964633,ANOST00017,4.632768361581921,3.1074268093910393
ANOST,OG718578,ANOST00019,2.6578947368421053,1.6236543544128714
ANOST,OG961398,ANOST00021,1.0,0.0
ANOST,OG411836,ANOST00028,3.3208955223880596,1.3827333209428427
ANOST,OG1241986,ANOST00031,1.794871794871795,0.40379527559034917
ANOST,OG698904,ANOST00032,3.820675105485232,2.5589082356697697
ANOST,OG1157040,ANOST00033,3.9705014749262535,1.956537347353928
ANOST,OG958126,ANOST00036,1.7364341085271318,0.44056658103512625
ANOST,OG842298,ANOST00037,3.4744525547445257,1.5736695111464167
ANOST,OG1174245,ANOST00043,nan,nan
ANOST,OG456351,ANOST00044,2.5614285714285714,1.3418316753221915
ANOST,OG1251511,ANOST00045,7.144523326572008,3.927061341109817
ANOST,OG961602,ANOST00046,3.614141414141414,1.1749068392907336
ANOST,OG953187,ANOST00048,8.491266375545852,4.11686940285161
ANOST,OG814084,ANOST00057,1.0,0.0
ANOST,OG699681,ANOST00058,1.633587786259542,0.48182393398654966
ANOST,OG946387,ANOST00073,3.3989834815756037,2.03985673151687
ANOST,OG946885,ANOST00079,1.325068870523416,0.4684005763660487
ANOST,OG1214309,ANOST00081,2.0,0.0
ANOST,OG341995,ANOST00098,3.5844444444444443,2.4654461444854205
ANOST,OG1079985,ANOST00101,2.579520697167756,1.2365595452022868
ANOST,OG976835,ANOST00102,6.835051546391752,4.249708738599134
ANOST,OG675570,ANOST00108,1.8958333333333333,0.30547663122114954
ANOST,OG971355,ANOST00110,3.0182481751824817,1.7309007392297264
ANOST,OG1223272,ANOST00111,3.783000643915003,2.1284978358801907
ANOST,OG1224967,ANOST00112,2.6020100502512564,1.2737772656599182
ANOST,OG457329,ANOST00113,nan,nan
ANOST,OG961439,ANOST00114,nan,nan
ANOST,OG998211,ANOST00115,1.7342908438061042,1.043639403461921
ANOST,OG673136,ANOST00116,1.0807174887892377,0.2724007632015684
ANOST,OG1139777,ANOST00117,nan,nan
ANOST,OG1221689,ANOST00123,3.533546325878594,1.630282285655158
ANOST,OG1222683,ANOST00125,5.6703096539162114,3.3560227912147296
ANOST,OG1215812,ANOST00126,2.070528967254408,1.0407626404930361
ANOST,OG896170,ANOST00127,7.585425597060625,3.5703354522232713
ANOST,OG1231177,ANOST00129,2.0251046025104604,1.085949389669898
ANOST,OG961115,ANOST00130,3.267100977198697,1.4551914476840242
ANOST,OG911937,ANOST00134,5.178224687933426,2.906923708568027
ANOST,OG924410,ANOST00137,4.609105824446267,3.303270922930453
ANOST,OG792952,ANOST00138,2.0,0.0
ANOST,OG792914,ANOST00139,nan,nan
ANOST,OG1244115,ANOST00140,1.0273224043715847,0.16302113541176283
ANOST,OG1170587,ANOST00146,4.5146166574738,4.55982254148177
ANOST,OG1226379,ANOST00147,1.1468354430379746,0.3539417970596527
ANOST,OG458150,ANOST00149,nan,nan
ANOST,OG975279,ANOST00151,1.1286173633440515,0.33477595073492916
ANOST,OG1174891,ANOST00152,1.3058252427184467,0.4607560782395061
ANOST,OG455346,ANOST00156,3.5384615384615383,2.767386108476552
ANOST,OG1240929,ANOST00157,nan,nan
ANOST,OG822311,ANOST00158,3.4499349804941484,1.9205014302251329
ANOST,OG420493,ANOST00159,nan,nan
ANOST,OG665560,ANOST00160,2.0454545454545454,0.9759504797083585
ANOST,OG420768,ANOST00161,2.2128174123337363,1.2540353897243455
ANOST,OG1181227,ANOST00162,5.691603053435115,2.8058564208895587
ANOST,OG342477,ANOST00163,4.351381215469614,3.0357466562201982
ANOST,OG966098,ANOST00164,1.680142687277051,0.777934689766974
ANOST,OG419349,ANOST00176,2.1661073825503356,1.2495337178159382
ANOST,OG736122,ANOST00177,nan,nan
ANOST,OG1251119,ANOST00180,1.656731757451182,0.8080710584772259
ANOST,OG796653,ANOST00189,3.1271929824561404,2.160765990224799
ANOST,OG793899,ANOST00192,1.1521739130434783,0.35918938351865887
ANOST,OG899270,ANOST00194,nan,nan
ANOST,OG456648,ANOST00195,nan,nan
ANOST,OG1251552,ANOST00206,3.9915611814345993,1.2695444585885056
ANOST,OG1189787,ANOST00208,5.677007299270073,2.580750715474312
ANOST,OG962019,ANOST00209,nan,nan
ANOST,OG967514,ANOST00212,2.0509803921568626,0.4169791216006224
ANOST,OG762076,ANOST00214,2.868632707774799,0.8261201716570498
ANOST,OG1198488,ANOST00216,10.49074074074074,5.302041367358397
ANOST,OG456691,ANOST00218,nan,nan
ANOST,OG1203459,ANOST00222,nan,nan
ANOST,OG1139996,ANOST00223,1.6067415730337078,0.48847337346705977
ANOST,OG1208321,ANOST00225,5.711769686706181,5.003257736459159
ANOST,OG1240968,ANOST00230,2.220408163265306,0.6580675456419643
ANOST,OG961322,ANOST00232,nan,nan
ANOST,OG698997,ANOST00233,10.562951082598236,6.925008335669398
ANOST,OG1219581,ANOST00235,1.0873362445414847,0.282327159392919
ANOST,OG823022,ANOST00242,2.0061443932411676,1.1331992030687683
ANOST,OG1174608,ANOST00246,1.6747967479674797,0.4684507411670873
ANOST,OG839253,ANOST00256,nan,nan
ANOST,OG1150674,ANOST00260,nan,nan
ANOST,OG348620,ANOST00261,3.9771863117870723,2.051179559129906
ANOST,OG674682,ANOST00263,nan,nan
ANOST,OG964673,ANOST00265,2.6780821917808217,1.4219492610522602
ANOST,OG373241,ANOST00266,1.2815533980582525,0.44975669211263963
ANOST,OG960979,ANOST00268,4.271627906976744,2.4865563468777343
ANOST,OG1240325,ANOST00269,nan,nan
ANOST,OG1240328,ANOST00270,nan,nan
ANOST,OG1231901,ANOST00272,1.12,0.3249615361854385
ANOST,OG1194738,ANOST00274,5.425515055467512,2.4300839033883355
ANOST,OG1214658,ANOST00276,nan,nan
ANOST,OG344070,ANOST00277,5.153692614770459,1.9263721131413762
ANOST,OG925865,ANOST00286,2.252173913043478,0.8831118719901263
ANOST,OG1202204,ANOST00290,2.147482014388489,0.6650397224304204
ANOST,OG977782,ANOST00291,nan,nan
ANOST,OG351572,ANOST00298,nan,nan
ANOST,OG1218157,ANOST00305,4.096703296703296,1.6319240009676266
ANOST,OG926503,ANOST00307,3.6098360655737705,1.0933037491381807
ANOST,OG817086,ANOST00310,3.9093959731543624,1.2856378711840712
