#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG419349,ANOSI16375,0.6775126536514823,0.6775126536514823,1874,2766,2766
ANOSI,OG1215812,ANOSI12428,0.9139784946236559,0.9139784946236559,595,651,651
ANOSI,OG988784,ANOSI08226,0.6380286380286381,0.6380286380286381,3832,6006,6006
ANOSI,OG762076,ANOSI09475,0.06330749354005168,0.06330749354005168,49,774,774
ANOSI,OG976835,ANOSI16315,0.9715942028985507,0.9715942028985507,1676,1725,1725
ANOSI,OG911937,ANOSI05566,0.8199895342752486,0.8199895342752486,1567,1911,1911
ANOSI,OG1221689,ANOSI12385,0.9015544041450777,0.9015544041450777,2088,2316,2316
ANOSI,OG924410,ANOSI05511,0.8275637900211279,0.8275637900211279,5092,6153,6153
ANOSI,OG1190683,ANOSI08201,0.6741854636591479,0.6741854636591479,807,1197,1197
ANOSI,OG1251119,ANOSI19256,0.8124098124098124,0.8124098124098124,1126,1386,1386
ANOSI,OG823032,ANOSI15205,0.5087319665907365,0.5087319665907365,670,1317,1317
ANOSI,OG420768,ANOSI13955,0.879758093205265,0.879758093205265,2473,2811,2811
ANOSI,OG1216622,ANOSI15784,0.8949880668257757,0.8949880668257757,1125,1257,1257
ANOSI,OG1152239,ANOSI16991,0.5499474237644585,0.5499474237644585,523,951,951
ANOSI,OG932104,ANOSI16749,0.5743287491814014,0.5743287491814014,877,1527,1527
ANOSI,OG698997,ANOSI11073,0.7582314205079962,0.7582314205079962,2418,3189,3189
ANOSI,OG1222683,ANOSI12376,0.8297619047619048,0.8297619047619048,1394,1680,1680
ANOSI,OG454890,ANOSI16889,0.8971861471861472,0.8971861471861472,829,924,924
ANOSI,OG671266,ANOSI08178,0.9871382636655949,0.9871382636655949,13815,13995,13995
ANOSI,OG1244115,ANOSI05521,0.8994252873563219,0.8994252873563219,313,348,348
ANOSI,OG456691,ANOSI18513,0.4287118977384464,0.4287118977384464,436,1017,1017
ANOSI,OG960979,ANOSI13351,0.9966666666666667,0.9966666666666667,1196,1200,1200
ANOSI,OG925865,ANOSI19077,0.8695652173913043,0.8695652173913043,480,552,552
ANOSI,OG949490,ANOSI08215,0.8835341365461847,0.8835341365461847,660,747,747
ANOSI,OG1144131,ANOSI18952,0.7384764677341097,0.7384764677341097,1522,2061,2061
ANOSI,OG792914,ANOSI05550,0.6386831275720165,0.6386831275720165,776,1215,1215
ANOSI,OG456648,ANOSI18213,0.5835095137420718,0.5835095137420718,828,1419,1419
ANOSI,OG968775,ANOSI11909,0.8220451527224436,0.8220451527224436,1857,2259,2259
ANOSI,OG961439,ANOSI13690,0.6005221932114883,0.6005221932114883,690,1149,1149
ANOSI,OG823037,ANOSI08294,0.7564959168522642,0.7564959168522642,1019,1347,1347
ANOSI,OG848281,ANOSI16815,0.8786764705882353,0.8786764705882353,1434,1632,1632
ANOSI,OG951333,ANOSI11872,0.7969924812030075,0.7969924812030075,318,399,399
ANOSI,OG341995,ANOSI16311,0.525068870523416,0.525068870523416,3812,7260,7260
ANOSI,OG1189787,ANOSI09481,0.8129251700680272,0.8129251700680272,478,588,588
ANOSI,OG1198490,ANOSI18566,0.9946452476572959,0.9946452476572959,1486,1494,1494
ANOSI,OG960945,ANOSI11923,0.6360153256704981,0.6360153256704981,996,1566,1566
ANOSI,OG961564,ANOSI18947,0.5272919978802332,0.5272919978802332,995,1887,1887
ANOSI,OG722946,ANOSI08175,0.8514680483592401,0.8514680483592401,986,1158,1158
ANOSI,OG1242667,ANOSI15210,0.721226602947033,0.721226602947033,1811,2511,2511
ANOSI,OG1146505,ANOSI08230,0.6900311526479751,0.6900311526479751,1772,2568,2568
ANOSI,OG986805,ANOSI17797,0.8745039682539683,0.8745039682539683,5289,6048,6048
ANOSI,OG451043,ANOSI08181,0.8848728246318608,0.8848728246318608,661,747,747
