#species,og,gene_id,coverage,std
ANODA,OG861720,ANODA08506,2.9711627906976745,2.744314384070358
ANODA,OG676343,ANODA08502,2.507853403141361,0.9914245393638471
ANODA,OG951333,ANODA08505,3.2,1.6661332479726823
ANODA,OG960910,ANODA08504,16.896296296296295,10.136036974174775
ANODA,OG848281,ANODA03007,4.707403055229142,8.586201002914988
ANODA,OG1221639,ANODA05486,2.0,0.0
ANODA,OG964633,ANODA05487,11.7140625,9.385133975926703
ANODA,OG718578,ANODA00549,3.9168975069252077,3.063278585616443
ANODA,OG961398,ANODA01312,4.162735849056604,2.863964145784211
ANODA,OG411836,ANODA03579,3.125,2.2219000402206204
ANODA,OG1241986,ANODA03573,3.636904761904762,1.805279719031258
ANODA,OG698904,ANODA03572,7.851727042965459,4.887694429071994
ANODA,OG1157040,ANODA03571,4.074074074074074,1.8988481094234946
ANODA,OG958126,ANODA01492,2.9527027027027026,1.4902133869487768
ANODA,OG842298,ANODA01152,4.8170988086895585,3.73183644013039
ANODA,OG1174245,ANODA09078,4.389140271493213,3.757065101231817
ANODA,OG456351,ANODA09077,10.061558611656844,19.656850138340285
ANODA,OG1251511,ANODA09076,6.609442060085837,4.2771987968395
ANODA,OG961602,ANODA09075,6.116883116883117,3.2665457322637277
ANODA,OG953187,ANODA09070,12.51123595505618,5.986162662026094
ANODA,OG814084,ANODA09331,3.4157303370786516,1.6544729210183624
ANODA,OG699681,ANODA09332,8.415162454873647,5.774103871175567
ANODA,OG946387,ANODA07723,3.375684556407448,2.6895074605273863
ANODA,OG946885,ANODA07717,2.866943866943867,1.653751740151738
ANODA,OG1214309,ANODA07715,2.151898734177215,0.5972215752954658
ANODA,OG341995,ANODA06295,5.619612380676887,8.813642721790004
ANODA,OG1079985,ANODA06296,8.163095238095238,20.998714698545946
ANODA,OG976835,ANODA06297,10.223820943245403,9.075283769024656
ANODA,OG675570,ANODA03502,4.525525525525525,6.026725522173606
ANODA,OG971355,ANODA03504,6.431568431568431,4.041686184051414
ANODA,OG1223272,ANODA01666,4.722335369993211,2.811748599643086
ANODA,OG1224967,ANODA01667,4.284116331096197,3.5022898313146094
ANODA,OG457329,ANODA01668,1.898989898989899,0.30134209879144036
ANODA,OG961439,ANODA01669,4.2329896907216495,2.914122090200537
ANODA,OG998211,ANODA01670,3.7532154340836015,2.9689222467565406
ANODA,OG673136,ANODA03220,3.4176470588235293,2.4221369500596555
ANODA,OG1139777,ANODA01246,2.0,0.0
ANODA,OG1221689,ANODA08570,6.104870775347912,3.8053321558443463
ANODA,OG1222683,ANODA08571,9.664089347079038,6.324803824206526
ANODA,OG1215812,ANODA08572,6.6633416458852865,3.5246022121088045
ANODA,OG896170,ANODA03515,11.391629297458893,5.227327457971581
ANODA,OG1231177,ANODA03650,7.458132045088567,4.526387374287933
ANODA,OG961115,ANODA03651,4.098333333333334,2.524941693496219
ANODA,OG911937,ANODA03653,9.41288191577209,6.2082999665031116
ANODA,OG924410,ANODA03655,4.96075197889182,4.4536727560117395
ANODA,OG792952,ANODA03657,6.933139534883721,4.486887293567912
ANODA,OG792914,ANODA03658,3.109717868338558,2.5158805176987027
ANODA,OG1244115,ANODA03659,4.145299145299146,2.2121071567411135
ANODA,OG1170587,ANODA03456,6.957613606165293,5.086959441226073
ANODA,OG1226379,ANODA02643,3.220272904483431,2.6306445529051947
ANODA,OG458150,ANODA02645,2.909090909090909,1.632318231815523
ANODA,OG975279,ANODA02647,3.9961977186311786,2.214993439168342
ANODA,OG1174891,ANODA02648,2.4444444444444446,0.7617394000445603
ANODA,OG455346,ANODA06172,7.536036036036036,4.853118117062562
ANODA,OG1240929,ANODA06171,2.7095435684647304,1.6989965915875962
ANODA,OG822311,ANODA06170,6.8721126760563385,5.845714432534377
ANODA,OG420493,ANODA06168,2.786324786324786,1.4695139020060535
ANODA,OG665560,ANODA06166,3.37,2.9298824398107017
ANODA,OG420768,ANODA06165,6.763842561707805,5.130218930553872
ANODA,OG1181227,ANODA06163,5.106714628297362,4.010702468429393
ANODA,OG342477,ANODA06162,93.58369098712447,301.2462516855885
ANODA,OG966098,ANODA06161,5.99746192893401,4.144287690514326
ANODA,OG419349,ANODA03242,3.7964946445959105,2.9820082665173713
ANODA,OG736122,ANODA03241,2.4327485380116958,0.9427364926964509
ANODA,OG1251119,ANODA03237,5.702325581395349,4.020846166417805
ANODA,OG796653,ANODA01604,13.288740920096853,7.231608993345497
ANODA,OG793899,ANODA01385,2.196319018404908,1.0731462584812417
ANODA,OG899270,ANODA01952,4.658490566037736,3.294416887291208
ANODA,OG456648,ANODA01951,6.125461254612546,5.093855033723218
