#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG375937,ANOSI09099,0.0641025641025641,0.0641025641025641,50,780,780
ANOSI,OG961011,ANOSI08989,0.7260619150467963,0.7260619150467963,2017,2778,2778
ANOSI,OG1219581,ANOSI11081,0.3471971066907776,0.3471971066907776,576,1659,1659
ANOSI,OG1244115,ANOSI05521,0.47701149425287354,0.47701149425287354,166,348,348
ANOSI,OG953187,ANOSI10125,0.8240740740740741,0.8240740740740741,445,540,540
ANOSI,OG1214658,ANOSI13358,0.4329710144927536,0.4329710144927536,239,552,552
ANOSI,OG1150857,ANOSI15844,0.8068880688806888,0.8068880688806888,1312,1626,1626
ANOSI,OG457572,ANOSI19201,0.6073059360730594,0.6073059360730594,266,438,438
ANOSI,OG1224967,ANOSI13721,0.8378076062639821,0.8378076062639821,1498,1788,1788
ANOSI,OG1251511,ANOSI10202,0.9297110823630875,0.9297110823630875,2156,2319,2319
ANOSI,OG1251119,ANOSI19256,0.727994227994228,0.727994227994228,1009,1386,1386
ANOSI,OG926503,ANOSI08194,0.9423868312757202,0.9423868312757202,458,486,486
ANOSI,OG1229017,ANOSI12483,0.7102417302798982,0.7102417302798982,2233,3144,3144
ANOSI,OG1081004,ANOSI11947,0.6666666666666666,0.6666666666666666,1298,1947,1947
ANOSI,OG761976,ANOSI15820,0.5716096324461344,0.5716096324461344,902,1578,1578
ANOSI,OG968364,ANOSI14862,0.7501080847384349,0.7501080847384349,1735,2313,2313
ANOSI,OG1222683,ANOSI12376,0.6464285714285715,0.6464285714285715,1086,1680,1680
ANOSI,OG664391,ANOSI08311,0.7960954446854663,0.7960954446854663,1101,1383,1383
ANOSI,OG451043,ANOSI08181,0.7884872824631861,0.7884872824631861,589,747,747
ANOSI,OG1079985,ANOSI16316,0.5191502094554159,0.5191502094554159,1735,3342,3342
ANOSI,OG1214309,ANOSI17769,0.7727272727272727,0.7727272727272727,306,396,396
ANOSI,OG676343,ANOSI11914,0.0506108202443281,0.0506108202443281,116,2292,2292
ANOSI,OG848281,ANOSI16815,0.3118872549019608,0.3118872549019608,509,1632,1632
ANOSI,OG1231901,ANOSI13321,0.2146683147919242,0.2146683147919242,521,2427,2427
ANOSI,OG998211,ANOSI13712,0.4133003572410003,0.4133003572410003,1504,3639,3639
ANOSI,OG696447,ANOSI18946,0.32673267326732675,0.32673267326732675,297,909,909
ANOSI,OG1251552,ANOSI09497,0.8630952380952381,0.8630952380952381,435,504,504
ANOSI,OG1223886,ANOSI18645,0.10699588477366255,0.10699588477366255,52,486,486
ANOSI,OG457329,ANOSI13708,0.29347826086956524,0.29347826086956524,243,828,828
ANOSI,OG986274,ANOSI08263,0.7319902319902319,0.7319902319902319,1199,1638,1638
ANOSI,OG719374,ANOSI14969,0.5524691358024691,0.5524691358024691,2327,4212,4212
ANOSI,OG362545,ANOSI14857,0.3274021352313167,0.3274021352313167,276,843,843
ANOSI,OG971123,ANOSI15824,0.25730027548209367,0.25730027548209367,467,1815,1815
ANOSI,OG975279,ANOSI13957,0.4263420724094881,0.4263420724094881,683,1602,1602
ANOSI,OG342477,ANOSI13940,0.6686491079014444,0.6686491079014444,2361,3531,3531
ANOSI,OG842298,ANOSI13293,0.58934094694266,0.58934094694266,2477,4203,4203
ANOSI,OG457108,ANOSI16884,0.7463768115942029,0.7463768115942029,412,552,552
ANOSI,OG964344,ANOSI08292,0.586864406779661,0.586864406779661,831,1416,1416
ANOSI,OG455346,ANOSI13964,0.9439927732610659,0.9439927732610659,1045,1107,1107
ANOSI,OG1218157,ANOSI08193,0.7747035573122529,0.7747035573122529,588,759,759
ANOSI,OG411836,ANOSI13282,0.5795107033639144,0.5795107033639144,758,1308,1308
ANOSI,OG1212040,ANOSI13772,0.7697215777262181,0.7697215777262181,3981,5172,5172
ANOSI,OG1179969,ANOSI16583,0.39900990099009903,0.39900990099009903,1209,3030,3030
ANOSI,OG1139996,ANOSI13881,0.05904334828101644,0.05904334828101644,79,1338,1338
ANOSI,OG949414,ANOSI16805,0.5732758620689655,0.5732758620689655,399,696,696
ANOSI,OG699681,ANOSI08225,0.9351032448377581,0.9351032448377581,317,339,339
ANOSI,OG792952,ANOSI05501,0.6479400749063671,0.6479400749063671,692,1068,1068
ANOSI,OG966098,ANOSI13976,0.8543071161048689,0.8543071161048689,2281,2670,2670
ANOSI,OG1144131,ANOSI18952,0.25084910237748664,0.25084910237748664,517,2061,2061
ANOSI,OG961602,ANOSI10095,0.5573192239858906,0.5573192239858906,316,567,567
ANOSI,OG762076,ANOSI09475,0.4186046511627907,0.4186046511627907,324,774,774
ANOSI,OG964633,ANOSI13303,0.6956264775413712,0.6956264775413712,1177,1692,1692
ANOSI,OG665560,ANOSI13979,0.5193236714975845,0.5193236714975845,1720,3312,3312
ANOSI,OG1241986,ANOSI13275,0.32642089093702,0.32642089093702,425,1302,1302
ANOSI,OG1240328,ANOSI13371,0.30282485875706217,0.30282485875706217,268,885,885
ANOSI,OG784747,ANOSI08261,0.9049531459170014,0.9049531459170014,676,747,747
ANOSI,OG456338,ANOSI18154,0.21885521885521886,0.21885521885521886,1105,5049,5049
ANOSI,OG961440,ANOSI15201,0.6933895921237694,0.6933895921237694,986,1422,1422
ANOSI,OG1198488,ANOSI18498,0.987513572204126,0.987513572204126,1819,1842,1842
ANOSI,OG1181227,ANOSI13961,0.6234335839598998,0.6234335839598998,995,1596,1596
ANOSI,OG708597,ANOSI11937,0.2566625666256663,0.2566625666256663,626,2439,2439
ANOSI,OG917347,ANOSI11939,0.8511530398322851,0.8511530398322851,812,954,954
ANOSI,OG988784,ANOSI08226,0.4302364302364302,0.4302364302364302,2584,6006,6006
ANOSI,OG964929,ANOSI08966,0.7464788732394366,0.7464788732394366,1590,2130,2130
ANOSI,OG796653,ANOSI16455,0.9305361305361305,0.9305361305361305,1996,2145,2145
ANOSI,OG1218490,ANOSI09061,0.2915766738660907,0.2915766738660907,405,1389,1389
ANOSI,OG970502,ANOSI15209,0.8092428711897739,0.8092428711897739,823,1017,1017
ANOSI,OG931899,ANOSI11633,0.22979291917167669,0.22979291917167669,344,1497,1497
