#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG1221689,ANODA08570,0.7999137559292798,0.7999137559292798,1855,2319,2319
ANODA,OG1079985,ANODA06296,0.3630179344465059,0.3630179344465059,1174,3234,3234
ANODA,OG1246006,ANODA06751,0.9516765285996055,0.9516765285996055,965,1014,1014
ANODA,OG1235653,ANODA08957,0.6394666666666666,0.6394666666666666,1199,1875,1875
ANODA,OG762076,ANODA10391,0.34227330779054915,0.34227330779054915,268,783,783
ANODA,OG961013,ANODA08956,0.906832298136646,0.906832298136646,1752,1932,1932
ANODA,OG792952,ANODA03657,0.12018779342723004,0.12018779342723004,128,1065,1065
ANODA,OG420768,ANODA06165,0.7037037037037037,0.7037037037037037,1805,2565,2565
ANODA,OG420493,ANODA06168,0.12005108556832694,0.12005108556832694,94,783,783
ANODA,OG351572,ANODA06536,0.25462962962962965,0.25462962962962965,275,1080,1080
ANODA,OG949414,ANODA06508,0.41594202898550725,0.41594202898550725,287,690,690
ANODA,OG961602,ANODA09075,0.8765432098765432,0.8765432098765432,497,567,567
ANODA,OG823022,ANODA00759,0.3181126331811263,0.3181126331811263,418,1314,1314
ANODA,OG1174608,ANODA04336,0.9977477477477478,0.9977477477477478,443,444,444
ANODA,OG362545,ANODA06501,0.2433679354094579,0.2433679354094579,211,867,867
ANODA,OG1240968,ANODA05983,0.7078565980167811,0.7078565980167811,928,1311,1311
ANODA,OG456351,ANODA09077,0.10373850068506557,0.10373850068506557,530,5109,5109
ANODA,OG961564,ANODA04794,0.28100470957613816,0.28100470957613816,537,1911,1911
ANODA,OG1190683,ANODA08567,0.6749792186201163,0.6749792186201163,812,1203,1203
ANODA,OG839253,ANODA06918,0.28869047619047616,0.28869047619047616,97,336,336
ANODA,OG953548,ANODA07452,0.9620512820512821,0.9620512820512821,1876,1950,1950
ANODA,OG960979,ANODA00582,0.9991666666666666,0.9991666666666666,1199,1200,1200
ANODA,OG344070,ANODA02026,0.27168525402726146,0.27168525402726146,877,3228,3228
ANODA,OG1225085,ANODA05595,0.16758241758241757,0.16758241758241757,732,4368,4368
ANODA,OG1212040,ANODA10250,0.6373394671267012,0.6373394671267012,3325,5217,5217
ANODA,OG926503,ANODA08545,0.668724279835391,0.668724279835391,325,486,486
ANODA,OG822311,ANODA06170,0.6280623608017817,0.6280623608017817,1692,2694,2694
ANODA,OG1189787,ANODA07757,0.5561224489795918,0.5561224489795918,327,588,588
ANODA,OG348620,ANODA06924,0.5540838852097131,0.5540838852097131,753,1359,1359
ANODA,OG352732,ANODA04288,0.09078590785907859,0.09078590785907859,134,1476,1476
ANODA,OG1181227,ANODA06163,0.5729847494553377,0.5729847494553377,1052,1836,1836
ANODA,OG899270,ANODA01952,0.30897207367795604,0.30897207367795604,520,1683,1683
ANODA,OG976835,ANODA06297,0.756678281068525,0.756678281068525,1303,1722,1722
ANODA,OG975279,ANODA02647,0.07442151344590368,0.07442151344590368,119,1599,1599
ANODA,OG814870,ANODA05594,0.036803966437833714,0.036803966437833714,193,5244,5244
ANODA,OG456479,ANODA10251,0.5352673492605233,0.5352673492605233,941,1758,1758
ANODA,OG1218157,ANODA08542,0.9354413702239789,0.9354413702239789,710,759,759
ANODA,OG722946,ANODA07079,0.4725085910652921,0.4725085910652921,550,1164,1164
ANODA,OG946387,ANODA07723,0.4310595065312046,0.4310595065312046,891,2067,2067
ANODA,OG696447,ANODA04792,0.7486338797814208,0.7486338797814208,685,915,915
ANODA,OG342477,ANODA06162,0.3832917013599778,0.3832917013599778,1381,3603,3603
