#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG1079985,ANOGA04086,1.0,1.0,3429,3429,3429
ANOGA,OG1081004,ANOGA04408,1.0,1.0,2151,2151,2151
ANOGA,OG1138880,ANOGA05943,1.0,1.0,681,681,681
ANOGA,OG1139777,ANOGA04100,1.0,1.0,354,354,354
ANOGA,OG1139996,ANOGA05695,1.0,1.0,1329,1329,1329
ANOGA,OG1144131,ANOGA06520,1.0,1.0,2157,2157,2157
ANOGA,OG1146505,ANOGA04324,0.9996124031007751,0.9996124031007751,2579,2580,2580
ANOGA,OG1146507,ANOGA05711,1.0,1.0,2910,2910,2910
ANOGA,OG1150674,ANOGA05653,0.9987515605493134,0.9987515605493134,800,801,801
ANOGA,OG1150857,ANOGA04505,0.9538266919671095,0.9538266919671095,1508,1581,1581
ANOGA,OG1152239,ANOGA06528,1.0,1.0,894,894,894
ANOGA,OG1157040,ANOGA04042,1.0,1.0,783,783,783
ANOGA,OG1162063,ANOGA04462,1.0,1.0,1458,1458,1458
ANOSI,OG1168250,ANOSI15785,0.9064327485380117,0.9064327485380117,310,342,342
ANOGA,OG1168476,ANOGA04432,1.0,1.0,1269,1269,1269
ANOGA,OG1170587,ANOGA04139,0.9974282888229475,0.9974282888229475,10084,10110,10110
ANOGA,OG1174245,ANOGA04055,0.9972129319955407,0.9972129319955407,1789,1794,1794
ANOGA,OG1174608,ANOGA05668,1.0,1.0,444,444,444
ANOGA,OG1174891,ANOGA04632,1.0,1.0,897,897,897
ANOGA,OG1176412,ANOGA04492,0.9940652818991098,0.9940652818991098,3015,3033,3033
ANOGA,OG1179948,ANOGA04501,0.9929078014184397,0.9929078014184397,560,564,564
ANOGA,OG1179969,ANOGA05488,0.9996728819103696,0.9996728819103696,3056,3057,3057
ANOGA,OG1181227,ANOGA04642,0.9727223131478451,0.9727223131478451,1783,1833,1833
ANOGA,OG1183200,ANOGA05481,1.0,1.0,879,879,879
ANOGA,OG1189787,ANOGA04698,1.0,1.0,588,588,588
ANOGA,OG1190683,ANOGA04295,0.9958123953098827,0.9958123953098827,1189,1194,1194
ANOGA,OG1191966,ANOGA05362,1.0,1.0,1962,1962,1962
ANOGA,OG1192905,ANOGA05458,1.0,1.0,1017,1017,1017
ANODA,OG1194738,ANODA04923,1.0,1.0,1452,1452,1452
ANOGA,OG1197765,ANOGA04431,0.9675141242937854,0.9675141242937854,685,708,708
ANOSI,OG1198488,ANOSI18498,1.0,1.0,1842,1842,1842
ANODA,OG1198490,ANODA04841,0.999330655957162,0.999330655957162,1493,1494,1494
ANOGA,OG1202204,ANOGA05611,1.0,1.0,723,723,723
ANOGA,OG1202789,ANOGA05383,0.9974795211090107,0.9974795211090107,3166,3174,3174
ANOGA,OG1203459,ANOGA05696,1.0,1.0,984,984,984
