#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG960979,ANOSI13351,1.0,1.0,1200,1200,1200
ANOSI,OG967514,ANOSI18502,1.0,1.0,2766,2766,2766
ANOSI,OG814870,ANOSI12461,0.999031007751938,0.999031007751938,5155,5160,5160
ANOSI,OG1150857,ANOSI15844,0.9772447724477245,0.9772447724477245,1589,1626,1626
ANOSI,OG1251511,ANOSI10202,1.0,1.0,2319,2319,2319
ANOSI,OG1189787,ANOSI09481,1.0,1.0,588,588,588
ANOSI,OG1223272,ANOSI13699,1.0,1.0,2388,2388,2388
ANOSI,OG708597,ANOSI11937,1.0,1.0,2439,2439,2439
ANOSI,OG1225085,ANOSI12439,1.0,1.0,4338,4338,4338
ANOSI,OG1174608,ANOSI10178,1.0,1.0,444,444,444
ANOSI,OG362545,ANOSI14857,1.0,1.0,843,843,843
ANOSI,OG1150674,ANOSI16840,1.0,1.0,801,801,801
ANOSI,OG964344,ANOSI08292,1.0,1.0,1416,1416,1416
ANOSI,OG949414,ANOSI16805,1.0,1.0,696,696,696
ANOSI,OG722946,ANOSI08175,1.0,1.0,1158,1158,1158
ANOSI,OG1198488,ANOSI18498,1.0,1.0,1842,1842,1842
ANOSI,OG1226379,ANOSI13958,1.0,1.0,1326,1326,1326
ANOSI,OG1251119,ANOSI19256,1.0,1.0,1386,1386,1386
ANOSI,OG718578,ANOSI13311,1.0,1.0,1683,1683,1683
ANOSI,OG823032,ANOSI15205,1.0,1.0,1317,1317,1317
ANOSI,OG1138880,ANOSI11144,1.0,1.0,675,675,675
ANOSI,OG896170,ANOSI12371,0.9980392156862745,0.9980392156862745,1527,1530,1530
ANOSI,OG1176412,ANOSI15222,1.0,1.0,2829,2829,2829
ANOSI,OG848281,ANOSI16815,1.0,1.0,1632,1632,1632
ANOSI,OG762076,ANOSI09475,1.0,1.0,774,774,774
ANOSI,OG736122,ANOSI16384,1.0,1.0,936,936,936
ANOSI,OG456648,ANOSI18213,1.0,1.0,1419,1419,1419
ANOSI,OG1144131,ANOSI18952,0.9893255701115963,0.9893255701115963,2039,2061,2061
