#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG1204971,ANOGA05312,0.021261415525114156,0.021261415525114156,149,7008,7008
ANOGA,OG961013,ANOGA04514,0.9458128078817734,0.9458128078817734,1728,1827,1827
ANOGA,OG1170587,ANOGA04139,0.27804154302670625,0.27804154302670625,2811,10110,10110
ANOGA,OG1168250,ANOGA05380,0.41812865497076024,0.41812865497076024,143,342,342
ANOGA,OG793899,ANOGA04677,0.40630182421227196,0.40630182421227196,245,603,603
ANOGA,OG665560,ANOGA04640,0.35101226119190193,0.35101226119190193,1231,3507,3507
ANOGA,OG671266,ANOGA04325,0.7925053533190578,0.7925053533190578,11103,14010,14010
ANOGA,OG664391,ANOGA04327,0.7386609071274298,0.7386609071274298,1026,1389,1389
ANOGA,OG1079985,ANOGA04086,0.231554389034704,0.231554389034704,794,3429,3429
ANOGA,OG1223272,ANOGA04094,0.8374619730551934,0.8374619730551934,1927,2301,2301
ANOGA,OG1194738,ANOGA05637,0.918732782369146,0.918732782369146,1334,1452,1452
ANOGA,OG341995,ANOGA04081,0.08541089566020314,0.08541089566020314,740,8664,8664
ANOGA,OG988784,ANOGA04273,0.23333333333333334,0.23333333333333334,1484,6360,6360
ANOGA,OG661167,ANOGA04541,0.3900462962962963,0.3900462962962963,337,864,864
ANOGA,OG1190683,ANOGA04295,0.8056951423785594,0.8056951423785594,962,1194,1194
ANOGA,OG348620,ANOGA05652,0.6219931271477663,0.6219931271477663,905,1455,1455
ANOGA,OG1236745,ANOGA04294,0.3114942528735632,0.3114942528735632,271,870,870
ANOGA,OG792952,ANOGA04134,0.03192488262910798,0.03192488262910798,34,1065,1065
ANOGA,OG946387,ANOGA05414,0.26436781609195403,0.26436781609195403,552,2088,2088
ANOGA,OG917347,ANOGA05769,0.8431983385254413,0.8431983385254413,812,963,963
ANOGA,OG1222683,ANOGA04115,0.7153153153153153,0.7153153153153153,1191,1665,1665
ANOGA,OG719374,ANOGA05480,0.39315625747786553,0.39315625747786553,1643,4179,4179
ANOGA,OG673136,ANOGA04099,0.3380281690140845,0.3380281690140845,432,1278,1278
ANOGA,OG964344,ANOGA04312,0.42836879432624114,0.42836879432624114,604,1410,1410
ANOGA,OG964929,ANOGA05473,0.22811918063314712,0.22811918063314712,490,2148,2148
ANOGA,OG1197765,ANOGA04431,0.7740112994350282,0.7740112994350282,548,708,708
ANOGA,OG925865,ANOGA05617,0.625,0.625,345,552,552
ANOGA,OG456351,ANOGA04056,0.07568339453284374,0.07568339453284374,371,4902,4902
ANOGA,OG411836,ANOGA05239,0.10856269113149847,0.10856269113149847,142,1308,1308
ANOGA,OG454890,ANOGA04502,0.05905905905905906,0.05905905905905906,59,999,999
ANOGA,OG696447,ANOGA06521,0.15367965367965367,0.15367965367965367,142,924,924
ANOGA,OG1231177,ANOGA04120,0.9021675454012889,0.9021675454012889,1540,1707,1707
ANOGA,OG1219581,ANOGA05679,0.12932604735883424,0.12932604735883424,213,1647,1647
ANOGA,OG1150857,ANOGA04505,0.08602150537634409,0.08602150537634409,136,1581,1581
ANOGA,OG674682,ANOGA05648,0.43407960199004975,0.43407960199004975,349,804,804
ANOGA,OG1168476,ANOGA04432,0.42789598108747046,0.42789598108747046,543,1269,1269
ANOGA,OG1176412,ANOGA04492,0.03989449390042862,0.03989449390042862,121,3033,3033
ANOGA,OG344070,ANOGA05629,0.18642681929681112,0.18642681929681112,684,3669,3669
ANOGA,OG1241986,ANOGA04040,0.1417624521072797,0.1417624521072797,185,1305,1305
ANOGA,OG961377,ANOGA04332,0.5437079731027857,0.5437079731027857,566,1041,1041
ANOGA,OG986274,ANOGA04306,0.2062305295950156,0.2062305295950156,331,1605,1605
ANOGA,OG1146505,ANOGA04324,0.32248062015503876,0.32248062015503876,832,2580,2580
ANOGA,OG1251119,ANOGA04663,0.7624521072796935,0.7624521072796935,995,1305,1305
ANOGA,OG911937,ANOGA04125,0.5503634475597092,0.5503634475597092,1060,1926,1926
ANOGA,OG1212040,ANOGA05460,0.5420113991542563,0.5420113991542563,2948,5439,5439
ANOGA,OG1235653,ANOGA04515,0.38293333333333335,0.38293333333333335,718,1875,1875
ANOGA,OG961299,ANOGA05478,0.2782037239868565,0.2782037239868565,762,2739,2739
ANOGA,OG961322,ANOGA05683,0.5352798053527981,0.5352798053527981,220,411,411
ANOGA,OG342477,ANOGA04643,0.4274385408406027,0.4274385408406027,1617,3783,3783
ANOGA,OG456338,ANOGA05365,0.0737913486005089,0.0737913486005089,406,5502,5502
ANOGA,OG460076,ANOGA06525,0.42260007084661705,0.42260007084661705,1193,2823,2823
ANOGA,OG1240929,ANOGA04635,0.20653218059558118,0.20653218059558118,215,1041,1041
ANOGA,OG932104,ANOGA04539,0.07138179436804191,0.07138179436804191,109,1527,1527
