#species,og,gene_id,coverage,std
ANOST,OG861720,ANOST00002,5.940993788819876,9.56895194096034
ANOST,OG676343,ANOST00003,1.0,0.0
ANOST,OG951333,ANOST00004,nan,nan
ANOST,OG960910,ANOST00006,4.735500878734622,2.77532843961116
ANOST,OG848281,ANOST00012,2.216,2.0142849848022997
ANOST,OG1221639,ANOST00016,1.0,0.0
ANOST,OG964633,ANOST00017,1.4097560975609755,0.9940812348531736
ANOST,OG718578,ANOST00019,nan,nan
ANOST,OG961398,ANOST00021,1.0394736842105263,0.19471906035458872
ANOST,OG411836,ANOST00028,nan,nan
ANOST,OG1241986,ANOST00031,1.2669683257918551,0.4423756761122259
ANOST,OG698904,ANOST00032,2.7633410672853826,2.343901990332709
ANOST,OG1157040,ANOST00033,nan,nan
ANOST,OG958126,ANOST00036,nan,nan
ANOST,OG842298,ANOST00037,1.7748815165876777,0.8775059949149977
ANOST,OG1174245,ANOST00043,3.7119856887298748,2.8292586106647426
ANOST,OG456351,ANOST00044,56.20172910662824,89.19670130889209
ANOST,OG1251511,ANOST00045,1.7084942084942085,0.8148982283410185
ANOST,OG961602,ANOST00046,5.5,1.118033988749895
ANOST,OG953187,ANOST00048,1.4714714714714714,0.7730035390658605
ANOST,OG814084,ANOST00057,2.518918918918919,1.89691610862357
ANOST,OG699681,ANOST00058,1.0,0.0
ANOST,OG946387,ANOST00073,1.4287901990811638,0.5010536283928975
ANOST,OG946885,ANOST00079,3.6690647482014387,2.1047684443759516
ANOST,OG1214309,ANOST00081,1.0,0.0
ANOST,OG341995,ANOST00098,8.95582329317269,15.487851704694425
ANOST,OG1079985,ANOST00101,2.674353598881901,2.051102680561051
ANOST,OG976835,ANOST00102,1.5552825552825553,0.9515358624655667
ANOST,OG675570,ANOST00108,4.0,0.0
ANOST,OG971355,ANOST00110,1.7120291616038883,0.9949757815916803
ANOST,OG1223272,ANOST00111,1.9943181818181819,0.07516338951888041
ANOST,OG1224967,ANOST00112,2.313364055299539,2.20043067028817
ANOST,OG457329,ANOST00113,nan,nan
ANOST,OG961439,ANOST00114,1.9203703703703703,0.875146470202143
ANOST,OG998211,ANOST00115,1.8670520231213872,0.8777122451849152
ANOST,OG673136,ANOST00116,2.0,0.0
ANOST,OG1139777,ANOST00117,nan,nan
ANOST,OG1221689,ANOST00123,2.161764705882353,1.758581945908061
ANOST,OG1222683,ANOST00125,1.7451235370611184,1.022531734758266
ANOST,OG1215812,ANOST00126,1.262857142857143,0.5232239150747245
ANOST,OG896170,ANOST00127,2.0562730627306274,1.502018120617004
ANOST,OG1231177,ANOST00129,1.4952380952380953,0.4999773237488262
ANOST,OG961115,ANOST00130,1.9242902208201893,1.0343973165647498
ANOST,OG911937,ANOST00134,1.0769230769230769,0.2664693550105965
ANOST,OG924410,ANOST00137,2.0416367552045944,1.095440222390704
ANOST,OG792952,ANOST00138,1.0,0.0
ANOST,OG792914,ANOST00139,nan,nan
ANOST,OG1244115,ANOST00140,nan,nan
ANOST,OG1170587,ANOST00146,1.9576893843425387,1.500944228373396
ANOST,OG1226379,ANOST00147,1.0,0.0
ANOST,OG458150,ANOST00149,1.9491525423728813,0.21968612536975798
ANOST,OG975279,ANOST00151,3.049778761061947,2.3477441525687137
ANOST,OG1174891,ANOST00152,1.6587982832618027,0.8798518786756495
ANOST,OG455346,ANOST00156,1.6444444444444444,0.47868131618973364
ANOST,OG1240929,ANOST00157,nan,nan
ANOST,OG822311,ANOST00158,1.8122489959839359,1.0902500368357146
ANOST,OG420493,ANOST00159,1.0,0.0
ANOST,OG665560,ANOST00160,2.182857142857143,2.544067127852645
ANOST,OG420768,ANOST00161,2.5482866043613708,1.692480674556076
ANOST,OG1181227,ANOST00162,1.7927461139896372,0.6817755110437688
ANOST,OG342477,ANOST00163,46.81010101010101,120.27147868401003
ANOST,OG966098,ANOST00164,2.5075445816186557,2.77263932258962
ANOST,OG419349,ANOST00176,4.1098901098901095,4.88201577321317
ANOST,OG736122,ANOST00177,2.0,0.0
ANOST,OG1251119,ANOST00180,1.8209150326797385,1.0456666632145888
ANOST,OG796653,ANOST00189,2.763157894736842,2.098432745459097
ANOST,OG793899,ANOST00192,1.951851851851852,1.3338527794743262
ANOST,OG899270,ANOST00194,1.0,0.0
ANOST,OG456648,ANOST00195,nan,nan
ANOST,OG1251552,ANOST00206,1.0,0.0
ANOST,OG1189787,ANOST00208,nan,nan
ANOST,OG962019,ANOST00209,2.0,0.0
ANOST,OG967514,ANOST00212,1.8112244897959184,0.7107602502094507
ANOST,OG762076,ANOST00214,nan,nan
ANOST,OG1198488,ANOST00216,1.641399416909621,1.5638892688201602
ANOST,OG456691,ANOST00218,nan,nan
ANOST,OG1203459,ANOST00222,3.0830945558739256,1.8439013220926606
ANOST,OG1139996,ANOST00223,1.6850961538461537,1.0894463089043016
ANOST,OG1208321,ANOST00225,3.842023103340618,2.744964662642131
ANOST,OG1240968,ANOST00230,2.01669449081803,1.5056005934725212
ANOST,OG961322,ANOST00232,nan,nan
ANOST,OG698997,ANOST00233,3.6820349761526234,2.3291909234919204
ANOST,OG1219581,ANOST00235,1.2148148148148148,0.41069381557419576
ANOST,OG823022,ANOST00242,nan,nan
