#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG961398,ANOSI02900,0.8467614533965245,0.8467614533965245,1072,1266,1266
ANOSI,OG1229017,ANOSI12483,0.8724554707379135,0.8724554707379135,2743,3144,3144
ANOSI,OG411836,ANOSI13282,0.9648318042813455,0.9648318042813455,1262,1308,1308
ANOSI,OG932017,ANOSI15215,0.7764471057884231,0.7764471057884231,1167,1503,1503
ANOSI,OG1218157,ANOSI08193,0.9710144927536232,0.9710144927536232,737,759,759
ANOSI,OG823022,ANOSI10093,0.7283406754772394,0.7283406754772394,992,1362,1362
ANOSI,OG703365,ANOSI15845,0.10133333333333333,0.10133333333333333,114,1125,1125
ANOSI,OG848281,ANOSI16815,0.8339460784313726,0.8339460784313726,1361,1632,1632
ANOSI,OG953548,ANOSI16981,0.9994863893168978,0.9994863893168978,1946,1947,1947
ANOSI,OG796653,ANOSI16455,0.9738927738927738,0.9738927738927738,2089,2145,2145
ANOSI,OG1240929,ANOSI13949,0.7159420289855073,0.7159420289855073,741,1035,1035
ANOSI,OG1168250,ANOSI15785,0.8538011695906432,0.8538011695906432,292,342,342
ANOSI,OG1251511,ANOSI10202,0.96248382923674,0.96248382923674,2232,2319,2319
ANOSI,OG1251119,ANOSI19256,0.7770562770562771,0.7770562770562771,1077,1386,1386
ANOSI,OG696447,ANOSI18946,0.9328932893289329,0.9328932893289329,848,909,909
ANOSI,OG1236745,ANOSI08307,0.7202797202797203,0.7202797202797203,618,858,858
ANOSI,OG1139777,ANOSI13705,0.963276836158192,0.963276836158192,341,354,354
ANOSI,OG790850,ANOSI19220,0.8170624450307827,0.8170624450307827,929,1137,1137
ANOSI,OG451043,ANOSI08181,0.7389558232931727,0.7389558232931727,552,747,747
ANOSI,OG1179969,ANOSI16583,0.7825082508250825,0.7825082508250825,2371,3030,3030
ANOSI,OG1079985,ANOSI16316,0.6059245960502693,0.6059245960502693,2025,3342,3342
ANOSI,OG877291,ANOSI08974,0.6976144422952933,0.6976144422952933,1082,1551,1551
ANOSI,OG944937,ANOSI18066,0.4064814814814815,0.4064814814814815,439,1080,1080
ANOSI,OG961322,ANOSI11117,0.43795620437956206,0.43795620437956206,180,411,411
ANOSI,OG822311,ANOSI13972,0.7511891694109037,0.7511891694109037,2053,2733,2733
ANOSI,OG971123,ANOSI15824,0.503030303030303,0.503030303030303,913,1815,1815
ANOSI,OG839253,ANOSI18124,0.9519519519519519,0.9519519519519519,317,333,333
ANOSI,OG960910,ANOSI11898,1.0,1.0,1314,1314,1314
ANOSI,OG932104,ANOSI16749,0.7341191879502292,0.7341191879502292,1121,1527,1527
ANOSI,OG961115,ANOSI05647,0.9796296296296296,0.9796296296296296,1058,1080,1080
ANOSI,OG916860,ANOSI16582,0.5670498084291188,0.5670498084291188,444,783,783
ANOSI,OG341995,ANOSI16311,0.39986225895316807,0.39986225895316807,2903,7260,7260
ANOSI,OG814084,ANOSI08197,0.9104761904761904,0.9104761904761904,956,1050,1050
ANOSI,OG961602,ANOSI10095,0.8148148148148148,0.8148148148148148,462,567,567
ANOSI,OG1251552,ANOSI09497,0.9464285714285714,0.9464285714285714,477,504,504
ANOSI,OG976835,ANOSI16315,0.9930434782608696,0.9930434782608696,1713,1725,1725
ANOSI,OG362633,ANOSI16462,0.2585330428467683,0.2585330428467683,356,1377,1377
ANOSI,OG814870,ANOSI12461,0.4724806201550388,0.4724806201550388,2438,5160,5160
ANOSI,OG846448,ANOSI18065,0.7754532775453278,0.7754532775453278,556,717,717
ANOSI,OG675570,ANOSI13707,0.22916666666666666,0.22916666666666666,209,912,912
ANOSI,OG1176412,ANOSI15222,0.9271827500883705,0.9271827500883705,2623,2829,2829
ANOSI,OG1221689,ANOSI12385,0.9987046632124352,0.9987046632124352,2313,2316,2316
ANOSI,OG966098,ANOSI13976,0.9861423220973783,0.9861423220973783,2633,2670,2670
ANOSI,OG676343,ANOSI11914,0.12041884816753927,0.12041884816753927,276,2292,2292
ANOSI,OG1235653,ANOSI18112,0.9408251900108577,0.9408251900108577,1733,1842,1842
ANOSI,OG1216622,ANOSI15784,0.9737470167064439,0.9737470167064439,1224,1257,1257
ANOSI,OG1222683,ANOSI12376,0.6886904761904762,0.6886904761904762,1157,1680,1680
ANOSI,OG1212040,ANOSI13772,0.9313611755607115,0.9313611755607115,4817,5172,5172
ANOSI,OG986805,ANOSI17797,0.8629298941798942,0.8629298941798942,5219,6048,6048
ANOSI,OG961564,ANOSI18947,0.6083730789613142,0.6083730789613142,1148,1887,1887
ANOSI,OG455346,ANOSI13964,0.98193315266486,0.98193315266486,1087,1107,1107
ANOSI,OG960945,ANOSI11923,0.7879948914431673,0.7879948914431673,1234,1566,1566
ANOSI,OG719374,ANOSI14969,0.7813390313390314,0.7813390313390314,3291,4212,4212
ANOSI,OG823032,ANOSI15205,0.5353075170842825,0.5353075170842825,705,1317,1317
ANOSI,OG951333,ANOSI11872,0.9824561403508771,0.9824561403508771,392,399,399
ANOSI,OG698904,ANOSI13273,0.9539347408829175,0.9539347408829175,2982,3126,3126
ANOSI,OG1183200,ANOSI14974,0.6689265536723163,0.6689265536723163,592,885,885
ANOSI,OG1170587,ANOSI05651,0.9426426426426426,0.9426426426426426,9417,9990,9990
ANOSI,OG931899,ANOSI11633,0.21977287909151635,0.21977287909151635,329,1497,1497
ANOSI,OG1202204,ANOSI18328,0.99860529986053,0.99860529986053,716,717,717
ANOSI,OG1157040,ANOSI13306,0.929757343550447,0.929757343550447,728,783,783
ANOSI,OG1223272,ANOSI13699,0.9836683417085427,0.9836683417085427,2349,2388,2388
ANOSI,OG784747,ANOSI08261,0.9089692101740294,0.9089692101740294,679,747,747
ANOSI,OG1198488,ANOSI18498,0.9592833876221498,0.9592833876221498,1767,1842,1842
ANOSI,OG457329,ANOSI13708,0.23550724637681159,0.23550724637681159,195,828,828
ANOSI,OG1146507,ANOSI09519,0.42876759354617233,0.42876759354617233,1249,2913,2913
ANOSI,OG1174608,ANOSI10178,0.9864864864864865,0.9864864864864865,438,444,444
ANOSI,OG1226379,ANOSI13958,0.7760180995475113,0.7760180995475113,1029,1326,1326
ANOSI,OG1081004,ANOSI11947,0.6538263995891115,0.6538263995891115,1273,1947,1947
ANOSI,OG961440,ANOSI15201,0.9479606188466948,0.9479606188466948,1348,1422,1422
ANOSI,OG964673,ANOSI18236,0.6769759450171822,0.6769759450171822,394,582,582
ANOSI,OG674682,ANOSI10188,0.6993939393939393,0.6993939393939393,577,825,825
ANOSI,OG962019,ANOSI09471,0.2732426303854875,0.2732426303854875,241,882,882
ANOSI,OG926503,ANOSI08194,0.9917695473251029,0.9917695473251029,482,486,486
ANOSI,OG665560,ANOSI13979,0.706219806763285,0.706219806763285,2339,3312,3312
ANOSI,OG1198490,ANOSI18566,0.999330655957162,0.999330655957162,1493,1494,1494
ANOSI,OG1139996,ANOSI13881,0.7989536621823617,0.7989536621823617,1069,1338,1338
ANOSI,OG456720,ANOSI08234,0.7584905660377359,0.7584905660377359,603,795,795
ANOSI,OG949414,ANOSI16805,0.9683908045977011,0.9683908045977011,674,696,696
ANOSI,OG1244115,ANOSI05521,0.9971264367816092,0.9971264367816092,347,348,348
ANOSI,OG828830,ANOSI16895,0.7924151696606786,0.7924151696606786,397,501,501
ANOSI,OG949490,ANOSI08215,0.8862115127175368,0.8862115127175368,662,747,747
ANOSI,OG419349,ANOSI16375,0.5788141720896601,0.5788141720896601,1601,2766,2766
ANOSI,OG722946,ANOSI08175,0.8540587219343696,0.8540587219343696,989,1158,1158
ANOSI,OG1179948,ANOSI16890,0.8823529411764706,0.8823529411764706,495,561,561
ANOSI,OG964929,ANOSI08966,0.8126760563380282,0.8126760563380282,1731,2130,2130
ANOSI,OG961439,ANOSI13690,0.3202785030461271,0.3202785030461271,368,1149,1149
ANOSI,OG1231901,ANOSI13321,0.6543057272352699,0.6543057272352699,1588,2427,2427
ANOSI,OG1181227,ANOSI13961,0.931077694235589,0.931077694235589,1486,1596,1596
ANOSI,OG451038,ANOSI08326,0.967741935483871,0.967741935483871,720,744,744
ANOSI,OG1150857,ANOSI15844,0.8849938499384994,0.8849938499384994,1439,1626,1626
ANOSI,OG960979,ANOSI13351,1.0,1.0,1200,1200,1200
ANOSI,OG917347,ANOSI11939,0.9916142557651991,0.9916142557651991,946,954,954
ANOSI,OG986274,ANOSI08263,0.753968253968254,0.753968253968254,1235,1638,1638
ANOSI,OG420493,ANOSI13963,0.810077519379845,0.810077519379845,627,774,774
ANOSI,OG1219581,ANOSI11081,0.6419529837251357,0.6419529837251357,1065,1659,1659
ANOSI,OG373241,ANOSI13370,0.996996996996997,0.996996996996997,332,333,333
ANOSI,OG1215812,ANOSI12428,0.7880184331797235,0.7880184331797235,513,651,651
ANOSI,OG718578,ANOSI13311,0.7635175282234106,0.7635175282234106,1285,1683,1683
ANOSI,OG1214309,ANOSI17769,0.9949494949494949,0.9949494949494949,394,396,396
ANOSI,OG842298,ANOSI13293,0.8760409231501308,0.8760409231501308,3682,4203,4203
ANOSI,OG1240325,ANOSI13359,0.51010101010101,0.51010101010101,404,792,792
ANOSI,OG961377,ANOSI08182,0.9068203650336215,0.9068203650336215,944,1041,1041
ANOSI,OG924410,ANOSI05511,0.843653502356574,0.843653502356574,5191,6153,6153
ANOSI,OG761976,ANOSI15820,0.5215462610899874,0.5215462610899874,823,1578,1578
ANOSI,OG1204971,ANOSI12470,0.6612738667832677,0.6612738667832677,4537,6861,6861
ANOSI,OG1168476,ANOSI15819,0.8718572587185726,0.8718572587185726,1075,1233,1233
ANOSI,OG1174891,ANOSI13945,0.9551066217732884,0.9551066217732884,851,891,891
ANOSI,OG348620,ANOSI16831,0.918141592920354,0.918141592920354,1245,1356,1356
ANOSI,OG1241986,ANOSI13275,0.6359447004608295,0.6359447004608295,828,1302,1302
ANOSI,OG1242667,ANOSI15210,0.737953006770211,0.737953006770211,1853,2511,2511
ANOSI,OG925865,ANOSI19077,0.8804347826086957,0.8804347826086957,486,552,552
ANOSI,OG964344,ANOSI08292,0.9173728813559322,0.9173728813559322,1299,1416,1416
ANOSI,OG1214658,ANOSI13358,0.8713768115942029,0.8713768115942029,481,552,552
ANOSI,OG911937,ANOSI05566,0.879644165358451,0.879644165358451,1681,1911,1911
