#species,og,gene_id,coverage,std
ANOSI,OG861720,ANOSI11902,nan,nan
ANOSI,OG676343,ANOSI11914,nan,nan
ANOSI,OG951333,ANOSI11872,nan,nan
ANOSI,OG960910,ANOSI11898,5.86624775583483,3.6956803009124606
ANOSI,OG848281,ANOSI16815,1.1721311475409837,0.37749439146457225
ANOSI,OG1221639,ANOSI13259,1.4240506329113924,0.49419803079215113
ANOSI,OG964633,ANOSI13303,33.25714285714286,59.143676577084555
ANOSI,OG718578,ANOSI13311,1.8385826771653544,0.3679154396373458
ANOSI,OG961398,ANOSI02900,nan,nan
ANOSI,OG411836,ANOSI13282,2.1013986013986012,1.2683057370033168
ANOSI,OG1241986,ANOSI13275,2.4393939393939394,1.2013727990875736
ANOSI,OG698904,ANOSI13273,4.292146596858639,2.6886402681650003
ANOSI,OG1157040,ANOSI13306,nan,nan
ANOSI,OG958126,ANOSI13277,1.7338709677419355,0.441932540607105
ANOSI,OG842298,ANOSI13293,2.8453301606186794,1.6699367597413113
ANOSI,OG1174245,ANOSI10141,nan,nan
ANOSI,OG456351,ANOSI10182,3.758426966292135,3.2365645883488434
ANOSI,OG1251511,ANOSI10202,7.08125880695162,3.8440075075842652
ANOSI,OG961602,ANOSI10095,3.101731601731602,0.7028368840194196
ANOSI,OG953187,ANOSI10125,4.173410404624278,1.9779093415422133
ANOSI,OG814084,ANOSI08197,1.308641975308642,0.46193301071283227
ANOSI,OG699681,ANOSI08225,1.0,0.0
ANOSI,OG946387,ANOSI17759,2.615606936416185,0.7368808708029775
ANOSI,OG946885,ANOSI17776,2.594074074074074,1.5418970020346372
ANOSI,OG1214309,ANOSI17769,1.0,0.0
ANOSI,OG341995,ANOSI16311,5.465437788018433,2.3710920148538865
ANOSI,OG1079985,ANOSI16316,1.2272727272727273,0.4190702026042222
ANOSI,OG976835,ANOSI16315,2.810457516339869,1.417683067852218
ANOSI,OG675570,ANOSI13707,nan,nan
ANOSI,OG971355,ANOSI13700,2.845549738219895,2.1341694281498995
ANOSI,OG1223272,ANOSI13699,2.98820887142055,1.6833485095332792
ANOSI,OG1224967,ANOSI13721,2.460881934566145,1.3747749088748795
ANOSI,OG457329,ANOSI13708,nan,nan
ANOSI,OG961439,ANOSI13690,1.0,0.0
ANOSI,OG998211,ANOSI13712,2.393854748603352,1.4746143141683103
ANOSI,OG673136,ANOSI13684,nan,nan
ANOSI,OG1139777,ANOSI13705,nan,nan
ANOSI,OG1221689,ANOSI12385,4.329613095238095,2.3771890598972525
ANOSI,OG1222683,ANOSI12376,3.276555023923445,1.6713389177760585
ANOSI,OG1215812,ANOSI12428,1.646551724137931,0.47804036665557836
ANOSI,OG896170,ANOSI12371,7.550651230101303,3.5967056012783334
ANOSI,OG1231177,ANOSI05477,4.7247557003257326,2.658182534471954
ANOSI,OG961115,ANOSI05647,1.6984126984126984,0.8600772815329565
ANOSI,OG911937,ANOSI05566,1.0,0.0
ANOSI,OG924410,ANOSI05511,3.6765509168942647,2.4076270982621306
ANOSI,OG792952,ANOSI05501,nan,nan
ANOSI,OG792914,ANOSI05550,nan,nan
ANOSI,OG1244115,ANOSI05521,1.8706896551724137,1.007416512730891
ANOSI,OG1170587,ANOSI05651,3.4733001658374794,1.9043113050959894
ANOSI,OG1226379,ANOSI13958,2.1704545454545454,2.2973383359340147
ANOSI,OG458150,ANOSI13956,nan,nan
ANOSI,OG975279,ANOSI13957,nan,nan
ANOSI,OG1174891,ANOSI13945,nan,nan
ANOSI,OG455346,ANOSI13964,3.670442842430484,2.630436934249637
ANOSI,OG1240929,ANOSI13949,nan,nan
ANOSI,OG822311,ANOSI13972,2.5921052631578947,1.2031861748606523
ANOSI,OG420493,ANOSI13963,nan,nan
ANOSI,OG665560,ANOSI13979,1.8680851063829786,0.8981714402157946
ANOSI,OG420768,ANOSI13955,2.2021484375,1.0964944467330004
ANOSI,OG1181227,ANOSI13961,4.3117408906882595,2.112806479617042
ANOSI,OG342477,ANOSI13940,6.898760330578512,12.107192207378857
ANOSI,OG966098,ANOSI13976,1.522140221402214,0.7151939810446256
ANOSI,OG419349,ANOSI16375,5.712616822429907,3.8077797481188815
ANOSI,OG736122,ANOSI16384,nan,nan
ANOSI,OG1251119,ANOSI19256,2.8403547671840355,1.326437256080222
ANOSI,OG796653,ANOSI16455,2.969298245614035,1.7135319971338734
ANOSI,OG793899,ANOSI18657,1.2016129032258065,0.40120461173654026
ANOSI,OG899270,ANOSI18211,3.0,0.9607689228305228
ANOSI,OG456648,ANOSI18213,nan,nan
ANOSI,OG1251552,ANOSI09497,1.1140684410646389,0.31789437210765753
ANOSI,OG1189787,ANOSI09481,3.7901639344262295,2.1566294982675243
ANOSI,OG962019,ANOSI09471,nan,nan
ANOSI,OG967514,ANOSI18502,nan,nan
ANOSI,OG762076,ANOSI09475,nan,nan
ANOSI,OG1198488,ANOSI18498,10.696661007357102,5.504816551269067
ANOSI,OG456691,ANOSI18513,nan,nan
ANOSI,OG1203459,ANOSI13887,nan,nan
ANOSI,OG1139996,ANOSI13881,2.6044776119402986,1.1908773682521607
ANOSI,OG1208321,ANOSI11134,6.60238011900595,5.038226426193333
ANOSI,OG1240968,ANOSI11112,2.3462940461725394,1.5002252551971995
ANOSI,OG961322,ANOSI11117,2.023529411764706,0.21565062093909837
ANOSI,OG698997,ANOSI11073,6.732862190812721,4.310150883877038
ANOSI,OG1219581,ANOSI11081,nan,nan
ANOSI,OG823022,ANOSI10093,1.0,0.0
ANOSI,OG1174608,ANOSI10178,1.5416666666666667,0.4982608642958916
ANOSI,OG839253,ANOSI18124,nan,nan
ANOSI,OG1150674,ANOSI16840,nan,nan
ANOSI,OG348620,ANOSI16831,3.195736434108527,1.5671226164133125
ANOSI,OG674682,ANOSI10188,2.2349570200573066,0.8024559800212857
ANOSI,OG964673,ANOSI18236,nan,nan
ANOSI,OG373241,ANOSI13370,1.3134328358208955,0.4638886647140315
ANOSI,OG960979,ANOSI13351,4.529296875,2.9039172583107864
ANOSI,OG1240325,ANOSI13359,1.7615062761506277,0.8664018261970581
ANOSI,OG1240328,ANOSI13371,nan,nan
ANOSI,OG1231901,ANOSI13321,1.5298507462686568,0.4991081375285364
ANOSI,OG1194738,ANOSI13345,7.518819188191882,2.9979414967990285
ANOSI,OG1214658,ANOSI13358,nan,nan
ANOSI,OG344070,ANOSI13377,2.092936802973978,0.4075339743433106
ANOSI,OG925865,ANOSI19077,2.2405797101449276,0.8731616449083449
ANOSI,OG1202204,ANOSI18328,nan,nan
ANOSI,OG977782,ANOSI18323,1.2407407407407407,0.42753319928204436
ANOSI,OG351572,ANOSI08252,nan,nan
ANOSI,OG1218157,ANOSI08193,2.5905923344947737,1.2045132885860017
ANOSI,OG926503,ANOSI08194,nan,nan
ANOSI,OG817086,ANOSI08325,1.664804469273743,0.6967132260188797
ANOSI,OG949490,ANOSI08215,1.0,0.0
ANOSI,OG451043,ANOSI08181,nan,nan
ANOSI,OG451038,ANOSI08326,1.0827067669172932,0.27543848246637903
ANOSI,OG784747,ANOSI08261,3.3705882352941177,1.9397588406452981
ANOSI,OG978616,ANOSI08335,3.384732824427481,2.2605300088659797
ANOSI,OG1218158,ANOSI08297,4.009049773755656,1.5621588985664152
ANOSI,OG1236745,ANOSI08307,nan,nan
ANOSI,OG1190683,ANOSI08201,3.2053691275167786,1.3948989155312457
ANOSI,OG853434,ANOSI08170,nan,nan
ANOSI,OG962230,ANOSI08287,nan,nan
ANOSI,OG1230391,ANOSI08180,nan,nan
ANOSI,OG352732,ANOSI08184,nan,nan
ANOSI,OG823037,ANOSI08294,nan,nan
ANOSI,OG964344,ANOSI08292,6.172855313700384,4.02579145520252
ANOSI,OG456720,ANOSI08234,2.0,0.0
ANOSI,OG1146505,ANOSI08230,2.893467336683417,1.9456710195379359
ANOSI,OG671266,ANOSI08178,6.341918656777244,3.746344986896694
ANOSI,OG664391,ANOSI08311,4.079646017699115,1.8909682017386225
ANOSI,OG722946,ANOSI08175,3.7885802469135803,2.192170232892552
ANOSI,OG961377,ANOSI08182,3.7870239774330043,2.0303899243350187
ANOSI,OG1146507,ANOSI09519,nan,nan
ANOSI,OG986274,ANOSI08263,nan,nan
ANOSI,OG988784,ANOSI08226,2.102201257861635,1.4254850869371376
ANOSI,OG362633,ANOSI16462,nan,nan
ANOSI,OG375937,ANOSI09099,nan,nan
