#species,og,gene_id,coverage,std
ANOGA,OG861720,ANOGA05778,41.06776055910058,36.37282840841821
ANOGA,OG676343,ANOGA05773,22.30603448275862,10.959372770193207
ANOGA,OG951333,ANOGA05777,31.169950738916256,9.46932738272984
ANOGA,OG960910,ANOGA05775,126.70471841704719,35.284098448271514
ANOGA,OG848281,ANOGA05255,20.223032069970845,9.860682305478855
ANOGA,OG1221639,ANOGA05250,15.824712643678161,4.500417436342366
ANOGA,OG964633,ANOGA05249,64.00530660377359,66.36028090821583
ANOGA,OG718578,ANOGA05248,24.368171021377673,13.600809802955387
ANOGA,OG961398,ANOGA05245,48.188418323249785,19.21463458409016
ANOGA,OG411836,ANOGA05239,90.08796296296296,56.01417625502934
ANOGA,OG1241986,ANOGA04040,33.03486529318542,20.237466351207207
ANOGA,OG698904,ANOGA04041,52.81243988457839,12.61232033945918
ANOGA,OG1157040,ANOGA04042,29.00769230769231,10.485396061760953
ANOGA,OG958126,ANOGA04045,21.848639455782312,6.500592452273261
ANOGA,OG842298,ANOGA04047,32.39691235059761,21.66124401917981
ANOGA,OG1174245,ANOGA04055,35.1555834378921,10.094205429568513
ANOGA,OG456351,ANOGA04056,26.987817258883247,21.149020541266932
ANOGA,OG1251511,ANOGA04057,59.51607142857143,13.719762555027202
ANOGA,OG961602,ANOGA04058,41.512,12.540408924752015
ANOGA,OG953187,ANOGA05445,27.239085239085238,12.350857049180156
ANOGA,OG814084,ANOGA05434,32.371,12.256237554812651
ANOGA,OG699681,ANOGA05433,15.808259587020649,9.580975629919438
ANOGA,OG946387,ANOGA05414,32.5948275862069,18.612364882057317
ANOGA,OG946885,ANOGA05407,58.20871559633027,25.011771244691776
ANOGA,OG1214309,ANOGA05405,22.767015706806284,7.059260079788735
ANOGA,OG341995,ANOGA04081,25.665692307692307,21.73709537380606
ANOGA,OG1079985,ANOGA04086,35.31157756641522,21.57755050743527
ANOGA,OG976835,ANOGA04087,59.339233038348084,30.964419022960357
ANOGA,OG675570,ANOGA04091,17.28732747804266,11.519292747589924
ANOGA,OG971355,ANOGA04093,48.66854990583804,14.996735245262506
ANOGA,OG1223272,ANOGA04094,43.339301310043666,16.15862097538781
ANOGA,OG1224967,ANOGA04095,39.71915131211614,18.74781555278144
ANOGA,OG457329,ANOGA04096,7.557734204793029,2.811902822031936
ANOGA,OG961439,ANOGA04097,36.68426294820717,18.138931281704885
ANOGA,OG998211,ANOGA04098,34.17424242424242,14.812671327755012
ANOGA,OG673136,ANOGA04099,27.88559670781893,11.670972677748964
ANOGA,OG1139777,ANOGA04100,15.429378531073446,8.027624351021977
ANOGA,OG1221689,ANOGA04113,36.291057609630265,14.421101412492376
ANOGA,OG1222683,ANOGA04115,54.26656848306333,20.236479371564773
ANOGA,OG1215812,ANOGA04116,26.29953917050691,14.236459859886784
ANOGA,OG896170,ANOGA04117,50.4052812858783,24.55769316482301
ANOGA,OG1231177,ANOGA04120,48.78769601930036,15.917179894737753
ANOGA,OG961115,ANOGA04121,23.773776546629733,12.064752016999508
ANOGA,OG911937,ANOGA04125,32.846666666666664,13.55600891773747
ANOGA,OG924410,ANOGA04132,46.79389312977099,19.430659045347163
ANOGA,OG792952,ANOGA04134,34.32582159624413,15.200751769959536
ANOGA,OG792914,ANOGA04135,33.387900355871885,17.141520927840926
ANOGA,OG1244115,ANOGA04136,12.841040462427745,6.046127415206047
ANOGA,OG1170587,ANOGA04139,48.27574511819116,16.050066758250104
ANOGA,OG1226379,ANOGA04627,32.67130919220056,11.155008262445463
ANOGA,OG458150,ANOGA04629,4.0,0.0
