#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG1079985,ANOST00101,0.9356160374597601,0.9356160374597601,3197,3417,3417
ANOST,OG1081004,ANOST00389,0.9736842105263158,0.9736842105263158,1887,1938,1938
ANOST,OG1138880,ANOST00591,0.9882525697503671,0.9882525697503671,673,681,681
ANOGA,OG1139777,ANOGA04100,1.0,1.0,354,354,354
ANOST,OG1139996,ANOST00223,0.8577138289368506,0.8577138289368506,1073,1251,1251
ANOST,OG1144131,ANOST00602,0.8644382544103992,0.8644382544103992,1862,2154,2154
ANOST,OG1146505,ANOST00349,0.9215456674473068,0.9215456674473068,2361,2562,2562
ANOST,OG1146507,ANOST00365,0.6006191950464397,0.6006191950464397,1746,2907,2907
ANOST,OG1150674,ANOST00260,0.8717026378896883,0.8717026378896883,727,834,834
ANOST,OG1150857,ANOST00554,0.9396654719235364,0.9396654719235364,1573,1674,1674
ANOGA,OG1152239,ANOGA06528,0.5939597315436241,0.5939597315436241,531,894,894
ANOST,OG1157040,ANOST00033,1.0,1.0,783,783,783
ANOST,OG1162063,ANOST00522,0.9505271695052717,0.9505271695052717,1172,1233,1233
ANOGA,OG1168250,ANOGA05380,0.9239766081871345,0.9239766081871345,316,342,342
ANOGA,OG1168476,ANOGA04432,0.9653270291568163,0.9653270291568163,1225,1269,1269
ANOST,OG1170587,ANOST00146,0.9871369711586775,0.9871369711586775,9823,9951,9951
ANOST,OG1174245,ANOST00043,0.8336153412295544,0.8336153412295544,1478,1773,1773
ANOGA,OG1174608,ANOGA05668,1.0,1.0,444,444,444
ANOST,OG1174891,ANOST00152,0.9988425925925926,0.9988425925925926,863,864,864
ANOST,OG1176412,ANOST00547,0.9145644130507904,0.9145644130507904,2719,2973,2973
ANOST,OG1179948,ANOST00550,1.0,1.0,564,564,564
ANOST,OG1179969,ANOST00511,0.9830128205128205,0.9830128205128205,3067,3120,3120
ANOST,OG1181227,ANOST00162,0.9579923622476814,0.9579923622476814,1756,1833,1833
ANOST,OG1183200,ANOST00504,0.9055944055944056,0.9055944055944056,777,858,858
ANOGA,OG1189787,ANOGA04698,0.9489795918367347,0.9489795918367347,558,588,588
ANOST,OG1190683,ANOST00325,1.0,1.0,1194,1194,1194
ANOST,OG1191966,ANOST00456,0.9738058551617874,0.9738058551617874,1896,1947,1947
ANOST,OG1192905,ANOST00488,0.9970238095238095,0.9970238095238095,1005,1008,1008
ANOGA,OG1194738,ANOGA05637,0.9931129476584022,0.9931129476584022,1442,1452,1452
ANOGA,OG1197765,ANOGA04431,0.9322033898305084,0.9322033898305084,660,708,708
ANOST,OG1198488,ANOST00216,1.0,1.0,1842,1842,1842
ANOST,OG1198490,ANOST00464,0.9705488621151271,0.9705488621151271,1450,1494,1494
ANOSI,OG1202204,ANOSI18328,1.0,1.0,717,717,717
ANOST,OG1202789,ANOST00471,0.9381071329447682,0.9381071329447682,3380,3603,3603
ANOST,OG1203459,ANOST00222,0.873598369011213,0.873598369011213,857,981,981
ANOST,OG1204971,ANOST00430,0.7988013698630136,0.7988013698630136,5598,7008,7008
ANOST,OG1208321,ANOST00225,0.9244371224601867,0.9244371224601867,8417,9105,9105
ANOST,OG1212040,ANOST00490,0.921911421911422,0.921911421911422,4746,5148,5148
ANOST,OG1214309,ANOST00081,0.9774436090225563,0.9774436090225563,390,399,399
ANOST,OG1214658,ANOST00276,0.896011396011396,0.896011396011396,629,702,702
ANOST,OG1215812,ANOST00126,1.0,1.0,651,651,651
ANOST,OG1216622,ANOST00470,0.9732072498029944,0.9732072498029944,1235,1269,1269
ANOST,OG1218157,ANOST00305,0.9617918313570487,0.9617918313570487,730,759,759
ANOST,OG1218158,ANOST00323,0.9943019943019943,0.9943019943019943,698,702,702
ANOST,OG1218490,ANOST00495,0.9336250911743253,0.9336250911743253,1280,1371,1371
ANOST,OG1219581,ANOST00235,0.9760147601476015,0.9760147601476015,1587,1626,1626
ANODA,OG1221639,ANODA05486,0.6904761904761905,0.6904761904761905,261,378,378
