#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG961377,ANOSI08182,0.808837656099904,0.808837656099904,842,1041,1041
ANOSI,OG986805,ANOSI17797,0.7293320105820106,0.7293320105820106,4411,6048,6048
ANOSI,OG1218490,ANOSI09061,0.6097912167026638,0.6097912167026638,847,1389,1389
ANOSI,OG411836,ANOSI13282,0.7155963302752294,0.7155963302752294,936,1308,1308
ANOSI,OG342477,ANOSI13940,0.7119796091758709,0.7119796091758709,2514,3531,3531
ANOSI,OG792914,ANOSI05550,0.5703703703703704,0.5703703703703704,693,1215,1215
ANOSI,OG828830,ANOSI16895,0.6307385229540918,0.6307385229540918,316,501,501
ANOSI,OG916860,ANOSI16582,0.42656449553001274,0.42656449553001274,334,783,783
ANOSI,OG1218158,ANOSI08297,0.9444444444444444,0.9444444444444444,663,702,702
ANOSI,OG925865,ANOSI19077,0.8442028985507246,0.8442028985507246,466,552,552
ANOSI,OG784747,ANOSI08261,0.9076305220883534,0.9076305220883534,678,747,747
ANOSI,OG961013,ANOSI18108,0.9742747673782156,0.9742747673782156,1780,1827,1827
ANOSI,OG960945,ANOSI11923,0.7139208173690932,0.7139208173690932,1118,1566,1566
ANOSI,OG911937,ANOSI05566,0.7373103087388801,0.7373103087388801,1409,1911,1911
ANOSI,OG1198490,ANOSI18566,0.9946452476572959,0.9946452476572959,1486,1494,1494
ANOSI,OG1174608,ANOSI10178,0.9887387387387387,0.9887387387387387,439,444,444
ANOSI,OG1242667,ANOSI15210,0.5264834727200318,0.5264834727200318,1322,2511,2511
ANOSI,OG1236745,ANOSI08307,0.8508158508158508,0.8508158508158508,730,858,858
ANOSI,OG817086,ANOSI08325,0.8756613756613757,0.8756613756613757,662,756,756
ANOSI,OG762076,ANOSI09475,0.5258397932816538,0.5258397932816538,407,774,774
ANOSI,OG419349,ANOSI16375,0.5086767895878525,0.5086767895878525,1407,2766,2766
ANOSI,OG1152239,ANOSI16991,0.2902208201892745,0.2902208201892745,276,951,951
ANOSI,OG971355,ANOSI13700,0.8632958801498127,0.8632958801498127,1383,1602,1602
ANOSI,OG1215812,ANOSI12428,0.8740399385560675,0.8740399385560675,569,651,651
ANOSI,OG1224967,ANOSI13721,0.947986577181208,0.947986577181208,1695,1788,1788
ANOSI,OG926503,ANOSI08194,0.9979423868312757,0.9979423868312757,485,486,486
ANOSI,OG1251119,ANOSI19256,0.8275613275613276,0.8275613275613276,1147,1386,1386
ANOSI,OG1231901,ANOSI13321,0.5533580552121962,0.5533580552121962,1343,2427,2427
ANOSI,OG988784,ANOSI08226,0.4219114219114219,0.4219114219114219,2534,6006,6006
ANOSI,OG962230,ANOSI08287,0.5186991869918699,0.5186991869918699,319,615,615
ANOSI,OG362545,ANOSI14857,0.4460260972716489,0.4460260972716489,376,843,843
ANOSI,OG960910,ANOSI11898,0.9992389649923896,0.9992389649923896,1313,1314,1314
ANOSI,OG1146505,ANOSI08230,0.780373831775701,0.780373831775701,2004,2568,2568
ANOSI,OG814084,ANOSI08197,0.6257142857142857,0.6257142857142857,657,1050,1050
ANOSI,OG451043,ANOSI08181,0.8835341365461847,0.8835341365461847,660,747,747
ANOSI,OG457572,ANOSI19201,0.5821917808219178,0.5821917808219178,255,438,438
ANOSI,OG1176412,ANOSI15222,0.8115942028985508,0.8115942028985508,2296,2829,2829
ANOSI,OG676343,ANOSI11914,0.034031413612565446,0.034031413612565446,78,2292,2292
ANOSI,OG761976,ANOSI15820,0.32636248415716096,0.32636248415716096,515,1578,1578
ANOSI,OG790850,ANOSI19220,0.7906772207563765,0.7906772207563765,899,1137,1137
ANOSI,OG1251552,ANOSI09497,0.6349206349206349,0.6349206349206349,320,504,504
ANOSI,OG698904,ANOSI13273,0.9123480486244402,0.9123480486244402,2852,3126,3126
ANOSI,OG1230391,ANOSI08180,0.2219074598677998,0.2219074598677998,235,1059,1059
ANOSI,OG373241,ANOSI13370,0.996996996996997,0.996996996996997,332,333,333
ANOSI,OG958126,ANOSI13277,0.24434389140271492,0.24434389140271492,162,663,663
ANOSI,OG931899,ANOSI11633,0.13760855043420173,0.13760855043420173,206,1497,1497
ANOSI,OG793899,ANOSI18657,1.0,1.0,603,603,603
ANOSI,OG946885,ANOSI17776,0.7454128440366973,0.7454128440366973,975,1308,1308
ANOSI,OG673136,ANOSI13684,0.37702265372168287,0.37702265372168287,466,1236,1236
ANOSI,OG962019,ANOSI09471,0.11791383219954649,0.11791383219954649,104,882,882
ANOSI,OG1194738,ANOSI13345,0.9986225895316805,0.9986225895316805,1450,1452,1452
ANOSI,OG1146507,ANOSI09519,0.3333333333333333,0.3333333333333333,971,2913,2913
