#species,og,gene_id,coverage,std
ANOGA,OG861720,ANOGA05778,116.43501326259947,213.52376828558877
ANOGA,OG676343,ANOGA05773,4.0,0.0
ANOGA,OG951333,ANOGA05777,1.9625,0.18998355191963334
ANOGA,OG960910,ANOGA05775,4.402835696413678,2.3334301029953304
ANOGA,OG848281,ANOGA05255,1.304535637149028,0.4831065669119936
ANOGA,OG1221639,ANOGA05250,nan,nan
ANOGA,OG964633,ANOGA05249,2.1434511434511436,1.8335643299265345
ANOGA,OG718578,ANOGA05248,1.0,0.0
ANOGA,OG961398,ANOGA05245,2.2310469314079424,1.2762945525234577
ANOGA,OG411836,ANOGA05239,1.0254237288135593,0.15740826797463314
ANOGA,OG1241986,ANOGA04040,nan,nan
ANOGA,OG698904,ANOGA04041,1.9950124688279303,1.7856847576983221
ANOGA,OG1157040,ANOGA04042,nan,nan
ANOGA,OG958126,ANOGA04045,1.9538461538461538,0.2098181799536286
ANOGA,OG842298,ANOGA04047,2.2758620689655173,2.11337181707537
ANOGA,OG1174245,ANOGA04055,1.8982758620689655,1.7728791486235762
ANOGA,OG456351,ANOGA04056,1.7859477124183007,0.5615093314381807
ANOGA,OG1251511,ANOGA04057,1.8944162436548224,0.9425202683140794
ANOGA,OG961602,ANOGA04058,5.5,1.118033988749895
ANOGA,OG953187,ANOGA05445,1.5589123867069485,0.644758575532503
ANOGA,OG814084,ANOGA05434,2.180365296803653,1.6667245251732372
ANOGA,OG699681,ANOGA05433,1.0,0.0
ANOGA,OG946387,ANOGA05414,1.7248484848484849,0.9639191504261706
ANOGA,OG946885,ANOGA05407,3.1037527593818983,1.7186958068897535
ANOGA,OG1214309,ANOGA05405,nan,nan
ANOGA,OG341995,ANOGA04081,1.9553571428571428,1.929046733757482
ANOGA,OG1079985,ANOGA04086,2.095602294455067,1.2117071943916817
ANOGA,OG976835,ANOGA04087,2.100981767180926,1.3041789089676443
ANOGA,OG675570,ANOGA04091,nan,nan
ANOGA,OG971355,ANOGA04093,1.7360801781737194,0.9464804115870589
ANOGA,OG1223272,ANOGA04094,1.4927536231884058,0.49994748726551713
ANOGA,OG1224967,ANOGA04095,1.1748768472906403,0.3798617321767572
ANOGA,OG457329,ANOGA04096,nan,nan
ANOGA,OG961439,ANOGA04097,1.525,0.6475916923494308
ANOGA,OG998211,ANOGA04098,1.544578313253012,0.7196473386734682
ANOGA,OG673136,ANOGA04099,2.0,0.0
