#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG722946,ANOST00353,0.9406276505513147,0.9406276505513147,1109,1179,1179
ANOST,OG949490,ANOST00312,0.8838797814207651,0.8838797814207651,647,732,732
ANOST,OG962230,ANOST00328,0.7707317073170732,0.7707317073170732,474,615,615
ANOST,OG1212040,ANOST00490,0.964063714063714,0.964063714063714,4963,5148,5148
ANOST,OG373241,ANOST00266,1.0,1.0,333,333,333
ANOST,OG344070,ANOST00277,0.7248239975512702,0.7248239975512702,2368,3267,3267
ANOST,OG457329,ANOST00113,0.559748427672956,0.559748427672956,445,795,795
ANOST,OG1150857,ANOST00554,0.7777777777777778,0.7777777777777778,1302,1674,1674
ANOST,OG676343,ANOST00003,0.623320329432163,0.623320329432163,1438,2307,2307
ANOST,OG456720,ANOST00347,1.0,1.0,801,801,801
ANOST,OG823037,ANOST00337,0.9166666666666666,0.9166666666666666,1232,1344,1344
ANOST,OG877291,ANOST00499,0.9193446754883428,0.9193446754883428,1459,1587,1587
ANOST,OG698997,ANOST00233,0.8941548183254344,0.8941548183254344,2264,2532,2532
ANOST,OG1231901,ANOST00272,0.9916562369628703,0.9916562369628703,2377,2397,2397
ANOST,OG369576,ANOST00441,0.996316758747698,0.996316758747698,541,543,543
ANOST,OG1146507,ANOST00365,0.7688338493292054,0.7688338493292054,2235,2907,2907
ANOST,OG790850,ANOST00477,0.8349307774227902,0.8349307774227902,784,939,939
ANOST,OG1157040,ANOST00033,0.9961685823754789,0.9961685823754789,780,783,783
ANOST,OG961115,ANOST00130,0.997229916897507,0.997229916897507,1080,1083,1083
ANOST,OG1214658,ANOST00276,0.8333333333333334,0.8333333333333334,585,702,702
ANOST,OG1197765,ANOST00410,0.9507246376811594,0.9507246376811594,656,690,690
ANOST,OG861720,ANOST00002,0.8372149442018437,0.8372149442018437,3451,4122,4122
ANOST,OG911937,ANOST00134,0.9315569487983281,0.9315569487983281,1783,1914,1914
ANOST,OG979200,ANOST00416,0.9853801169590644,0.9853801169590644,1685,1710,1710
ANOST,OG964929,ANOST00497,0.943943943943944,0.943943943943944,1886,1998,1998
ANOST,OG932017,ANOST00529,0.805940594059406,0.805940594059406,1221,1515,1515
ANOST,OG1204971,ANOST00430,0.9336472602739726,0.9336472602739726,6543,7008,7008
ANOST,OG924410,ANOST00137,0.9398692810457516,0.9398692810457516,5752,6120,6120
ANOST,OG1218157,ANOST00305,0.9710144927536232,0.9710144927536232,737,759,759
ANOST,OG451038,ANOST00315,0.9986559139784946,0.9986559139784946,743,744,744
ANOST,OG961377,ANOST00356,0.9980787704130644,0.9980787704130644,1039,1041,1041
ANOST,OG703365,ANOST00557,0.7694300518134715,0.7694300518134715,891,1158,1158
ANOST,OG951333,ANOST00004,0.9711111111111111,0.9711111111111111,437,450,450
ANOST,OG1183200,ANOST00504,0.9965034965034965,0.9965034965034965,855,858,858
ANOST,OG719374,ANOST00503,0.9873357228195938,0.9873357228195938,4132,4185,4185
ANOST,OG976835,ANOST00102,0.9982456140350877,0.9982456140350877,1707,1710,1710
ANOST,OG1179969,ANOST00511,0.9961538461538462,0.9961538461538462,3108,3120,3120
ANOST,OG708597,ANOST00396,0.7961053837342497,0.7961053837342497,2085,2619,2619
ANOST,OG460076,ANOST00607,0.9975795297372061,0.9975795297372061,2885,2892,2892
ANOST,OG352732,ANOST00335,0.9910714285714286,0.9910714285714286,1332,1344,1344
ANOST,OG1202789,ANOST00471,0.9961143491534832,0.9961143491534832,3589,3603,3603
ANOST,OG698904,ANOST00032,0.9929554915145693,0.9929554915145693,3101,3123,3123
ANOST,OG946387,ANOST00073,0.9956772334293948,0.9956772334293948,2073,2082,2082
ANOST,OG456691,ANOST00218,0.7561361836896279,0.7561361836896279,955,1263,1263
ANOST,OG457572,ANOST00450,0.6959459459459459,0.6959459459459459,309,444,444
ANOST,OG971355,ANOST00110,1.0,1.0,1596,1596,1596
ANOST,OG1203459,ANOST00222,0.9989806320081549,0.9989806320081549,980,981,981
ANOST,OG839253,ANOST00256,0.990990990990991,0.990990990990991,330,333,333
ANOST,OG699681,ANOST00058,0.6312684365781711,0.6312684365781711,214,339,339
ANOST,OG1198488,ANOST00216,0.9739413680781759,0.9739413680781759,1794,1842,1842
ANOST,OG1235653,ANOST00565,0.997289972899729,0.997289972899729,1840,1845,1845
ANOST,OG968364,ANOST00614,0.9087378640776699,0.9087378640776699,1404,1545,1545
ANOST,OG456351,ANOST00044,0.776107436359992,0.776107436359992,3872,4989,4989
ANOST,OG1225085,ANOST00424,0.9420677361853832,0.9420677361853832,4228,4488,4488
ANOST,OG961398,ANOST00021,0.9381846635367762,0.9381846635367762,1199,1278,1278
ANOST,OG362633,ANOST00370,0.4212730318257956,0.4212730318257956,503,1194,1194
ANOST,OG1079985,ANOST00101,0.9812701199882938,0.9812701199882938,3353,3417,3417
ANOST,OG665560,ANOST00160,0.9144643364592213,0.9144643364592213,3218,3519,3519
ANOST,OG1168476,ANOST00411,0.9857482185273159,0.9857482185273159,1245,1263,1263
ANOST,OG762076,ANOST00214,0.9651162790697675,0.9651162790697675,747,774,774
ANOST,OG848281,ANOST00012,0.9949780288763339,0.9949780288763339,1585,1593,1593
ANOST,OG1162063,ANOST00522,0.9781021897810219,0.9781021897810219,1206,1233,1233
ANOST,OG953548,ANOST00599,1.0,1.0,1947,1947,1947
ANOST,OG961299,ANOST00501,0.9109663409337676,0.9109663409337676,2517,2763,2763
ANOST,OG1231177,ANOST00129,0.9951690821256038,0.9951690821256038,1648,1656,1656
ANOST,OG958126,ANOST00036,0.8843843843843844,0.8843843843843844,589,666,666
ANOST,OG1181227,ANOST00162,0.9732678668848882,0.9732678668848882,1784,1833,1833
ANOST,OG1221639,ANOST00016,0.8915343915343915,0.8915343915343915,337,378,378
ANOST,OG1226379,ANOST00147,0.9625382262996942,0.9625382262996942,1259,1308,1308
ANOST,OG896170,ANOST00127,1.0,1.0,1740,1740,1740
ANOST,OG1229017,ANOST00425,0.9805959805959806,0.9805959805959806,2830,2886,2886
ANOST,OG1198490,ANOST00464,0.9344042838018741,0.9344042838018741,1396,1494,1494
ANOST,OG917347,ANOST00382,1.0,1.0,963,963,963
ANOST,OG964633,ANOST00017,0.991812865497076,0.991812865497076,1696,1710,1710
ANOST,OG341995,ANOST00098,0.9469003053232444,0.9469003053232444,7133,7533,7533
ANOST,OG986274,ANOST00366,1.0,1.0,1548,1548,1548
ANOST,OG846448,ANOST00517,0.9568151147098516,0.9568151147098516,709,741,741
ANOST,OG454890,ANOST00551,0.9141414141414141,0.9141414141414141,905,990,990
ANOST,OG1146505,ANOST00349,0.9570647931303669,0.9570647931303669,2452,2562,2562
ANOST,OG814084,ANOST00057,0.9572649572649573,0.9572649572649573,1008,1053,1053
ANOST,OG986805,ANOST00600,0.9603927442170078,0.9603927442170078,5771,6009,6009
ANOST,OG1174245,ANOST00043,0.7676254935138184,0.7676254935138184,1361,1773,1773
ANOST,OG925865,ANOST00286,0.9956709956709957,0.9956709956709957,690,693,693
ANOST,OG853434,ANOST00326,0.9777777777777777,0.9777777777777777,484,495,495
ANOST,OG977782,ANOST00291,0.7327627199239182,0.7327627199239182,1541,2103,2103
ANOST,OG1251552,ANOST00206,0.8925925925925926,0.8925925925925926,482,540,540
ANOST,OG960979,ANOST00268,1.0,1.0,1200,1200,1200
ANOST,OG961322,ANOST00232,1.0,1.0,411,411,411
ANOST,OG1179948,ANOST00550,0.6595744680851063,0.6595744680851063,372,564,564
ANOST,OG899270,ANOST00194,0.9916067146282974,0.9916067146282974,1654,1668,1668
ANOST,OG671266,ANOST00350,0.9998022347473549,0.9998022347473549,10111,10113,10113
ANOST,OG457108,ANOST00570,0.99822695035461,0.99822695035461,563,564,564
ANOST,OG674682,ANOST00263,0.991421568627451,0.991421568627451,809,816,816
ANOST,OG362545,ANOST00615,0.8808705612829324,0.8808705612829324,769,873,873
ANOST,OG1240929,ANOST00157,0.878167641325536,0.878167641325536,901,1026,1026
ANOST,OG968775,ANOST00395,0.9971181556195965,0.9971181556195965,2076,2082,2082
ANOST,OG1246006,ANOST00459,1.0,1.0,1020,1020,1020
ANOST,OG953187,ANOST00048,0.8777777777777778,0.8777777777777778,474,540,540
ANOST,OG964344,ANOST00343,0.9985785358919688,0.9985785358919688,1405,1407,1407
ANOST,OG718578,ANOST00019,0.9917984768599882,0.9917984768599882,1693,1707,1707
ANOST,OG1219581,ANOST00235,0.9981549815498155,0.9981549815498155,1623,1626,1626
ANOST,OG944937,ANOST00518,0.98,0.98,1029,1050,1050
ANOST,OG784747,ANOST00320,0.9725829725829725,0.9725829725829725,674,693,693
ANOST,OG675570,ANOST00108,0.8421052631578947,0.8421052631578947,768,912,912
