#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG420768,ANOST00161,0.7555795536357092,0.7555795536357092,2099,2778,2778
ANOST,OG362545,ANOST00615,0.6804123711340206,0.6804123711340206,594,873,873
ANOST,OG351572,ANOST00298,0.9981785063752276,0.9981785063752276,1096,1098,1098
ANOST,OG958126,ANOST00036,0.8933933933933934,0.8933933933933934,595,666,666
ANOST,OG1218158,ANOST00323,0.6054131054131054,0.6054131054131054,425,702,702
ANOST,OG911937,ANOST00134,0.9231974921630094,0.9231974921630094,1767,1914,1914
ANOST,OG961115,ANOST00130,0.9953831948291783,0.9953831948291783,1078,1083,1083
ANOST,OG828830,ANOST00552,0.35528942115768464,0.35528942115768464,178,501,501
ANOST,OG1174245,ANOST00043,0.6971235194585449,0.6971235194585449,1236,1773,1773
ANOST,OG456338,ANOST00458,0.5311594202898551,0.5311594202898551,2932,5520,5520
ANOST,OG970502,ANOST00530,0.9929639401934917,0.9929639401934917,1129,1137,1137
ANOST,OG1176412,ANOST00547,0.9128826101580895,0.9128826101580895,2714,2973,2973
ANOST,OG814870,ANOST00423,0.5719330569629971,0.5719330569629971,3725,6513,6513
ANOST,OG1192905,ANOST00488,0.9246031746031746,0.9246031746031746,932,1008,1008
ANOST,OG1235653,ANOST00565,0.9983739837398374,0.9983739837398374,1842,1845,1845
ANOST,OG823022,ANOST00242,0.7962962962962963,0.7962962962962963,1075,1350,1350
ANOST,OG1191966,ANOST00456,0.8125321006676939,0.8125321006676939,1582,1947,1947
ANOST,OG931899,ANOST00585,0.7369118621603711,0.7369118621603711,1112,1509,1509
ANOST,OG1202789,ANOST00471,0.8290313627532612,0.8290313627532612,2987,3603,3603
ANOST,OG1138880,ANOST00591,0.618208516886931,0.618208516886931,421,681,681
ANOST,OG1251511,ANOST00045,0.8626184323858742,0.8626184323858742,2003,2322,2322
ANOST,OG925865,ANOST00286,0.8181818181818182,0.8181818181818182,567,693,693
ANOST,OG917347,ANOST00382,0.9844236760124611,0.9844236760124611,948,963,963
ANOST,OG1212040,ANOST00490,0.6517094017094017,0.6517094017094017,3355,5148,5148
ANOST,OG1223886,ANOST00473,0.35365853658536583,0.35365853658536583,174,492,492
ANOST,OG971123,ANOST00414,0.479129923574368,0.479129923574368,815,1701,1701
ANOST,OG1251119,ANOST00180,0.8425312729948492,0.8425312729948492,1145,1359,1359
ANOST,OG362633,ANOST00370,0.1507537688442211,0.1507537688442211,180,1194,1194
ANOST,OG457108,ANOST00570,0.7819148936170213,0.7819148936170213,441,564,564
ANOST,OG1174891,ANOST00152,0.9988425925925926,0.9988425925925926,863,864,864
ANOST,OG1244115,ANOST00140,0.6379310344827587,0.6379310344827587,222,348,348
ANOST,OG964673,ANOST00265,0.8384353741496599,0.8384353741496599,493,588,588
ANOST,OG960945,ANOST00390,0.9725415070242657,0.9725415070242657,1523,1566,1566
ANOST,OG784747,ANOST00320,0.9725829725829725,0.9725829725829725,674,693,693
