#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG696447,ANOST00603,0.5516129032258065,0.5516129032258065,513,930,930
ANOST,OG1203459,ANOST00222,0.3761467889908257,0.3761467889908257,369,981,981
ANOST,OG964633,ANOST00017,0.9461988304093567,0.9461988304093567,1618,1710,1710
ANOST,OG362545,ANOST00615,0.47308132875143183,0.47308132875143183,413,873,873
ANOST,OG1174245,ANOST00043,0.6170332769317541,0.6170332769317541,1094,1773,1773
ANOST,OG348620,ANOST00261,0.8222713864306784,0.8222713864306784,1115,1356,1356
ANOST,OG1216622,ANOST00470,0.6918833727344366,0.6918833727344366,878,1269,1269
ANOST,OG1181227,ANOST00162,0.6252045826513911,0.6252045826513911,1146,1833,1833
ANOST,OG456351,ANOST00044,0.5957105632391261,0.5957105632391261,2972,4989,4989
ANOST,OG1170587,ANOST00146,0.8223294141292332,0.8223294141292332,8183,9951,9951
ANOST,OG823022,ANOST00242,0.502962962962963,0.502962962962963,679,1350,1350
ANOST,OG932017,ANOST00529,0.5155115511551155,0.5155115511551155,781,1515,1515
ANOST,OG1168476,ANOST00411,0.45209817893903403,0.45209817893903403,571,1263,1263
ANOST,OG924410,ANOST00137,0.7098039215686275,0.7098039215686275,4344,6120,6120
ANOST,OG961564,ANOST00601,0.35139318885448917,0.35139318885448917,681,1938,1938
ANOST,OG1240929,ANOST00157,0.1949317738791423,0.1949317738791423,200,1026,1026
ANOST,OG784747,ANOST00320,0.9163059163059163,0.9163059163059163,635,693,693
ANOST,OG1194738,ANOST00274,0.7699724517906336,0.7699724517906336,1118,1452,1452
ANOST,OG1240968,ANOST00230,0.41685477802859294,0.41685477802859294,554,1329,1329
ANOST,OG961299,ANOST00501,0.40354686934491496,0.40354686934491496,1115,2763,2763
ANOST,OG1219581,ANOST00235,0.35670356703567035,0.35670356703567035,580,1626,1626
ANOST,OG853434,ANOST00326,0.39191919191919194,0.39191919191919194,194,495,495
ANOST,OG953187,ANOST00048,0.7703703703703704,0.7703703703703704,416,540,540
ANOST,OG1225085,ANOST00424,0.4964349376114082,0.4964349376114082,2228,4488,4488
ANOST,OG823032,ANOST00528,0.3804100227790433,0.3804100227790433,501,1317,1317
ANOST,OG961377,ANOST00356,0.8001921229586936,0.8001921229586936,833,1041,1041
ANOST,OG961440,ANOST00539,0.4849122807017544,0.4849122807017544,691,1425,1425
ANOST,OG899270,ANOST00194,0.7811750599520384,0.7811750599520384,1303,1668,1668
ANOST,OG968775,ANOST00395,0.8693563880883766,0.8693563880883766,1810,2082,2082
ANOST,OG828830,ANOST00552,0.6207584830339321,0.6207584830339321,311,501,501
ANOST,OG861720,ANOST00002,0.44250363901018924,0.44250363901018924,1824,4122,4122
ANOST,OG1079985,ANOST00101,0.6455955516534972,0.6455955516534972,2206,3417,3417
ANOST,OG1235653,ANOST00565,0.6693766937669376,0.6693766937669376,1235,1845,1845
ANOST,OG703365,ANOST00557,0.3601036269430052,0.3601036269430052,417,1158,1158
ANOST,OG451038,ANOST00315,0.9744623655913979,0.9744623655913979,725,744,744
ANOST,OG1150857,ANOST00554,0.7246117084826762,0.7246117084826762,1213,1674,1674
ANOST,OG457329,ANOST00113,0.16477987421383647,0.16477987421383647,131,795,795
ANOST,OG369576,ANOST00441,0.3406998158379374,0.3406998158379374,185,543,543
ANOST,OG964344,ANOST00343,0.5373134328358209,0.5373134328358209,756,1407,1407
ANOST,OG362633,ANOST00370,0.2018425460636516,0.2018425460636516,241,1194,1194
ANOST,OG1236745,ANOST00324,0.7448275862068966,0.7448275862068966,648,870,870
ANOST,OG1198490,ANOST00464,0.998661311914324,0.998661311914324,1492,1494,1494
ANOST,OG1197765,ANOST00410,0.618840579710145,0.618840579710145,427,690,690
ANOST,OG1214658,ANOST00276,0.48148148148148145,0.48148148148148145,338,702,702
ANOST,OG961322,ANOST00232,0.4793187347931874,0.4793187347931874,197,411,411
ANOST,OG420493,ANOST00159,0.7583979328165374,0.7583979328165374,587,774,774
ANOST,OG970502,ANOST00530,0.6455584872471416,0.6455584872471416,734,1137,1137
ANOST,OG839253,ANOST00256,0.5405405405405406,0.5405405405405406,180,333,333
ANOST,OG1223886,ANOST00473,0.19308943089430894,0.19308943089430894,95,492,492
ANOST,OG1139777,ANOST00117,0.884180790960452,0.884180790960452,313,354,354
ANOST,OG1174608,ANOST00246,0.990990990990991,0.990990990990991,440,444,444
ANOST,OG1246006,ANOST00459,0.8911764705882353,0.8911764705882353,909,1020,1020
ANOST,OG1240328,ANOST00270,0.4527027027027027,0.4527027027027027,402,888,888
ANOST,OG1221639,ANOST00016,0.6878306878306878,0.6878306878306878,260,378,378
ANOST,OG932104,ANOST00578,0.5729646697388633,0.5729646697388633,746,1302,1302
ANOST,OG1230391,ANOST00331,0.3041431261770245,0.3041431261770245,323,1062,1062
ANOST,OG971123,ANOST00414,0.30158730158730157,0.30158730158730157,513,1701,1701
ANOST,OG1191966,ANOST00456,0.6291730868002054,0.6291730868002054,1225,1947,1947
ANOST,OG998211,ANOST00115,0.5982142857142857,0.5982142857142857,2211,3696,3696
ANOST,OG342477,ANOST00163,0.7576248313090418,0.7576248313090418,2807,3705,3705
ANOST,OG817086,ANOST00310,0.9090909090909091,0.9090909090909091,630,693,693
ANOST,OG411836,ANOST00028,0.5701943844492441,0.5701943844492441,792,1389,1389
ANOST,OG341995,ANOST00098,0.5081640780565512,0.5081640780565512,3828,7533,7533
ANOST,OG1168250,ANOST00469,0.652046783625731,0.652046783625731,223,342,342
ANOST,OG1214309,ANOST00081,0.7017543859649122,0.7017543859649122,280,399,399
ANOST,OG1139996,ANOST00223,0.302158273381295,0.302158273381295,378,1251,1251
ANOST,OG848281,ANOST00012,0.4576271186440678,0.4576271186440678,729,1593,1593
ANOST,OG1174891,ANOST00152,0.48032407407407407,0.48032407407407407,415,864,864
ANOST,OG966098,ANOST00164,0.9558548447437336,0.9558548447437336,2555,2673,2673
ANOST,OG949490,ANOST00312,0.894808743169399,0.894808743169399,655,732,732
ANOST,OG420768,ANOST00161,0.7868970482361412,0.7868970482361412,2186,2778,2778
ANOST,OG1138880,ANOST00591,0.42584434654919234,0.42584434654919234,290,681,681
ANOST,OG962230,ANOST00328,0.8178861788617886,0.8178861788617886,503,615,615
ANOST,OG419349,ANOST00176,0.3681895093062606,0.3681895093062606,1088,2955,2955
ANOST,OG698997,ANOST00233,0.6642969984202212,0.6642969984202212,1682,2532,2532
ANOST,OG375937,ANOST00377,0.24060150375939848,0.24060150375939848,192,798,798
ANOST,OG1251119,ANOST00180,0.8859455481972038,0.8859455481972038,1204,1359,1359
ANOST,OG344070,ANOST00277,0.5133149678604224,0.5133149678604224,1677,3267,3267
ANOST,OG1157040,ANOST00033,0.6577266922094508,0.6577266922094508,515,783,783
ANOST,OG451043,ANOST00313,0.7208994708994709,0.7208994708994709,545,756,756
ANOST,OG946387,ANOST00073,0.6724303554274735,0.6724303554274735,1400,2082,2082
ANOST,OG953548,ANOST00599,0.9080636877247047,0.9080636877247047,1768,1947,1947
ANOST,OG1226379,ANOST00147,0.6131498470948012,0.6131498470948012,802,1308,1308
ANOST,OG842298,ANOST00037,0.8197364732268012,0.8197364732268012,2924,3567,3567
ANOST,OG962019,ANOST00209,0.3934040047114252,0.3934040047114252,334,849,849
ANOST,OG877291,ANOST00499,0.7334593572778828,0.7334593572778828,1164,1587,1587
ANOST,OG1162063,ANOST00522,0.5182481751824818,0.5182481751824818,639,1233,1233
ANOST,OG673136,ANOST00116,0.5387045813586098,0.5387045813586098,682,1266,1266
ANOST,OG1144131,ANOST00602,0.5,0.5,1077,2154,2154
ANOST,OG1202204,ANOST00290,1.0,1.0,717,717,717
ANOST,OG896170,ANOST00127,0.9614942528735633,0.9614942528735633,1673,1740,1740
ANOST,OG1231177,ANOST00129,0.9130434782608695,0.9130434782608695,1512,1656,1656
ANOST,OG793899,ANOST00192,0.6733001658374793,0.6733001658374793,406,603,603
ANOST,OG960979,ANOST00268,0.7141666666666666,0.7141666666666666,857,1200,1200
ANOST,OG671266,ANOST00350,0.9412637199644023,0.9412637199644023,9519,10113,10113
ANOST,OG960910,ANOST00006,0.8819294456443485,0.8819294456443485,1225,1389,1389
ANOST,OG1183200,ANOST00504,0.43123543123543123,0.43123543123543123,370,858,858
ANOST,OG961115,ANOST00130,0.9187442289935365,0.9187442289935365,995,1083,1083
ANOST,OG822311,ANOST00158,0.7090643274853801,0.7090643274853801,1940,2736,2736
ANOST,OG1229017,ANOST00425,0.8260568260568261,0.8260568260568261,2384,2886,2886
ANOST,OG664391,ANOST00352,0.776595744680851,0.776595744680851,1095,1410,1410
ANOST,OG674682,ANOST00263,0.38112745098039214,0.38112745098039214,311,816,816
ANOST,OG977782,ANOST00291,0.34569662387066097,0.34569662387066097,727,2103,2103
ANOST,OG352732,ANOST00335,0.8601190476190477,0.8601190476190477,1156,1344,1344
ANOST,OG665560,ANOST00160,0.5888036373969878,0.5888036373969878,2072,3519,3519
ANOST,OG1202789,ANOST00471,0.7787954482375798,0.7787954482375798,2806,3603,3603
ANOST,OG986274,ANOST00366,0.812015503875969,0.812015503875969,1257,1548,1548
ANOST,OG960945,ANOST00390,0.5504469987228607,0.5504469987228607,862,1566,1566
ANOST,OG1190683,ANOST00325,0.7060301507537688,0.7060301507537688,843,1194,1194
ANOST,OG964673,ANOST00265,0.9642857142857143,0.9642857142857143,567,588,588
ANOST,OG971355,ANOST00110,0.9793233082706767,0.9793233082706767,1563,1596,1596
ANOST,OG722946,ANOST00353,0.4546225614927905,0.4546225614927905,536,1179,1179
ANOST,OG1251552,ANOST00206,0.37037037037037035,0.37037037037037035,200,540,540
ANOST,OG968364,ANOST00614,0.8187702265372169,0.8187702265372169,1265,1545,1545
ANOST,OG944937,ANOST00518,0.5219047619047619,0.5219047619047619,548,1050,1050
ANOST,OG792952,ANOST00138,0.7830985915492957,0.7830985915492957,834,1065,1065
ANOST,OG457572,ANOST00450,0.5720720720720721,0.5720720720720721,254,444,444
ANOST,OG698904,ANOST00032,0.8687159782260647,0.8687159782260647,2713,3123,3123
ANOST,OG961398,ANOST00021,0.4780907668231612,0.4780907668231612,611,1278,1278
ANOST,OG1189787,ANOST00208,0.35374149659863946,0.35374149659863946,208,588,588
ANOST,OG961011,ANOST00496,0.387291444799432,0.387291444799432,1091,2817,2817
ANOST,OG986805,ANOST00600,0.6989515726410385,0.6989515726410385,4200,6009,6009
ANOST,OG373241,ANOST00266,0.9519519519519519,0.9519519519519519,317,333,333
ANOST,OG961013,ANOST00564,0.9726327312534209,0.9726327312534209,1777,1827,1827
ANOST,OG454890,ANOST00551,0.8101010101010101,0.8101010101010101,802,990,990
ANOST,OG963232,ANOST00545,0.48826291079812206,0.48826291079812206,520,1065,1065
ANOST,OG846448,ANOST00517,0.747638326585695,0.747638326585695,554,741,741
ANOST,OG792914,ANOST00139,0.57190357439734,0.57190357439734,688,1203,1203
ANOST,OG979200,ANOST00416,0.316374269005848,0.316374269005848,541,1710,1710
ANOST,OG1192905,ANOST00488,0.6021825396825397,0.6021825396825397,607,1008,1008
ANOST,OG351572,ANOST00298,0.8169398907103825,0.8169398907103825,897,1098,1098
ANOST,OG1204971,ANOST00430,0.4029680365296804,0.4029680365296804,2824,7008,7008
ANOST,OG1221689,ANOST00123,0.8717616580310881,0.8717616580310881,2019,2316,2316
ANOST,OG975279,ANOST00151,0.7543859649122807,0.7543859649122807,1118,1482,1482
ANOST,OG1241986,ANOST00031,0.44649730561970746,0.44649730561970746,580,1299,1299
ANOST,OG926503,ANOST00307,0.845679012345679,0.845679012345679,411,486,486
ANOST,OG457108,ANOST00570,0.7358156028368794,0.7358156028368794,415,564,564
ANOST,OG967514,ANOST00212,0.7320117474302497,0.7320117474302497,1994,2724,2724
ANOST,OG961602,ANOST00046,0.7962003454231433,0.7962003454231433,461,579,579
ANOST,OG949414,ANOST00379,0.5661577608142494,0.5661577608142494,445,786,786
ANOST,OG1224967,ANOST00112,0.8690078037904125,0.8690078037904125,1559,1794,1794
ANOST,OG1198488,ANOST00216,0.9457111834961998,0.9457111834961998,1742,1842,1842
ANOST,OG823037,ANOST00337,0.3229166666666667,0.3229166666666667,434,1344,1344
ANOST,OG456691,ANOST00218,0.4259699129057799,0.4259699129057799,538,1263,1263
ANOST,OG1231901,ANOST00272,0.45765540258656656,0.45765540258656656,1097,2397,2397
ANOST,OG1179948,ANOST00550,0.75177304964539,0.75177304964539,424,564,564
ANOST,OG718578,ANOST00019,0.5155243116578794,0.5155243116578794,880,1707,1707
ANOST,OG916860,ANOST00509,0.33003300330033003,0.33003300330033003,300,909,909
ANOST,OG931899,ANOST00585,0.44201457919151754,0.44201457919151754,667,1509,1509
ANOST,OG814870,ANOST00423,0.48564409642253953,0.48564409642253953,3163,6513,6513
