#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG946885,ANOST00079,0.7009916094584286,0.7009916094584286,919,1311,1311
ANOST,OG1189787,ANOST00208,0.7772108843537415,0.7772108843537415,457,588,588
ANOST,OG351572,ANOST00298,0.24863387978142076,0.24863387978142076,273,1098,1098
ANOST,OG978865,ANOST00481,0.7158308751229105,0.7158308751229105,728,1017,1017
ANOST,OG1218157,ANOST00305,0.8155467720685112,0.8155467720685112,619,759,759
ANOST,OG842298,ANOST00037,0.49341183067003086,0.49341183067003086,1760,3567,3567
ANOST,OG1215812,ANOST00126,0.9923195084485407,0.9923195084485407,646,651,651
ANOST,OG455346,ANOST00156,0.8174603174603174,0.8174603174603174,927,1134,1134
ANOST,OG961115,ANOST00130,0.8790397045244691,0.8790397045244691,952,1083,1083
ANOST,OG960945,ANOST00390,0.19284802043422733,0.19284802043422733,302,1566,1566
ANOST,OG814870,ANOST00423,0.0985720865960387,0.0985720865960387,642,6513,6513
ANOST,OG419349,ANOST00176,0.2876480541455161,0.2876480541455161,850,2955,2955
ANOST,OG1208321,ANOST00225,0.8066996155958265,0.8066996155958265,7345,9105,9105
ANOST,OG1240968,ANOST00230,0.8299473288186606,0.8299473288186606,1103,1329,1329
ANOST,OG1221689,ANOST00123,0.9330742659758203,0.9330742659758203,2161,2316,2316
ANOST,OG1203459,ANOST00222,0.08970438328236494,0.08970438328236494,88,981,981
ANOST,OG1251511,ANOST00045,0.8815676141257537,0.8815676141257537,2047,2322,2322
ANOST,OG1212040,ANOST00490,0.6891996891996892,0.6891996891996892,3548,5148,5148
ANOST,OG1194738,ANOST00274,0.9242424242424242,0.9242424242424242,1342,1452,1452
ANOST,OG1225085,ANOST00424,0.2123440285204991,0.2123440285204991,953,4488,4488
ANOST,OG925865,ANOST00286,0.6926406926406926,0.6926406926406926,480,693,693
ANOST,OG932104,ANOST00578,0.21044546850998463,0.21044546850998463,274,1302,1302
ANOST,OG673136,ANOST00116,0.41390205371248023,0.41390205371248023,524,1266,1266
ANOST,OG1222683,ANOST00125,0.7380116959064328,0.7380116959064328,1262,1710,1710
ANOST,OG460076,ANOST00607,0.6434993084370678,0.6434993084370678,1861,2892,2892
ANOST,OG1231177,ANOST00129,0.7657004830917874,0.7657004830917874,1268,1656,1656
ANOST,OG924410,ANOST00137,0.5630718954248366,0.5630718954248366,3446,6120,6120
ANOST,OG1170587,ANOST00146,0.5209526680735604,0.5209526680735604,5184,9951,9951
ANOST,OG342477,ANOST00163,0.3835357624831309,0.3835357624831309,1421,3705,3705
ANOST,OG699681,ANOST00058,0.9970501474926253,0.9970501474926253,338,339,339
ANOST,OG846448,ANOST00517,0.6005398110661269,0.6005398110661269,445,741,741
ANOST,OG1183200,ANOST00504,0.16317016317016317,0.16317016317016317,140,858,858
ANOST,OG373241,ANOST00266,0.984984984984985,0.984984984984985,328,333,333
ANOST,OG1168250,ANOST00469,0.3216374269005848,0.3216374269005848,110,342,342
ANOST,OG964344,ANOST00343,0.587775408670931,0.587775408670931,827,1407,1407
ANOST,OG456479,ANOST00489,0.5527777777777778,0.5527777777777778,995,1800,1800
ANOST,OG1231901,ANOST00272,0.23738005840634127,0.23738005840634127,569,2397,2397
ANOST,OG1179969,ANOST00511,0.4272435897435897,0.4272435897435897,1333,3120,3120
ANOST,OG1181227,ANOST00162,0.575013638843426,0.575013638843426,1054,1833,1833
ANOST,OG796653,ANOST00189,0.9209687699171447,0.9209687699171447,1445,1569,1569
ANOST,OG456351,ANOST00044,0.17498496692723992,0.17498496692723992,873,4989,4989
ANOST,OG861720,ANOST00002,0.17540029112081515,0.17540029112081515,723,4122,4122
ANOST,OG978616,ANOST00322,0.363079615048119,0.363079615048119,830,2286,2286
ANOST,OG823032,ANOST00528,0.2460136674259681,0.2460136674259681,324,1317,1317
ANOST,OG1202789,ANOST00471,0.6477935054121565,0.6477935054121565,2334,3603,3603
ANOST,OG790850,ANOST00477,0.4366347177848775,0.4366347177848775,410,939,939
ANOST,OG899270,ANOST00194,0.30935251798561153,0.30935251798561153,516,1668,1668
ANOST,OG698904,ANOST00032,0.7723342939481268,0.7723342939481268,2412,3123,3123
ANOST,OG1202204,ANOST00290,0.5285913528591353,0.5285913528591353,379,717,717
ANOST,OG975279,ANOST00151,0.5317139001349528,0.5317139001349528,788,1482,1482
ANOST,OG1242667,ANOST00533,0.039603960396039604,0.039603960396039604,96,2424,2424
ANOST,OG823022,ANOST00242,0.1711111111111111,0.1711111111111111,231,1350,1350
ANOST,OG877291,ANOST00499,0.3812224322621298,0.3812224322621298,605,1587,1587
ANOST,OG949414,ANOST00379,0.3651399491094148,0.3651399491094148,287,786,786
ANOST,OG961011,ANOST00496,0.36386226482073125,0.36386226482073125,1025,2817,2817
ANOST,OG961564,ANOST00601,0.3281733746130031,0.3281733746130031,636,1938,1938
ANOST,OG951333,ANOST00004,0.5488888888888889,0.5488888888888889,247,450,450
ANOST,OG961322,ANOST00232,0.6204379562043796,0.6204379562043796,255,411,411
ANOST,OG961377,ANOST00356,0.7550432276657061,0.7550432276657061,786,1041,1041
ANOST,OG719374,ANOST00503,0.35698924731182796,0.35698924731182796,1494,4185,4185
ANOST,OG823037,ANOST00337,0.1331845238095238,0.1331845238095238,179,1344,1344
ANOST,OG1152239,ANOST00609,0.2554112554112554,0.2554112554112554,236,924,924
ANOST,OG1251119,ANOST00180,0.7380426784400295,0.7380426784400295,1003,1359,1359
ANOST,OG1223272,ANOST00111,0.7873055905842791,0.7873055905842791,1873,2379,2379
ANOST,OG1079985,ANOST00101,0.36347673397717295,0.36347673397717295,1242,3417,3417
ANOST,OG1176412,ANOST00547,0.31146989572822065,0.31146989572822065,926,2973,2973
ANOST,OG411836,ANOST00028,0.6047516198704104,0.6047516198704104,840,1389,1389
ANOST,OG1139777,ANOST00117,0.3022598870056497,0.3022598870056497,107,354,354
ANOST,OG761976,ANOST00415,0.16224747474747475,0.16224747474747475,257,1584,1584
ANOST,OG828830,ANOST00552,0.17964071856287425,0.17964071856287425,90,501,501
ANOST,OG968364,ANOST00614,0.8090614886731392,0.8090614886731392,1250,1545,1545
ANOST,OG971355,ANOST00110,0.5231829573934837,0.5231829573934837,835,1596,1596
ANOST,OG961013,ANOST00564,0.9452654625068418,0.9452654625068418,1727,1827,1827
ANOST,OG1144131,ANOST00602,0.2706592386258124,0.2706592386258124,583,2154,2154
ANOST,OG341995,ANOST00098,0.07540156644099297,0.07540156644099297,568,7533,7533
ANOST,OG344070,ANOST00277,0.19987756351392716,0.19987756351392716,653,3267,3267
ANOST,OG708597,ANOST00396,0.323405880106911,0.323405880106911,847,2619,2619
ANOST,OG967514,ANOST00212,0.355359765051395,0.355359765051395,968,2724,2724
ANOST,OG1246006,ANOST00459,0.9588235294117647,0.9588235294117647,978,1020,1020
ANOST,OG1235653,ANOST00565,0.8498644986449865,0.8498644986449865,1568,1845,1845
