#species,og,gene_id,coverage,std
ANOST,OG1079985,ANOST00101,9.590969017798287,7.075014588502088
ANOGA,OG1081004,ANOGA04408,6.547604608853851,4.1367257978240035
ANOGA,OG1138880,ANOGA05943,2.0707456978967493,1.1389022331645124
ANOGA,OG1139777,ANOGA04100,1.1497175141242937,0.3567943106171057
ANOST,OG1139996,ANOST00223,2.8376811594202898,1.8972979603938325
ANOST,OG1144131,ANOST00602,10.001088139281828,7.21773891691531
ANOGA,OG1146505,ANOGA04324,14.49049093321539,6.0976516660403375
ANOST,OG1146507,ANOST00365,8.31407942238267,6.075614122738649
ANOSI,OG1150674,ANOSI16840,3.5814696485623,2.5018667305149775
ANOST,OG1150857,ANOST00554,3.804123711340206,2.3672726549595287
ANOGA,OG1152239,ANOGA06528,4.704581358609794,2.4564956332758596
ANOGA,OG1157040,ANOGA04042,8.264367816091953,3.321872224045503
ANODA,OG1162063,ANODA08486,4.469890510948905,2.8908057098749693
ANOGA,OG1168250,ANOGA05380,3.1491525423728812,0.9836584913364405
ANODA,OG1168476,ANODA06616,14.219039595619208,7.821462366532613
ANOST,OG1170587,ANOST00146,24.658578856152513,8.88195590200997
ANOST,OG1174245,ANOST00043,8.17361111111111,4.395120180873441
ANOGA,OG1174608,ANOGA05668,2.127840909090909,1.3306346305972305
ANOST,OG1174891,ANOST00152,5.547453703703703,2.6623346753897374
ANOST,OG1176412,ANOST00547,9.687545520757466,5.662642368466976
ANODA,OG1179948,ANODA10325,1.266304347826087,0.4659672441167856
ANOST,OG1179969,ANOST00511,7.200069228106611,3.2767978181769997
ANOSI,OG1181227,ANOSI13961,10.70663811563169,4.445115233608731
ANOGA,OG1183200,ANOGA05481,3.742255266418835,2.234790004360031
ANOST,OG1189787,ANOST00208,6.969387755102041,2.5639603784838596
ANOGA,OG1190683,ANOGA04295,10.715242881072026,4.4295322472337295
ANOST,OG1191966,ANOST00456,10.820809248554914,4.207935847361612
ANOGA,OG1192905,ANOGA05458,8.44149459193707,4.07293015016006
ANODA,OG1194738,ANODA04923,16.82162534435262,6.0572794448379454
ANOGA,OG1197765,ANOGA04431,10.223684210526315,4.408387857552485
ANODA,OG1198488,ANODA06785,14.932088285229202,5.533243189048326
ANODA,OG1198490,ANODA04841,13.201716738197424,6.965945976500011
ANOST,OG1202204,ANOST00290,14.755927475592747,8.38261195186828
ANODA,OG1202789,ANODA06915,10.385586183992029,5.9983207669073355
ANOST,OG1203459,ANOST00222,3.6936067551266585,2.210343083097415
ANOGA,OG1204971,ANOGA05312,7.756276342312626,3.5686376326153395
ANOSI,OG1208321,ANOSI11134,14.751764419566804,7.000239882340364
ANOGA,OG1212040,ANOGA05460,11.132858596134282,5.8027993969853
ANOSI,OG1214309,ANOSI17769,4.126315789473685,1.200807669100987
ANOST,OG1214658,ANOST00276,1.9383116883116882,0.533999617192826
ANOST,OG1215812,ANOST00126,7.514592933947773,4.8292839704103665
ANOGA,OG1216622,ANOGA05381,9.144859813084112,3.7893785066061874
ANOST,OG1218157,ANOST00305,7.602981029810298,3.121017449654735
ANOST,OG1218158,ANOST00323,10.170180722891565,3.0620514371061462
ANOGA,OG1218490,ANOGA05471,9.77148253068933,3.023780281091231
ANOGA,OG1219581,ANOGA05679,7.118219749652295,3.839432206457446
ANOST,OG1221639,ANOST00016,4.108504398826979,1.57787612666363
ANOST,OG1221689,ANOST00123,12.9926597582038,6.544153055391317
ANOGA,OG1222683,ANOGA04115,14.287066246056783,4.920464242802363
ANOGA,OG1223272,ANOGA04094,17.960618846694796,7.254618199750755
ANOGA,OG1223886,ANOGA05389,1.8075,0.8517298574078521
ANOGA,OG1224967,ANOGA04095,13.156895589056393,5.411431555450672
ANOGA,OG1225085,ANOGA05304,16.11463285789752,9.662424830375677
ANOGA,OG1226379,ANOGA04627,8.230246389124893,4.008974980975304
ANOGA,OG1229017,ANOGA05305,17.924006235385814,9.535227813366916
ANOGA,OG1230391,ANOGA04302,6.171084337349398,4.567262503515617
ANOST,OG1231177,ANOST00129,16.353083434099155,5.473349705424961
ANOST,OG1231901,ANOST00272,6.316489361702128,4.051443716264245
ANOST,OG1235653,ANOST00565,13.5893536121673,6.141352842573853
ANOST,OG1236745,ANOST00324,6.118466898954704,2.4097933117249224
ANOST,OG1240325,ANOST00269,2.269620253164557,1.1404922799398807
ANOGA,OG1240328,ANOGA05641,4.6025,2.168984497408868
ANOST,OG1240929,ANOST00157,5.262749445676275,2.9580826889099536
ANOSI,OG1240968,ANOSI11112,8.350125944584383,4.2077651500060735
ANOST,OG1241986,ANOST00031,6.372274143302181,3.6759355686556527
ANOST,OG1242667,ANOST00533,5.061805890873974,2.4716733048902837
ANOST,OG1244115,ANOST00140,5.112781954887218,2.056181347646947
ANOGA,OG1246006,ANOGA05367,8.043392504930967,2.4775303304394827
ANOGA,OG1251119,ANOGA04663,9.54441727791361,4.418263317221436
ANODA,OG1251511,ANODA09076,18.744165170556553,6.568523431188774
ANOSI,OG1251552,ANOSI09497,5.73469387755102,2.6517265088461928
ANOGA,OG341995,ANOGA04081,12.423307231690465,10.016108183715536
ANOGA,OG342477,ANOGA04643,29.469902386117138,93.6103763738266
ANOGA,OG344070,ANOGA05629,4.358974358974359,2.5702490433111116
ANOSI,OG348620,ANOSI16831,12.576029962546816,5.560025392580815
ANOST,OG351572,ANOST00298,11.855579868708972,5.82465676364705
ANOST,OG352732,ANOST00335,12.05807478122514,7.256564281518789
