#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG1139777,ANODA01246,0.4444444444444444,0.4444444444444444,156,351,351
ANOSI,OG1139996,ANOSI13881,0.29895366218236175,0.29895366218236175,400,1338,1338
ANOSI,OG1146505,ANOSI08230,0.3804517133956386,0.3804517133956386,977,2568,2568
ANOST,OG1157040,ANOST00033,0.4329501915708812,0.4329501915708812,339,783,783
ANODA,OG1168250,ANODA06913,0.4239766081871345,0.4239766081871345,145,342,342
ANOSI,OG1168476,ANOSI15819,0.43876723438767234,0.43876723438767234,541,1233,1233
ANOST,OG1170587,ANOST00146,0.3600643151442066,0.3600643151442066,3583,9951,9951
ANOGA,OG1174245,ANOGA04055,0.2670011148272018,0.2670011148272018,479,1794,1794
ANOSI,OG1174608,ANOSI10178,0.6441441441441441,0.6441441441441441,286,444,444
ANOGA,OG1174891,ANOGA04632,0.3745819397993311,0.3745819397993311,336,897,897
ANOSI,OG1181227,ANOSI13961,0.7706766917293233,0.7706766917293233,1230,1596,1596
ANOST,OG1189787,ANOST00208,0.9302721088435374,0.9302721088435374,547,588,588
ANOGA,OG1190683,ANOGA04295,0.8056951423785594,0.8056951423785594,962,1194,1194
ANOGA,OG1191966,ANOGA05362,0.8511722731906218,0.8511722731906218,1670,1962,1962
ANOSI,OG1192905,ANOSI13732,0.6125860373647984,0.6125860373647984,623,1017,1017
ANOSI,OG1194738,ANOSI13345,0.931129476584022,0.931129476584022,1352,1452,1452
ANOGA,OG1197765,ANOGA04431,0.7740112994350282,0.7740112994350282,548,708,708
ANOSI,OG1198488,ANOSI18498,0.9560260586319218,0.9560260586319218,1761,1842,1842
ANOGA,OG1198490,ANOGA05372,0.9337349397590361,0.9337349397590361,1395,1494,1494
ANOST,OG1202204,ANOST00290,0.38493723849372385,0.38493723849372385,276,717,717
ANODA,OG1202789,ANODA06915,0.6902961562696912,0.6902961562696912,2191,3174,3174
ANOGA,OG1208321,ANOGA05692,0.7215053763440861,0.7215053763440861,6039,8370,8370
ANOGA,OG1212040,ANOGA05460,0.5420113991542563,0.5420113991542563,2948,5439,5439
ANOSI,OG1214309,ANOSI17769,0.6287878787878788,0.6287878787878788,249,396,396
ANODA,OG1215812,ANODA08572,0.808868501529052,0.808868501529052,529,654,654
ANOSI,OG1218157,ANOSI08193,0.7496706192358367,0.7496706192358367,569,759,759
ANOSI,OG1218158,ANOSI08297,0.9430199430199431,0.9430199430199431,662,702,702
ANODA,OG1218490,ANODA07244,0.2782989368355222,0.2782989368355222,445,1599,1599
ANOGA,OG1221639,ANOGA05250,0.5952380952380952,0.5952380952380952,225,378,378
ANOGA,OG1221689,ANOGA04113,0.772766323024055,0.772766323024055,1799,2328,2328
ANOGA,OG1222683,ANOGA04115,0.7153153153153153,0.7153153153153153,1191,1665,1665
ANOGA,OG1223272,ANOGA04094,0.8374619730551934,0.8374619730551934,1927,2301,2301
ANODA,OG1224967,ANODA01667,0.6705555555555556,0.6705555555555556,1207,1800,1800
ANODA,OG1226379,ANODA02643,0.3978243978243978,0.3978243978243978,512,1287,1287
ANOGA,OG1229017,ANOGA05305,0.4791889007470651,0.4791889007470651,1347,2811,2811
ANOGA,OG1231177,ANOGA04120,0.9021675454012889,0.9021675454012889,1540,1707,1707
ANOSI,OG1235653,ANOSI18112,0.7231270358306189,0.7231270358306189,1332,1842,1842
ANOST,OG1236745,ANOST00324,0.4126436781609195,0.4126436781609195,359,870,870
ANOSI,OG1240325,ANOSI13359,0.2916666666666667,0.2916666666666667,231,792,792
ANOGA,OG1240968,ANOGA05685,0.7170805116629044,0.7170805116629044,953,1329,1329
ANOSI,OG1241986,ANOSI13275,0.40168970814132104,0.40168970814132104,523,1302,1302
ANOSI,OG1244115,ANOSI05521,0.9971264367816092,0.9971264367816092,347,348,348
ANOST,OG1246006,ANOST00459,0.8764705882352941,0.8764705882352941,894,1020,1020
