#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG839253,ANOSI18124,0.5375375375375375,0.5375375375375375,179,333,333
ANOSI,OG792914,ANOSI05550,0.48477366255144033,0.48477366255144033,589,1215,1215
ANOSI,OG1222683,ANOSI12376,0.7517857142857143,0.7517857142857143,1263,1680,1680
ANOSI,OG842298,ANOSI13293,0.8622412562455389,0.8622412562455389,3624,4203,4203
ANOSI,OG784747,ANOSI08261,0.9062918340026773,0.9062918340026773,677,747,747
ANOSI,OG1251511,ANOSI10202,0.96248382923674,0.96248382923674,2232,2319,2319
ANOSI,OG790850,ANOSI19220,0.6578715919085312,0.6578715919085312,748,1137,1137
ANOSI,OG761976,ANOSI15820,0.6153358681875792,0.6153358681875792,971,1578,1578
ANOSI,OG899270,ANOSI18211,0.9529652351738241,0.9529652351738241,1398,1467,1467
ANOSI,OG814084,ANOSI08197,0.9552380952380952,0.9552380952380952,1003,1050,1050
ANOSI,OG1246006,ANOSI08120,0.7662721893491125,0.7662721893491125,777,1014,1014
ANOSI,OG1170587,ANOSI05651,0.9291291291291291,0.9291291291291291,9282,9990,9990
ANOSI,OG451043,ANOSI08181,0.7389558232931727,0.7389558232931727,552,747,747
ANOSI,OG964344,ANOSI08292,0.8771186440677966,0.8771186440677966,1242,1416,1416
ANOSI,OG966098,ANOSI13976,0.9044943820224719,0.9044943820224719,2415,2670,2670
ANOSI,OG848281,ANOSI16815,0.39950980392156865,0.39950980392156865,652,1632,1632
ANOSI,OG1139996,ANOSI13881,0.8079222720478326,0.8079222720478326,1081,1338,1338
ANOSI,OG1168476,ANOSI15819,0.9253852392538524,0.9253852392538524,1141,1233,1233
ANOSI,OG961602,ANOSI10095,0.8765432098765432,0.8765432098765432,497,567,567
ANOSI,OG823037,ANOSI08294,0.37564959168522644,0.37564959168522644,506,1347,1347
ANOSI,OG846448,ANOSI18065,0.6638772663877266,0.6638772663877266,476,717,717
ANOSI,OG998211,ANOSI13712,0.4498488595768068,0.4498488595768068,1637,3639,3639
ANOSI,OG457108,ANOSI16884,0.802536231884058,0.802536231884058,443,552,552
ANOSI,OG1079985,ANOSI16316,0.6053261520047876,0.6053261520047876,2023,3342,3342
ANOSI,OG853434,ANOSI08170,0.4578313253012048,0.4578313253012048,228,498,498
ANOSI,OG946387,ANOSI17759,0.7556874381800198,0.7556874381800198,1528,2022,2022
ANOSI,OG1174891,ANOSI13945,0.9831649831649831,0.9831649831649831,876,891,891
ANOSI,OG1081004,ANOSI11947,0.7216230097586029,0.7216230097586029,1405,1947,1947
ANOSI,OG953187,ANOSI10125,0.8777777777777778,0.8777777777777778,474,540,540
ANOSI,OG971123,ANOSI15824,0.3068870523415978,0.3068870523415978,557,1815,1815
ANOSI,OG877291,ANOSI08974,0.8007736943907157,0.8007736943907157,1242,1551,1551
ANOSI,OG460076,ANOSI16987,0.8931965032307108,0.8931965032307108,2350,2631,2631
ANOSI,OG988784,ANOSI08226,0.5546120546120547,0.5546120546120547,3331,6006,6006
ANOSI,OG944937,ANOSI18066,0.28425925925925927,0.28425925925925927,307,1080,1080
ANOSI,OG1216622,ANOSI15784,0.8719172633253779,0.8719172633253779,1096,1257,1257
ANOSI,OG1223886,ANOSI18645,0.3477366255144033,0.3477366255144033,169,486,486
ANOSI,OG961299,ANOSI14995,0.6067019400352733,0.6067019400352733,1720,2835,2835
ANOSI,OG1219581,ANOSI11081,0.32248342374924654,0.32248342374924654,535,1659,1659
ANOSI,OG911937,ANOSI05566,0.738880167451596,0.738880167451596,1412,1911,1911
ANOSI,OG420493,ANOSI13963,0.7209302325581395,0.7209302325581395,558,774,774
ANOSI,OG925865,ANOSI19077,0.8804347826086957,0.8804347826086957,486,552,552
ANOSI,OG708597,ANOSI11937,0.3415334153341533,0.3415334153341533,833,2439,2439
