#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG1221639,ANODA05486,0.46296296296296297,0.46296296296296297,175,378,378
ANODA,OG1168476,ANODA06616,0.8771084337349397,0.8771084337349397,1092,1245,1245
ANODA,OG1214309,ANODA07715,0.32051282051282054,0.32051282051282054,125,390,390
ANODA,OG451043,ANODA08553,0.891566265060241,0.891566265060241,666,747,747
ANODA,OG962230,ANODA03598,0.9967320261437909,0.9967320261437909,610,612,612
ANODA,OG842298,ANODA01152,0.774745269286754,0.774745269286754,2129,2748,2748
ANODA,OG968775,ANODA05162,0.7410670582476749,0.7410670582476749,1514,2043,2043
ANODA,OG932017,ANODA05892,0.4828042328042328,0.4828042328042328,730,1512,1512
ANODA,OG1242667,ANODA10318,0.594327990135635,0.594327990135635,1446,2433,2433
ANODA,OG1150674,ANODA06923,0.4019975031210986,0.4019975031210986,322,801,801
ANODA,OG1191966,ANODA01579,0.9857506361323155,0.9857506361323155,1937,1965,1965
ANODA,OG964344,ANODA02629,0.8023088023088023,0.8023088023088023,1112,1386,1386
ANODA,OG1215812,ANODA08572,0.9694189602446484,0.9694189602446484,634,654,654
ANODA,OG896170,ANODA03515,0.9541409993155373,0.9541409993155373,1394,1461,1461
ANODA,OG458150,ANODA02645,0.08641975308641975,0.08641975308641975,49,567,567
ANODA,OG1204971,ANODA05655,0.5361773316603932,0.5361773316603932,3846,7173,7173
ANODA,OG1146507,ANODA10392,0.21416411304051752,0.21416411304051752,629,2937,2937
ANODA,OG457108,ANODA03006,0.8969072164948454,0.8969072164948454,522,582,582
ANODA,OG460076,ANODA05621,0.8121272365805169,0.8121272365805169,2451,3018,3018
ANODA,OG456720,ANODA07083,0.6653439153439153,0.6653439153439153,503,756,756
ANODA,OG1223272,ANODA01666,0.9354354354354354,0.9354354354354354,1869,1998,1998
ANODA,OG696447,ANODA04792,0.8710382513661202,0.8710382513661202,797,915,915
ANODA,OG814870,ANODA05594,0.4687261632341724,0.4687261632341724,2458,5244,5244
ANODA,OG1189787,ANODA07757,0.7636054421768708,0.7636054421768708,449,588,588
ANODA,OG676343,ANODA08502,0.2013888888888889,0.2013888888888889,435,2160,2160
ANODA,OG665560,ANODA06166,0.6117247238742566,0.6117247238742566,2160,3531,3531
ANODA,OG1208321,ANODA05883,0.9478955660589692,0.9478955660589692,8423,8886,8886
ANODA,OG1218157,ANODA08542,0.5994729907773386,0.5994729907773386,455,759,759
ANODA,OG986274,ANODA04898,0.7627226463104325,0.7627226463104325,1199,1572,1572
ANODA,OG961115,ANODA03651,0.7070707070707071,0.7070707070707071,770,1089,1089
ANODA,OG456479,ANODA10251,0.7679180887372014,0.7679180887372014,1350,1758,1758
ANODA,OG963232,ANODA07139,0.3685136323658751,0.3685136323658751,419,1137,1137
ANODA,OG1240929,ANODA06171,0.5847953216374269,0.5847953216374269,600,1026,1026
ANODA,OG1219581,ANODA05977,0.5395127748068924,0.5395127748068924,908,1683,1683
ANODA,OG718578,ANODA00549,0.4130052724077329,0.4130052724077329,705,1707,1707
ANODA,OG1231177,ANODA03650,0.8694344163658243,0.8694344163658243,1445,1662,1662
ANODA,OG784747,ANODA08561,1.0,1.0,636,636,636
ANODA,OG823037,ANODA01777,0.6940740740740741,0.6940740740740741,937,1350,1350
ANODA,OG966098,ANODA06161,0.797011207970112,0.797011207970112,1920,2409,2409
ANODA,OG708597,ANODA05161,0.3068218558034271,0.3068218558034271,949,3093,3093
ANODA,OG979200,ANODA05740,0.34226689000558347,0.34226689000558347,613,1791,1791
ANODA,OG1197765,ANODA06617,0.9539748953974896,0.9539748953974896,684,717,717
ANODA,OG674682,ANODA07073,0.6642335766423357,0.6642335766423357,546,822,822
ANODA,OG822311,ANODA06170,0.8266518188567187,0.8266518188567187,2227,2694,2694
ANODA,OG1198488,ANODA06785,0.9755700325732899,0.9755700325732899,1797,1842,1842
ANODA,OG375937,ANODA00223,0.07213930348258707,0.07213930348258707,58,804,804
ANODA,OG924410,ANODA03655,0.6497584541062802,0.6497584541062802,4035,6210,6210
ANODA,OG951333,ANODA08505,0.8911111111111111,0.8911111111111111,401,450,450
ANODA,OG1212040,ANODA10250,0.8094690435115967,0.8094690435115967,4223,5217,5217
ANODA,OG1139777,ANODA01246,0.8490028490028491,0.8490028490028491,298,351,351
ANODA,OG970502,ANODA05891,0.8460861917326298,0.8460861917326298,962,1137,1137
ANODA,OG1251119,ANODA03237,0.8006088280060882,0.8006088280060882,1052,1314,1314
ANODA,OG1235653,ANODA08957,0.8389333333333333,0.8389333333333333,1573,1875,1875
ANODA,OG1138880,ANODA05178,0.18141592920353983,0.18141592920353983,123,678,678
ANODA,OG988784,ANODA08548,0.6695028361695028,0.6695028361695028,4013,5994,5994
ANODA,OG1251511,ANODA09076,0.9973958333333334,0.9973958333333334,2298,2304,2304
ANODA,OG978865,ANODA08940,0.8898721730580138,0.8898721730580138,905,1017,1017
ANODA,OG971123,ANODA05742,0.5465869456900847,0.5465869456900847,1097,2007,2007
ANODA,OG419349,ANODA03242,0.5253122945430638,0.5253122945430638,1598,3042,3042
ANODA,OG1152239,ANODA05622,0.6264550264550265,0.6264550264550265,592,945,945
ANODA,OG699681,ANODA09332,0.9941002949852508,0.9941002949852508,337,339,339
ANODA,OG1202204,ANODA07035,0.9246861924686193,0.9246861924686193,663,717,717
ANODA,OG1181227,ANODA06163,0.7276688453159041,0.7276688453159041,1336,1836,1836
ANODA,OG917347,ANODA01979,0.9501557632398754,0.9501557632398754,915,963,963
ANODA,OG1225085,ANODA05595,0.2717490842490842,0.2717490842490842,1187,4368,4368
ANODA,OG1174245,ANODA09078,0.6257668711656442,0.6257668711656442,1224,1956,1956
