#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG1079985,ANOGA04086,1.0,1.0,3429,3429,3429
ANOGA,OG1081004,ANOGA04408,0.9386331938633193,0.9386331938633193,2019,2151,2151
ANOGA,OG1138880,ANOGA05943,1.0,1.0,681,681,681
ANOGA,OG1139777,ANOGA04100,1.0,1.0,354,354,354
ANOGA,OG1139996,ANOGA05695,0.999247554552295,0.999247554552295,1328,1329,1329
ANOGA,OG1144131,ANOGA06520,1.0,1.0,2157,2157,2157
ANOGA,OG1146505,ANOGA04324,0.9996124031007751,0.9996124031007751,2579,2580,2580
ANOGA,OG1146507,ANOGA05711,1.0,1.0,2910,2910,2910
ANOGA,OG1150674,ANOGA05653,1.0,1.0,801,801,801
ANOGA,OG1150857,ANOGA04505,0.9728020240354206,0.9728020240354206,1538,1581,1581
ANOGA,OG1152239,ANOGA06528,0.8154362416107382,0.8154362416107382,729,894,894
ANOGA,OG1157040,ANOGA04042,1.0,1.0,783,783,783
ANOGA,OG1162063,ANOGA04462,1.0,1.0,1458,1458,1458
ANOGA,OG1168250,ANOGA05380,0.8625730994152047,0.8625730994152047,295,342,342
ANOGA,OG1168476,ANOGA04432,0.9976359338061466,0.9976359338061466,1266,1269,1269
ANOGA,OG1170587,ANOGA04139,0.997626112759644,0.997626112759644,10086,10110,10110
ANOGA,OG1174245,ANOGA04055,0.9626532887402452,0.9626532887402452,1727,1794,1794
ANOGA,OG1174608,ANOGA05668,1.0,1.0,444,444,444
ANOGA,OG1174891,ANOGA04632,1.0,1.0,897,897,897
ANOGA,OG1176412,ANOGA04492,0.9983514671941972,0.9983514671941972,3028,3033,3033
ANOSI,OG1179948,ANOSI16890,0.8823529411764706,0.8823529411764706,495,561,561
ANOGA,OG1179969,ANOGA05488,1.0,1.0,3057,3057,3057
ANOGA,OG1181227,ANOGA04642,0.9727223131478451,0.9727223131478451,1783,1833,1833
ANOGA,OG1183200,ANOGA05481,1.0,1.0,879,879,879
ANOGA,OG1189787,ANOGA04698,1.0,1.0,588,588,588
ANOGA,OG1190683,ANOGA04295,1.0,1.0,1194,1194,1194
ANOST,OG1191966,ANOST00456,0.9748330765279918,0.9748330765279918,1898,1947,1947
