#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG1204971,ANOST00430,0.8378995433789954,0.8378995433789954,5872,7008,7008
ANOST,OG961011,ANOST00496,0.8125665601703941,0.8125665601703941,2289,2817,2817
ANOST,OG362633,ANOST00370,0.5628140703517588,0.5628140703517588,672,1194,1194
ANOST,OG1244115,ANOST00140,0.7614942528735632,0.7614942528735632,265,348,348
ANOST,OG961440,ANOST00539,0.9340350877192982,0.9340350877192982,1331,1425,1425
ANOST,OG696447,ANOST00603,0.9774193548387097,0.9774193548387097,909,930,930
ANOST,OG457572,ANOST00450,0.5225225225225225,0.5225225225225225,232,444,444
ANOST,OG373241,ANOST00266,1.0,1.0,333,333,333
ANOST,OG968775,ANOST00395,0.9759846301633045,0.9759846301633045,2032,2082,2082
ANOST,OG1146507,ANOST00365,0.7970416236670107,0.7970416236670107,2317,2907,2907
ANOST,OG1218157,ANOST00305,0.83399209486166,0.83399209486166,633,759,759
ANOST,OG1176412,ANOST00547,0.8536831483350151,0.8536831483350151,2538,2973,2973
ANOST,OG1198488,ANOST00216,0.9592833876221498,0.9592833876221498,1767,1842,1842
ANOST,OG1138880,ANOST00591,0.657856093979442,0.657856093979442,448,681,681
ANOST,OG960910,ANOST00006,0.9992800575953924,0.9992800575953924,1388,1389,1389
ANOST,OG456338,ANOST00458,0.6920289855072463,0.6920289855072463,3820,5520,5520
ANOST,OG978865,ANOST00481,0.9429695181907571,0.9429695181907571,959,1017,1017
ANOST,OG961602,ANOST00046,0.8635578583765112,0.8635578583765112,500,579,579
ANOST,OG925865,ANOST00286,0.8167388167388168,0.8167388167388168,566,693,693
ANOST,OG961439,ANOST00114,0.742014742014742,0.742014742014742,906,1221,1221
ANOST,OG664391,ANOST00352,0.9773049645390071,0.9773049645390071,1378,1410,1410
ANOST,OG1191966,ANOST00456,0.9748330765279918,0.9748330765279918,1898,1947,1947
ANOST,OG790850,ANOST00477,0.838125665601704,0.838125665601704,787,939,939
ANOST,OG828830,ANOST00552,0.7285429141716567,0.7285429141716567,365,501,501
ANOST,OG719374,ANOST00503,0.9189964157706093,0.9189964157706093,3846,4185,4185
ANOST,OG848281,ANOST00012,0.9742623979912115,0.9742623979912115,1552,1593,1593
ANOST,OG1139996,ANOST00223,0.894484412470024,0.894484412470024,1119,1251,1251
ANOST,OG953548,ANOST00599,0.9994863893168978,0.9994863893168978,1946,1947,1947
ANOST,OG979200,ANOST00416,0.9058479532163742,0.9058479532163742,1549,1710,1710
ANOST,OG1139777,ANOST00117,1.0,1.0,354,354,354
ANOST,OG951333,ANOST00004,0.9022222222222223,0.9022222222222223,406,450,450
ANOST,OG1157040,ANOST00033,0.9948914431673053,0.9948914431673053,779,783,783
ANOST,OG1240328,ANOST00270,0.8885135135135135,0.8885135135135135,789,888,888
ANOST,OG998211,ANOST00115,0.773538961038961,0.773538961038961,2859,3696,3696
ANOST,OG986805,ANOST00600,0.9555666500249625,0.9555666500249625,5742,6009,6009
ANOST,OG962230,ANOST00328,0.5186991869918699,0.5186991869918699,319,615,615
ANOST,OG1203459,ANOST00222,0.7074413863404689,0.7074413863404689,694,981,981
ANOST,OG698997,ANOST00233,0.8684834123222749,0.8684834123222749,2199,2532,2532
ANOST,OG822311,ANOST00158,0.9265350877192983,0.9265350877192983,2535,2736,2736
ANOST,OG1241986,ANOST00031,0.9838337182448037,0.9838337182448037,1278,1299,1299
ANOST,OG970502,ANOST00530,0.9947229551451188,0.9947229551451188,1131,1137,1137
ANOST,OG823032,ANOST00528,0.9977220956719818,0.9977220956719818,1314,1317,1317
ANOST,OG792914,ANOST00139,0.8495428096425602,0.8495428096425602,1022,1203,1203
ANOST,OG671266,ANOST00350,0.9999011173736775,0.9999011173736775,10112,10113,10113
ANOST,OG1174891,ANOST00152,0.9976851851851852,0.9976851851851852,862,864,864
ANOST,OG1150674,ANOST00260,0.8381294964028777,0.8381294964028777,699,834,834
ANOST,OG964633,ANOST00017,0.9912280701754386,0.9912280701754386,1695,1710,1710
ANOST,OG958126,ANOST00036,0.8663663663663663,0.8663663663663663,577,666,666
ANOST,OG961398,ANOST00021,0.9014084507042254,0.9014084507042254,1152,1278,1278
ANOST,OG344070,ANOST00277,0.56626874808693,0.56626874808693,1850,3267,3267
ANOST,OG420493,ANOST00159,0.9987080103359173,0.9987080103359173,773,774,774
ANOST,OG899270,ANOST00194,0.8932853717026379,0.8932853717026379,1490,1668,1668
ANOST,OG926503,ANOST00307,1.0,1.0,486,486,486
ANOST,OG1218158,ANOST00323,0.9430199430199431,0.9430199430199431,662,702,702
ANOST,OG722946,ANOST00353,0.9957591178965225,0.9957591178965225,1174,1179,1179
ANOST,OG456720,ANOST00347,0.8426966292134831,0.8426966292134831,675,801,801
ANOST,OG988784,ANOST00369,0.87859477124183,0.87859477124183,5377,6120,6120
ANOST,OG1179948,ANOST00550,0.8812056737588653,0.8812056737588653,497,564,564
ANOST,OG460076,ANOST00607,0.9937759336099585,0.9937759336099585,2874,2892,2892
ANOST,OG976835,ANOST00102,0.995906432748538,0.995906432748538,1703,1710,1710
ANOST,OG1251119,ANOST00180,0.8513612950699043,0.8513612950699043,1157,1359,1359
ANOST,OG814084,ANOST00057,0.9506172839506173,0.9506172839506173,1001,1053,1053
ANOST,OG817086,ANOST00310,0.9711399711399712,0.9711399711399712,673,693,693
ANOST,OG665560,ANOST00160,0.8812162546177892,0.8812162546177892,3101,3519,3519
ANOST,OG1221689,ANOST00123,0.9995682210708118,0.9995682210708118,2315,2316,2316
ANOST,OG1146505,ANOST00349,0.8817330210772834,0.8817330210772834,2259,2562,2562
ANOST,OG1218490,ANOST00495,0.9518599562363238,0.9518599562363238,1305,1371,1371
ANOST,OG1236745,ANOST00324,0.9896551724137931,0.9896551724137931,861,870,870
ANOST,OG961115,ANOST00130,0.9861495844875346,0.9861495844875346,1068,1083,1083
ANOST,OG1168250,ANOST00469,0.8567251461988304,0.8567251461988304,293,342,342
ANOST,OG1081004,ANOST00389,0.8199174406604747,0.8199174406604747,1589,1938,1938
ANOST,OG708597,ANOST00396,0.6078655975563192,0.6078655975563192,1592,2619,2619
ANOST,OG1168476,ANOST00411,0.9231987331749802,0.9231987331749802,1166,1263,1263
ANOST,OG1150857,ANOST00554,0.9396654719235364,0.9396654719235364,1573,1674,1674
ANOST,OG931899,ANOST00585,0.8204108681245859,0.8204108681245859,1238,1509,1509
ANOST,OG341995,ANOST00098,0.6810035842293907,0.6810035842293907,5130,7533,7533
ANOST,OG1224967,ANOST00112,0.9966555183946488,0.9966555183946488,1788,1794,1794
ANOST,OG457329,ANOST00113,0.46163522012578617,0.46163522012578617,367,795,795
ANOST,OG964673,ANOST00265,0.9982993197278912,0.9982993197278912,587,588,588
ANOST,OG793899,ANOST00192,0.9983416252072969,0.9983416252072969,602,603,603
ANOST,OG456648,ANOST00195,0.7212885154061625,0.7212885154061625,1030,1428,1428
ANOST,OG792952,ANOST00138,0.9990610328638497,0.9990610328638497,1064,1065,1065
ANOST,OG946387,ANOST00073,0.9245917387127762,0.9245917387127762,1925,2082,2082
ANOST,OG1221639,ANOST00016,0.9206349206349206,0.9206349206349206,348,378,378
ANOST,OG949490,ANOST00312,1.0,1.0,732,732,732
ANOST,OG986274,ANOST00366,0.9967700258397932,0.9967700258397932,1543,1548,1548
ANOST,OG362545,ANOST00615,0.7502863688430699,0.7502863688430699,655,873,873
ANOST,OG1223272,ANOST00111,0.9050021017234132,0.9050021017234132,2153,2379,2379
ANOST,OG846448,ANOST00517,0.659919028340081,0.659919028340081,489,741,741
ANOST,OG932104,ANOST00578,0.8894009216589862,0.8894009216589862,1158,1302,1302
ANOST,OG1181227,ANOST00162,0.9689034369885434,0.9689034369885434,1776,1833,1833
ANOST,OG1214658,ANOST00276,0.7222222222222222,0.7222222222222222,507,702,702
ANOST,OG1214309,ANOST00081,0.9724310776942355,0.9724310776942355,388,399,399
ANOST,OG456479,ANOST00489,0.885,0.885,1593,1800,1800
ANOST,OG814870,ANOST00423,0.8051589129433441,0.8051589129433441,5244,6513,6513
ANOST,OG961299,ANOST00501,0.9218241042345277,0.9218241042345277,2547,2763,2763
ANOST,OG457108,ANOST00570,0.9290780141843972,0.9290780141843972,524,564,564
ANOST,OG699681,ANOST00058,0.9734513274336283,0.9734513274336283,330,339,339
ANOST,OG961322,ANOST00232,1.0,1.0,411,411,411
ANOST,OG978616,ANOST00322,0.7305336832895888,0.7305336832895888,1670,2286,2286
ANOST,OG1212040,ANOST00490,0.9444444444444444,0.9444444444444444,4862,5148,5148
ANOST,OG1240968,ANOST00230,0.9029345372460497,0.9029345372460497,1200,1329,1329
ANOST,OG1230391,ANOST00331,0.943502824858757,0.943502824858757,1002,1062,1062
ANOST,OG823022,ANOST00242,0.797037037037037,0.797037037037037,1076,1350,1350
ANOST,OG1216622,ANOST00470,0.929866036249015,0.929866036249015,1180,1269,1269
ANOST,OG842298,ANOST00037,0.8786094757499299,0.8786094757499299,3134,3567,3567
ANOST,OG1202204,ANOST00290,1.0,1.0,717,717,717
ANOST,OG456351,ANOST00044,0.6903187011425135,0.6903187011425135,3444,4989,4989
ANOST,OG1246006,ANOST00459,0.9666666666666667,0.9666666666666667,986,1020,1020
ANOST,OG977782,ANOST00291,0.6757013789824061,0.6757013789824061,1421,2103,2103
ANOST,OG961377,ANOST00356,0.9980787704130644,0.9980787704130644,1039,1041,1041
ANOST,OG1222683,ANOST00125,0.7625730994152047,0.7625730994152047,1304,1710,1710
ANOST,OG946885,ANOST00079,0.996186117467582,0.996186117467582,1306,1311,1311
ANOST,OG420768,ANOST00161,0.7976961843052556,0.7976961843052556,2216,2778,2778
ANOST,OG971355,ANOST00110,0.9993734335839599,0.9993734335839599,1595,1596,1596
ANOST,OG1194738,ANOST00274,1.0,1.0,1452,1452,1452
ANOST,OG1208321,ANOST00225,0.9510159253157606,0.9510159253157606,8659,9105,9105
ANOST,OG1190683,ANOST00325,0.9958123953098827,0.9958123953098827,1189,1194,1194
ANOST,OG896170,ANOST00127,0.9994252873563219,0.9994252873563219,1739,1740,1740
ANOST,OG967514,ANOST00212,0.947503671071953,0.947503671071953,2581,2724,2724
ANOST,OG703365,ANOST00557,0.5120898100172712,0.5120898100172712,593,1158,1158
ANOST,OG1229017,ANOST00425,0.9598059598059598,0.9598059598059598,2770,2886,2886
ANOST,OG1242667,ANOST00533,0.8931518151815182,0.8931518151815182,2165,2424,2424
ANOST,OG1231177,ANOST00129,0.9981884057971014,0.9981884057971014,1653,1656,1656
ANOST,OG944937,ANOST00518,0.719047619047619,0.719047619047619,755,1050,1050
ANOST,OG964929,ANOST00497,0.9159159159159159,0.9159159159159159,1830,1998,1998
