#species,og,gene_id,coverage,std
ANOST,OG861720,ANOST00002,22.014760147601475,12.194250848377013
ANOST,OG676343,ANOST00003,21.44436765722184,5.477305795845881
ANOST,OG951333,ANOST00004,16.745454545454546,6.3881087877632075
ANOST,OG960910,ANOST00006,66.23686105111591,23.020056874663247
ANOST,OG848281,ANOST00012,19.957888120678817,8.316045787434595
ANOST,OG1221639,ANOST00016,11.340236686390533,3.0146941816821666
ANOST,OG964633,ANOST00017,33.930424528301884,11.435364660303375
ANOST,OG718578,ANOST00019,28.264206209724662,13.730049551655961
ANOST,OG961398,ANOST00021,22.995829858215178,8.522891666547745
ANOST,OG411836,ANOST00028,32.801697530864196,9.5034933580909
ANOST,OG1241986,ANOST00031,20.537336412625095,7.685050381865755
ANOST,OG698904,ANOST00032,33.002574002574,11.684890795860708
ANOST,OG1157040,ANOST00033,10.84871794871795,5.77662716758383
ANOST,OG958126,ANOST00036,11.835314091680814,4.956007735792768
ANOST,OG842298,ANOST00037,23.177119628339142,11.335091886692657
ANOST,OG1174245,ANOST00043,18.658590308370044,7.544982310880965
ANOST,OG456351,ANOST00044,15.52168431669188,9.796435836853556
ANOST,OG1251511,ANOST00045,33.58676207513417,9.328917286846469
ANOST,OG961602,ANOST00046,15.114,5.871030914583911
ANOST,OG953187,ANOST00048,24.514767932489452,7.351109538296581
ANOST,OG814084,ANOST00057,19.14866204162537,8.800266950955718
ANOST,OG699681,ANOST00058,1.9212962962962963,0.2692757522077013
ANOST,OG946387,ANOST00073,25.828365384615385,10.27341898846961
ANOST,OG946885,ANOST00079,29.075514874141877,14.049860107923482
ANOST,OG1214309,ANOST00081,18.71645569620253,4.415233422151971
ANOST,OG341995,ANOST00098,24.77708506511499,13.913860050536854
ANOST,OG1079985,ANOST00101,25.344899169632267,11.514752545151497
ANOST,OG976835,ANOST00102,33.58654970760234,13.16549385501203
ANOST,OG675570,ANOST00108,12.956015523932729,8.248760503368514
ANOST,OG971355,ANOST00110,32.88784461152882,12.198671919821164
ANOST,OG1223272,ANOST00111,128.07208387942333,52.41885741376277
ANOST,OG1224967,ANOST00112,25.2734375,9.79368691362784
ANOST,OG457329,ANOST00113,9.473214285714286,5.003052320884742
ANOST,OG961439,ANOST00114,20.11437908496732,8.928241537146002
ANOST,OG998211,ANOST00115,29.471815633758954,12.039954756183352
ANOST,OG673136,ANOST00116,16.69054178145087,9.251049754562215
ANOST,OG1139777,ANOST00117,5.169491525423729,1.9147291915690912
ANOST,OG1221689,ANOST00123,20.90493435943866,11.03880222062339
ANOST,OG1222683,ANOST00125,24.625177809388337,11.489913589745598
ANOST,OG1215812,ANOST00126,17.7626582278481,6.154703708867819
ANOST,OG896170,ANOST00127,29.636781609195403,14.424764106460046
ANOST,OG1231177,ANOST00129,26.608009708737864,11.973037424352865
ANOST,OG961115,ANOST00130,19.492136910268272,7.994573967224631
ANOST,OG911937,ANOST00134,26.600783874580067,9.314715173232136
ANOST,OG924410,ANOST00137,28.50908776181409,10.816996070874657
ANOST,OG792952,ANOST00138,23.589285714285715,10.708172598163124
ANOST,OG792914,ANOST00139,26.367845117845118,16.205806304616427
ANOST,OG1244115,ANOST00140,5.390173410404624,1.7088063216975002
ANOST,OG1170587,ANOST00146,31.963299052228273,9.988673969470714
ANOST,OG1226379,ANOST00147,22.567862714508582,9.12466082731857
ANOST,OG458150,ANOST00149,6.876373626373627,2.3460492938075195
ANOST,OG975279,ANOST00151,32.50855578370979,17.646369270407618
ANOST,OG1174891,ANOST00152,15.089223638470452,4.632262520633621
ANOST,OG455346,ANOST00156,30.843915343915345,12.179991001228675
ANOST,OG1240929,ANOST00157,17.815060908084163,13.114713030200367
ANOST,OG822311,ANOST00158,30.235586101565485,13.806988443809503
ANOST,OG420493,ANOST00159,28.039011703511054,9.409816254111655
ANOST,OG665560,ANOST00160,21.4375,10.355582495634499
ANOST,OG420768,ANOST00161,22.704708699122108,12.295566659255963
ANOST,OG1181227,ANOST00162,29.965807174887892,13.615082358252971
ANOST,OG342477,ANOST00163,63.20988654781199,139.46511225380948
ANOST,OG966098,ANOST00164,25.142438206954335,11.673421826102935
ANOST,OG419349,ANOST00176,23.929582712369598,12.023568681956121
ANOST,OG736122,ANOST00177,22.12297734627832,13.101709029165763
ANOST,OG1251119,ANOST00180,31.80243690165361,11.744456062140125
ANOST,OG796653,ANOST00189,32.93244104525175,13.008033962847074
ANOST,OG793899,ANOST00192,23.375874125874127,13.289815956287276
ANOST,OG899270,ANOST00194,16.51378896882494,9.39100936357412
ANOST,OG456648,ANOST00195,16.518996960486323,7.367911052640769
ANOST,OG1251552,ANOST00206,15.811203319502075,6.545693129991825
ANOST,OG1189787,ANOST00208,31.532312925170068,7.015821048923156
ANOST,OG962019,ANOST00209,22.257985257985258,8.880300306462175
ANOST,OG967514,ANOST00212,35.802863436123346,13.956602783536361
ANOST,OG762076,ANOST00214,15.599732262382865,8.561559112667238
ANOST,OG1198488,ANOST00216,25.851666666666667,8.724212635597043
ANOST,OG456691,ANOST00218,9.332291666666666,4.894618532796731
ANOST,OG1203459,ANOST00222,20.192660550458715,8.297266732198194
ANOST,OG1139996,ANOST00223,13.250239693192713,6.096356946194498
ANOST,OG1208321,ANOST00225,28.872901678657076,11.660403249781288
