#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG1221689,ANODA08570,0.29840448469167746,0.29840448469167746,692,2319,2319
ANODA,OG784747,ANODA08561,0.7672955974842768,0.7672955974842768,488,636,636
ANODA,OG968775,ANODA05162,0.28928046989721,0.28928046989721,591,2043,2043
ANODA,OG968364,ANODA06500,0.22719449225473323,0.22719449225473323,396,1743,1743
ANODA,OG961013,ANODA08956,0.2484472049689441,0.2484472049689441,480,1932,1932
ANODA,OG814870,ANODA05594,0.10411899313501144,0.10411899313501144,546,5244,5244
ANODA,OG796653,ANODA01604,0.13466334164588528,0.13466334164588528,324,2406,2406
ANODA,OG946885,ANODA07717,0.23279195668986852,0.23279195668986852,301,1293,1293
ANODA,OG456648,ANODA01951,0.050068587105624146,0.050068587105624146,73,1458,1458
ANODA,OG348620,ANODA06924,0.13392200147167035,0.13392200147167035,182,1359,1359
ANODA,OG1229017,ANODA05596,0.07407407407407407,0.07407407407407407,186,2511,2511
ANODA,OG675570,ANODA03502,0.0593311758360302,0.0593311758360302,55,927,927
ANODA,OG456479,ANODA10251,0.24118316268486917,0.24118316268486917,424,1758,1758
ANODA,OG975279,ANODA02647,0.29956222639149466,0.29956222639149466,479,1599,1599
ANODA,OG451038,ANODA08555,0.5322793148880105,0.5322793148880105,404,759,759
ANODA,OG454890,ANODA10326,0.4613821138211382,0.4613821138211382,454,984,984
ANODA,OG373241,ANODA00581,0.8018018018018018,0.8018018018018018,267,333,333
ANODA,OG696447,ANODA04792,0.19344262295081968,0.19344262295081968,177,915,915
ANODA,OG1190683,ANODA08567,0.2202826267664173,0.2202826267664173,265,1203,1203
ANODA,OG971355,ANODA03504,0.3683241252302026,0.3683241252302026,600,1629,1629
ANODA,OG1174608,ANODA04336,0.38063063063063063,0.38063063063063063,169,444,444
ANODA,OG341995,ANODA06295,0.05112543829883497,0.05112543829883497,452,8841,8841
ANODA,OG1168476,ANODA06616,0.3542168674698795,0.3542168674698795,441,1245,1245
ANODA,OG1251511,ANODA09076,0.14192708333333334,0.14192708333333334,327,2304,2304
ANODA,OG964633,ANODA05487,0.44311034877072614,0.44311034877072614,775,1749,1749
ANODA,OG842298,ANODA01152,0.17903930131004367,0.17903930131004367,492,2748,2748
ANODA,OG1223272,ANODA01666,0.1066066066066066,0.1066066066066066,213,1998,1998
ANODA,OG970502,ANODA05891,0.12928759894459102,0.12928759894459102,147,1137,1137
ANODA,OG822311,ANODA06170,0.1870824053452116,0.1870824053452116,504,2694,2694
ANODA,OG736122,ANODA03241,0.20639834881320948,0.20639834881320948,200,969,969
ANODA,OG369576,ANODA04599,0.26881720430107525,0.26881720430107525,150,558,558
ANODA,OG698997,ANODA05980,0.19937694704049844,0.19937694704049844,640,3210,3210
ANODA,OG1194738,ANODA04923,0.47176308539944906,0.47176308539944906,685,1452,1452
ANODA,OG1146505,ANODA07082,0.056490834268612046,0.056490834268612046,151,2673,2673
ANODA,OG1198490,ANODA04841,0.6331994645247657,0.6331994645247657,946,1494,1494
ANODA,OG953548,ANODA07452,0.37948717948717947,0.37948717948717947,740,1950,1950
ANODA,OG1202204,ANODA07035,0.22733612273361228,0.22733612273361228,163,717,717
ANODA,OG1144131,ANODA04793,0.15846994535519127,0.15846994535519127,348,2196,2196
ANODA,OG1204971,ANODA05655,0.06189878711836052,0.06189878711836052,444,7173,7173
ANODA,OG1174891,ANODA02648,0.36261261261261263,0.36261261261261263,322,888,888
ANODA,OG1189787,ANODA07757,0.27380952380952384,0.27380952380952384,161,588,588
ANODA,OG790850,ANODA06160,0.18925518925518925,0.18925518925518925,155,819,819
ANODA,OG961115,ANODA03651,0.7382920110192838,0.7382920110192838,804,1089,1089
ANODA,OG1244115,ANODA03659,0.2614942528735632,0.2614942528735632,91,348,348
ANODA,OG839253,ANODA06918,0.26785714285714285,0.26785714285714285,90,336,336
ANODA,OG1241986,ANODA03573,0.28560431100846806,0.28560431100846806,371,1299,1299
ANODA,OG456351,ANODA09077,0.0544137796046193,0.0544137796046193,278,5109,5109
ANODA,OG460076,ANODA05621,0.2922465208747515,0.2922465208747515,882,3018,3018
ANODA,OG456720,ANODA07083,0.13095238095238096,0.13095238095238096,99,756,756
ANODA,OG961011,ANODA07246,0.3947180585296217,0.3947180585296217,1106,2802,2802
ANODA,OG961398,ANODA01312,0.284037558685446,0.284037558685446,363,1278,1278
ANODA,OG419349,ANODA03242,0.03616042077580539,0.03616042077580539,110,3042,3042
ANODA,OG1198488,ANODA06785,0.21118349619978286,0.21118349619978286,389,1842,1842
ANODA,OG911937,ANODA03653,0.31596091205211724,0.31596091205211724,582,1842,1842
ANODA,OG925865,ANODA07041,0.4365942028985507,0.4365942028985507,241,552,552
ANODA,OG998211,ANODA01670,0.042042042042042045,0.042042042042042045,154,3663,3663
ANODA,OG1215812,ANODA08572,0.20795107033639143,0.20795107033639143,136,654,654
ANODA,OG1236745,ANODA08566,0.09342560553633218,0.09342560553633218,81,867,867
ANODA,OG1225085,ANODA05595,0.012591575091575092,0.012591575091575092,55,4368,4368
ANODA,OG986805,ANODA04795,0.2805300713557594,0.2805300713557594,1376,4905,4905
ANODA,OG979200,ANODA05740,0.05527638190954774,0.05527638190954774,99,1791,1791
ANODA,OG342477,ANODA06162,0.1784623924507355,0.1784623924507355,643,3603,3603
ANODA,OG457572,ANODA02309,0.11258278145695365,0.11258278145695365,51,453,453
ANODA,OG1179948,ANODA10325,0.5673758865248227,0.5673758865248227,320,564,564
ANODA,OG961377,ANODA07077,0.41210374639769454,0.41210374639769454,429,1041,1041
ANODA,OG1246006,ANODA06751,0.4378698224852071,0.4378698224852071,444,1014,1014
ANODA,OG896170,ANODA03515,0.5550992470910335,0.5550992470910335,811,1461,1461
ANODA,OG861720,ANODA08506,0.04377637130801688,0.04377637130801688,166,3792,3792
ANODA,OG761976,ANODA05741,0.12955974842767295,0.12955974842767295,206,1590,1590
ANODA,OG817086,ANODA08550,0.27983539094650206,0.27983539094650206,204,729,729
ANODA,OG1181227,ANODA06163,0.15522875816993464,0.15522875816993464,285,1836,1836
ANODA,OG949490,ANODA08552,0.44522144522144524,0.44522144522144524,382,858,858
ANODA,OG986274,ANODA04898,0.22582697201017812,0.22582697201017812,355,1572,1572
ANODA,OG924410,ANODA03655,0.1500805152979066,0.1500805152979066,932,6210,6210
ANODA,OG961439,ANODA01669,0.13141862489120976,0.13141862489120976,151,1149,1149
ANODA,OG978865,ANODA08940,0.2232055063913471,0.2232055063913471,227,1017,1017
ANODA,OG1216622,ANODA06914,0.1619496855345912,0.1619496855345912,206,1272,1272
ANODA,OG917347,ANODA01979,0.43406022845275183,0.43406022845275183,418,963,963
ANODA,OG1202789,ANODA06915,0.26717076244486454,0.26717076244486454,848,3174,3174
ANODA,OG961299,ANODA07298,0.051991150442477874,0.051991150442477874,141,2712,2712
ANODA,OG698904,ANODA03572,0.21122740247383445,0.21122740247383445,666,3153,3153
ANODA,OG455346,ANODA06172,0.1912280701754386,0.1912280701754386,218,1140,1140
ANODA,OG1231901,ANODA00788,0.1294934640522876,0.1294934640522876,317,2448,2448
ANODA,OG1197765,ANODA06617,0.3695955369595537,0.3695955369595537,265,717,717
ANODA,OG846448,ANODA08490,0.27224435590969454,0.27224435590969454,205,753,753
ANODA,OG719374,ANODA07299,0.12260807937632884,0.12260807937632884,519,4233,4233
ANODA,OG1162063,ANODA08486,0.12066666666666667,0.12066666666666667,181,1500,1500
ANODA,OG1212040,ANODA10250,0.42879049262027985,0.42879049262027985,2237,5217,5217
ANODA,OG1170587,ANODA03456,0.24432443244324434,0.24432443244324434,2443,9999,9999
ANODA,OG961602,ANODA09075,0.1146384479717813,0.1146384479717813,65,567,567
ANODA,OG1218490,ANODA07244,0.09193245778611632,0.09193245778611632,147,1599,1599
ANODA,OG1081004,ANODA08766,0.2158176943699732,0.2158176943699732,483,2238,2238
ANODA,OG978616,ANODA08564,0.1859052247873633,0.1859052247873633,459,2469,2469
ANODA,OG1251119,ANODA03237,0.4893455098934551,0.4893455098934551,643,1314,1314
ANODA,OG932017,ANODA05892,0.16005291005291006,0.16005291005291006,242,1512,1512
ANODA,OG1240968,ANODA05983,0.5568268497330282,0.5568268497330282,730,1311,1311
ANODA,OG1242667,ANODA10318,0.26099465680230166,0.26099465680230166,635,2433,2433
ANODA,OG1174245,ANODA09078,0.27607361963190186,0.27607361963190186,540,1956,1956
ANODA,OG1192905,ANODA10252,0.22418879056047197,0.22418879056047197,228,1017,1017
ANODA,OG1203459,ANODA03477,0.27134146341463417,0.27134146341463417,267,984,984
ANODA,OG1179969,ANODA09026,0.16849451645064806,0.16849451645064806,507,3009,3009
ANODA,OG877291,ANODA07249,0.2134905042567125,0.2134905042567125,326,1527,1527
ANODA,OG420493,ANODA06168,0.24904214559386972,0.24904214559386972,195,783,783
ANODA,OG988784,ANODA08548,0.15815815815815815,0.15815815815815815,948,5994,5994
ANODA,OG793899,ANODA01385,0.16583747927031509,0.16583747927031509,100,603,603
