#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG1189787,ANOSI09481,0.477891156462585,0.477891156462585,281,588,588
ANOSI,OG1192905,ANOSI13732,0.7010816125860374,0.7010816125860374,713,1017,1017
ANOSI,OG1246006,ANOSI08120,0.8510848126232742,0.8510848126232742,863,1014,1014
ANOSI,OG1202789,ANOSI15781,0.36249635462233887,0.36249635462233887,1243,3429,3429
ANOSI,OG986805,ANOSI17797,0.2800925925925926,0.2800925925925926,1694,6048,6048
ANOSI,OG420493,ANOSI13963,0.6330749354005168,0.6330749354005168,490,774,774
ANOSI,OG341995,ANOSI16311,0.29421487603305785,0.29421487603305785,2136,7260,7260
ANOSI,OG373241,ANOSI13370,0.7207207207207207,0.7207207207207207,240,333,333
ANOSI,OG1139996,ANOSI13881,0.6106128550074739,0.6106128550074739,817,1338,1338
ANOSI,OG1197765,ANOSI15828,0.48945147679324896,0.48945147679324896,348,711,711
ANOSI,OG814870,ANOSI12461,0.39244186046511625,0.39244186046511625,2025,5160,5160
ANOSI,OG1202204,ANOSI18328,0.36541143654114366,0.36541143654114366,262,717,717
ANOSI,OG451043,ANOSI08181,0.2222222222222222,0.2222222222222222,166,747,747
ANOSI,OG351572,ANOSI08252,0.6845070422535211,0.6845070422535211,729,1065,1065
ANOSI,OG1079985,ANOSI16316,0.6146020347097546,0.6146020347097546,2054,3342,3342
ANOSI,OG696447,ANOSI18946,0.4829482948294829,0.4829482948294829,439,909,909
ANOSI,OG877291,ANOSI08974,0.4223081882656351,0.4223081882656351,655,1551,1551
ANOSI,OG1198490,ANOSI18566,0.6847389558232931,0.6847389558232931,1023,1494,1494
ANOSI,OG722946,ANOSI08175,0.13989637305699482,0.13989637305699482,162,1158,1158
ANOSI,OG736122,ANOSI16384,0.6752136752136753,0.6752136752136753,632,936,936
ANOSI,OG822311,ANOSI13972,0.42407610684229785,0.42407610684229785,1159,2733,2733
ANOSI,OG961013,ANOSI18108,0.31746031746031744,0.31746031746031744,580,1827,1827
ANOSI,OG823022,ANOSI10093,0.3208516886930984,0.3208516886930984,437,1362,1362
ANOSI,OG961322,ANOSI11117,0.12165450121654502,0.12165450121654502,50,411,411
ANOSI,OG784747,ANOSI08261,0.7871485943775101,0.7871485943775101,588,747,747
