#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG1079985,ANOGA04086,0.42723826188393116,0.42723826188393116,1465,3429,3429
ANOSI,OG1081004,ANOSI11947,0.3898305084745763,0.3898305084745763,759,1947,1947
ANOSI,OG1139777,ANOSI13705,0.3107344632768362,0.3107344632768362,110,354,354
ANOGA,OG1139996,ANOGA05695,0.617757712565839,0.617757712565839,821,1329,1329
ANOGA,OG1144131,ANOGA06520,0.44367176634214184,0.44367176634214184,957,2157,2157
ANOGA,OG1146505,ANOGA04324,0.6108527131782946,0.6108527131782946,1576,2580,2580
ANOGA,OG1146507,ANOGA05711,0.4054982817869416,0.4054982817869416,1180,2910,2910
ANOSI,OG1150857,ANOSI15844,0.6672816728167281,0.6672816728167281,1085,1626,1626
ANODA,OG1152239,ANODA05622,0.30793650793650795,0.30793650793650795,291,945,945
ANODA,OG1157040,ANODA03571,0.4784747847478475,0.4784747847478475,389,813,813
ANOGA,OG1162063,ANOGA04462,0.29012345679012347,0.29012345679012347,423,1458,1458
ANOGA,OG1168250,ANOGA05380,0.4444444444444444,0.4444444444444444,152,342,342
ANOGA,OG1168476,ANOGA04432,0.6359338061465721,0.6359338061465721,807,1269,1269
ANOSI,OG1170587,ANOSI05651,0.5257257257257257,0.5257257257257257,5252,9990,9990
ANOGA,OG1174245,ANOGA04055,0.749721293199554,0.749721293199554,1345,1794,1794
ANOSI,OG1174608,ANOSI10178,1.0,1.0,444,444,444
ANODA,OG1174891,ANODA02648,0.8153153153153153,0.8153153153153153,724,888,888
ANODA,OG1176412,ANODA07141,0.44734551784160137,0.44734551784160137,1028,2298,2298
ANOSI,OG1179948,ANOSI16890,0.3404634581105169,0.3404634581105169,191,561,561
ANOSI,OG1179969,ANOSI16583,0.5702970297029702,0.5702970297029702,1728,3030,3030
ANOSI,OG1181227,ANOSI13961,0.6704260651629073,0.6704260651629073,1070,1596,1596
ANODA,OG1183200,ANODA07300,0.30434782608695654,0.30434782608695654,273,897,897
ANOGA,OG1189787,ANOGA04698,0.9948979591836735,0.9948979591836735,585,588,588
ANOGA,OG1190683,ANOGA04295,0.9463986599664992,0.9463986599664992,1130,1194,1194
ANOGA,OG1191966,ANOGA05362,0.8863404689092762,0.8863404689092762,1739,1962,1962
ANOGA,OG1192905,ANOGA05458,0.8249754178957719,0.8249754178957719,839,1017,1017
ANOGA,OG1194738,ANOGA05637,0.9944903581267218,0.9944903581267218,1444,1452,1452
ANODA,OG1197765,ANODA06617,0.7838214783821479,0.7838214783821479,562,717,717
ANOGA,OG1198488,ANOGA05707,0.9549402823018458,0.9549402823018458,1759,1842,1842
ANOGA,OG1198490,ANOGA05372,0.9344042838018741,0.9344042838018741,1396,1494,1494
ANOGA,OG1202204,ANOGA05611,0.7856154910096819,0.7856154910096819,568,723,723
ANODA,OG1202789,ANODA06915,0.7873345935727788,0.7873345935727788,2499,3174,3174
ANOST,OG1204971,ANOST00430,0.2945205479452055,0.2945205479452055,2064,7008,7008
ANOGA,OG1208321,ANOGA05692,0.8679808841099164,0.8679808841099164,7265,8370,8370
ANOGA,OG1212040,ANOGA05460,0.7096892811178526,0.7096892811178526,3860,5439,5439
ANOGA,OG1214658,ANOGA05631,0.5724331926863573,0.5724331926863573,407,711,711
ANODA,OG1215812,ANODA08572,0.9984709480122325,0.9984709480122325,653,654,654
ANOGA,OG1216622,ANOGA05381,0.5078969243557773,0.5078969243557773,611,1203,1203
ANODA,OG1218157,ANODA08542,0.9354413702239789,0.9354413702239789,710,759,759
ANOSI,OG1218158,ANOSI08297,0.9430199430199431,0.9430199430199431,662,702,702
ANOSI,OG1218490,ANOSI09061,0.468682505399568,0.468682505399568,651,1389,1389
ANOGA,OG1219581,ANOGA05679,0.3084395871281117,0.3084395871281117,508,1647,1647
ANOSI,OG1221639,ANOSI13259,0.8756613756613757,0.8756613756613757,331,378,378
ANOST,OG1221689,ANOST00123,0.9330742659758203,0.9330742659758203,2161,2316,2316
ANOST,OG1222683,ANOST00125,0.7380116959064328,0.7380116959064328,1262,1710,1710
ANOGA,OG1223272,ANOGA04094,0.8426770969143851,0.8426770969143851,1939,2301,2301
ANODA,OG1223886,ANODA06917,0.36585365853658536,0.36585365853658536,180,492,492
ANOST,OG1224967,ANOST00112,0.9459308807134894,0.9459308807134894,1697,1794,1794
ANODA,OG1226379,ANODA02643,0.3543123543123543,0.3543123543123543,456,1287,1287
ANOGA,OG1229017,ANOGA05305,0.7079331198861615,0.7079331198861615,1990,2811,2811
ANOSI,OG1231177,ANOSI05477,0.8427230046948356,0.8427230046948356,1436,1704,1704
ANOGA,OG1235653,ANOGA04515,0.9061333333333333,0.9061333333333333,1699,1875,1875
ANOGA,OG1236745,ANOGA04294,0.6011494252873564,0.6011494252873564,523,870,870
ANODA,OG1240325,ANODA00791,0.571969696969697,0.571969696969697,453,792,792
ANOGA,OG1240929,ANOGA04635,0.5168107588856868,0.5168107588856868,538,1041,1041
ANOST,OG1240968,ANOST00230,0.8299473288186606,0.8299473288186606,1103,1329,1329
ANOSI,OG1241986,ANOSI13275,0.7012288786482335,0.7012288786482335,913,1302,1302
ANOGA,OG1244115,ANOGA04136,0.7385057471264368,0.7385057471264368,257,348,348
ANOSI,OG1246006,ANOSI08120,0.9595660749506904,0.9595660749506904,973,1014,1014
ANODA,OG1251119,ANODA03237,0.9619482496194824,0.9619482496194824,1264,1314,1314
ANOGA,OG1251511,ANOGA04057,0.9589810017271158,0.9589810017271158,2221,2316,2316
ANOGA,OG1251552,ANOGA04696,0.8722222222222222,0.8722222222222222,471,540,540
ANOGA,OG342477,ANOGA04643,0.6172349986782977,0.6172349986782977,2335,3783,3783
ANOSI,OG344070,ANOSI13377,0.36375794048813104,0.36375794048813104,1088,2991,2991
ANOGA,OG348620,ANOGA05652,0.6391752577319587,0.6391752577319587,930,1455,1455
ANOGA,OG351572,ANOGA04255,0.699724517906336,0.699724517906336,762,1089,1089
ANOSI,OG362545,ANOSI14857,0.298932384341637,0.298932384341637,252,843,843
ANOSI,OG373241,ANOSI13370,0.984984984984985,0.984984984984985,328,333,333
ANOGA,OG411836,ANOGA05239,0.8570336391437309,0.8570336391437309,1121,1308,1308
ANOGA,OG419349,ANOGA04655,0.4116263440860215,0.4116263440860215,1225,2976,2976
ANODA,OG420768,ANODA06165,0.7037037037037037,0.7037037037037037,1805,2565,2565
ANOGA,OG451038,ANOGA04282,0.896505376344086,0.896505376344086,667,744,744
ANOGA,OG451043,ANOGA04280,0.6706036745406824,0.6706036745406824,511,762,762
ANOGA,OG454890,ANOGA04502,0.26226226226226224,0.26226226226226224,262,999,999
ANOSI,OG455346,ANOSI13964,0.8807588075880759,0.8807588075880759,975,1107,1107
ANOST,OG456479,ANOST00489,0.5527777777777778,0.5527777777777778,995,1800,1800
ANOST,OG456648,ANOST00195,0.38095238095238093,0.38095238095238093,544,1428,1428
ANOGA,OG456720,ANOGA04313,0.8659286592865929,0.8659286592865929,704,813,813
ANOSI,OG460076,ANOSI16987,0.7293804637020145,0.7293804637020145,1919,2631,2631
ANOST,OG661167,ANOST00579,0.7060185185185185,0.7060185185185185,610,864,864
ANOGA,OG664391,ANOGA04327,0.857451403887689,0.857451403887689,1191,1389,1389
ANOST,OG665560,ANOST00160,0.5927820403523728,0.5927820403523728,2086,3519,3519
ANOGA,OG671266,ANOGA04325,0.9930763740185582,0.9930763740185582,13913,14010,14010
ANODA,OG673136,ANODA03220,0.5550239234449761,0.5550239234449761,696,1254,1254
ANOST,OG674682,ANOST00263,0.571078431372549,0.571078431372549,466,816,816
ANODA,OG696447,ANODA04792,0.7486338797814208,0.7486338797814208,685,915,915
ANOGA,OG698904,ANOGA04041,0.9003205128205128,0.9003205128205128,2809,3120,3120
ANOST,OG698997,ANOST00233,0.6591627172195893,0.6591627172195893,1669,2532,2532
ANODA,OG699681,ANODA09332,0.9970501474926253,0.9970501474926253,338,339,339
ANOSI,OG708597,ANOSI11937,0.5084050840508405,0.5084050840508405,1240,2439,2439
ANOGA,OG719374,ANOGA05480,0.546542234984446,0.546542234984446,2284,4179,4179
ANOST,OG722946,ANOST00353,0.5920271416454622,0.5920271416454622,698,1179,1179
ANOGA,OG761976,ANOGA04435,0.3014119091467158,0.3014119091467158,491,1629,1629
ANOGA,OG762076,ANOGA05710,0.38847117794486213,0.38847117794486213,310,798,798
ANODA,OG784747,ANODA08561,1.0,1.0,636,636,636
ANOSI,OG790850,ANOSI19220,0.6191732629727352,0.6191732629727352,704,1137,1137
ANOGA,OG792914,ANOGA04135,0.42278481012658226,0.42278481012658226,501,1185,1185
ANOGA,OG793899,ANOGA04677,0.9187396351575456,0.9187396351575456,554,603,603
ANOSI,OG796653,ANOSI16455,0.9291375291375291,0.9291375291375291,1993,2145,2145
ANOGA,OG814084,ANOGA05434,0.5792972459639126,0.5792972459639126,610,1053,1053
ANOST,OG817086,ANOST00310,0.9668109668109668,0.9668109668109668,670,693,693
ANOST,OG822311,ANOST00158,0.8245614035087719,0.8245614035087719,2256,2736,2736
ANOGA,OG823022,ANOGA05671,0.4189189189189189,0.4189189189189189,558,1332,1332
ANOGA,OG823037,ANOGA04308,0.27111111111111114,0.27111111111111114,366,1350,1350
ANOGA,OG828830,ANOGA04503,0.4151696606786427,0.4151696606786427,208,501,501
ANOGA,OG839253,ANOGA05660,0.6096096096096096,0.6096096096096096,203,333,333
ANOGA,OG842298,ANOGA04047,0.6378689704823615,0.6378689704823615,2658,4167,4167
